
[00:00:00.000 --> 00:00:02.160]   (silence)
[00:00:02.160 --> 00:00:08.840]   Pastor Johnny is on his way back from Canada.
[00:00:08.840 --> 00:00:12.960]   And with no flights from Canada to Hong Kong
[00:00:12.960 --> 00:00:16.000]   until at least March the 4th,
[00:00:16.000 --> 00:00:20.920]   he has had to route via Abu Dhabi and now Thailand.
[00:00:20.920 --> 00:00:25.120]   At least we have him in the same time zone.
[00:00:25.120 --> 00:00:26.440]   Please pray for him.
[00:00:28.120 --> 00:00:32.520]   But today's topic is Sabbath.
[00:00:32.520 --> 00:00:38.640]   And you know, Hong Kong does not do this well.
[00:00:38.640 --> 00:00:45.560]   And I'll be honest, I do not do it well.
[00:00:45.560 --> 00:00:52.200]   That's why I need to preach this message
[00:00:52.200 --> 00:00:56.480]   because I am the one who needs to hear it.
[00:00:57.920 --> 00:01:00.960]   Pastor James touched on the gift of limits last week.
[00:01:00.960 --> 00:01:04.440]   And I wanna talk about the one thing
[00:01:04.440 --> 00:01:09.440]   that we all have a limitation on, which is time.
[00:01:09.440 --> 00:01:16.480]   Time is the one thing we cannot make any more of.
[00:01:16.480 --> 00:01:19.960]   You can't buy it, you can't sell it,
[00:01:19.960 --> 00:01:23.400]   you can't steal it, you can't trade it.
[00:01:24.560 --> 00:01:29.240]   There are 60 minutes in an hour, 24 hours in a day,
[00:01:29.240 --> 00:01:32.160]   seven days in a week.
[00:01:32.160 --> 00:01:34.400]   There will never be any more
[00:01:34.400 --> 00:01:38.360]   and there will never be any less.
[00:01:38.360 --> 00:01:45.520]   Because of that, we all have a tenuous relationship
[00:01:45.520 --> 00:01:47.120]   with time.
[00:01:47.120 --> 00:01:50.560]   I've mentioned already in this series,
[00:01:50.560 --> 00:01:52.400]   you go up to someone in Hong Kong and you say,
[00:01:52.400 --> 00:01:54.440]   "How are you?"
[00:01:54.440 --> 00:01:55.960]   What do they say?
[00:01:55.960 --> 00:01:57.520]   "I'm busy."
[00:01:57.520 --> 00:02:01.400]   And we are busy at work.
[00:02:01.400 --> 00:02:05.400]   And technology has only made it worse.
[00:02:05.400 --> 00:02:10.000]   We carry our office with us.
[00:02:10.000 --> 00:02:13.880]   Oh man, I hate these WhatsApps, I get 1145 at night.
[00:02:13.880 --> 00:02:17.520]   But also we're busy at play.
