
[00:00:00.000 --> 00:00:03.000]  謝謝主席剛纔帶領我們一起來讀了
[00:00:03.000 --> 00:00:06.000]  十篇四十六篇
[00:00:06.000 --> 00:00:10.000]  這樣一篇只有十一節的經文
[00:00:10.000 --> 00:00:13.000]  期間要和大家分享的題目呢
[00:00:13.000 --> 00:00:16.000]  叫做找到避難所
[00:00:16.000 --> 00:00:19.000]  那相信各位弟兄姐妹
[00:00:19.000 --> 00:00:22.000]  如果提到避難所這個詞啊
[00:00:22.000 --> 00:00:26.000]  可能距離我們生活比較遙遠
[00:00:26.000 --> 00:00:29.000]  但是也不會陌生
[00:00:29.000 --> 00:00:32.000]  生活當中可能遇到的
[00:00:32.000 --> 00:00:34.000]  當暴風來襲的時候
[00:00:34.000 --> 00:00:36.000]  各樣的船隻
[00:00:36.000 --> 00:00:40.000]  要去到避風潭裏邊去躲避
[00:00:40.000 --> 00:00:42.000]  還有在一些特別的場所
[00:00:42.000 --> 00:00:45.000]  也會安排有應急避難所
[00:00:45.000 --> 00:00:49.000]  的這樣一些的安排和地方
[00:00:49.000 --> 00:00:51.000]  味道的呢就是
[00:00:51.000 --> 00:00:56.000]  當災難或者是風暴來臨的時候
[00:00:56.000 --> 00:00:58.000]  只要去到裏邊
[00:00:58.000 --> 00:01:02.000]  那就代表了安全和平安
[00:01:02.000 --> 00:01:05.000]  我在預備講到的時候就在想啊
[00:01:05.000 --> 00:01:08.000]  曾經在我的心路歷程裏邊
[00:01:08.000 --> 00:01:12.000]  怎麼樣有了一個避難所的概念呢
[00:01:12.000 --> 00:01:15.000]  於是我就想到了
[00:01:15.000 --> 00:01:17.000]  在我小的時候
[00:01:17.000 --> 00:01:20.000]  今天可能要暴怒年紀了啊各位
[00:01:20.000 --> 00:01:24.000]  玩的一個很經典的桌遊
[00:01:24.000 --> 00:01:26.000]  大家一定不會陌生啊
[00:01:26.000 --> 00:01:28.000]  這個就是
[00:01:28.000 --> 00:01:30.000]  飛行棋啊
[00:01:30.000 --> 00:01:31.000]  飛行棋啊
[00:01:31.000 --> 00:01:34.000]  大家一般都有玩過啊
[00:01:34.000 --> 00:01:35.000]  但是呢這個棋
[00:01:35.000 --> 00:01:38.000]  給我們帶來了很多的歡樂
[00:01:38.000 --> 00:01:40.000]  也讓我小小的時候就學會了
[00:01:40.000 --> 00:01:44.000]  要有一定的心理承受力
[00:01:44.000 --> 00:01:45.000]  也在考驗
[00:01:45.000 --> 00:01:48.000]  我和同玩朋友之間的友誼
[00:01:48.000 --> 00:01:49.000]  因爲在你的飛機
[00:01:49.000 --> 00:01:52.000]  進入了敵方射程的時候呢
[00:01:52.000 --> 00:01:54.000]  你就開始擔心啊
[00:01:54.000 --> 00:01:57.000]  他會不會在下一次
[00:01:57.000 --> 00:01:59.000]  製出骰子的時候
[00:01:59.000 --> 00:02:00.000]  就把我的飛機擊落
[00:02:00.000 --> 00:02:02.000]  要回到原點啊
[00:02:02.000 --> 00:02:05.000]  於是在逃跑追擊當中呢
[00:02:05.000 --> 00:02:07.000]  如果啊
[00:02:07.000 --> 00:02:09.000]  你的飛機可以進入到
[00:02:09.000 --> 00:02:12.000]  接近終點的這樣一個地方的時候啊
[00:02:12.000 --> 00:02:14.000]  這樣的四哥
[00:02:14.000 --> 00:02:16.000]  你就安心了
[00:02:16.000 --> 00:02:17.000]  平安了
[00:02:17.000 --> 00:02:18.000]  他追不到我了
[00:02:18.000 --> 00:02:20.000]  安全安全
[00:02:20.000 --> 00:02:23.000]  這呢也是在我幼小的時候
[00:02:23.000 --> 00:02:25.000]  就開始有了
[00:02:25.000 --> 00:02:28.000]  避難所的一種的理解
[00:02:28.000 --> 00:02:30.000]  在隨着我慢慢的長大呢
[00:02:30.000 --> 00:02:33.000]  避難所不單只是一個牌局
[00:02:33.000 --> 00:02:35.000]  或者是桌遊當中
[00:02:35.000 --> 00:02:37.000]  特殊的地方
[00:02:37.000 --> 00:02:40.000]  它也代表了我的家人
[00:02:40.000 --> 00:02:43.000]  或者是說在教會當中
[00:02:43.000 --> 00:02:46.000]  一些鼠鄰長輩弟兄姐妹
[00:02:46.000 --> 00:02:49.000]  大家的那種的保護
[00:02:49.000 --> 00:02:50.000]  安慰
[00:02:50.000 --> 00:02:52.000]  當我遇到壓力
