
[00:00:00.000 --> 00:00:02.000]  早安,大家好
[00:00:02.000 --> 00:00:06.000]  我們現在在讀什麼書呢?
[00:00:06.000 --> 00:00:08.000]  記不記得?
[00:00:08.000 --> 00:00:10.000]  Titus
[00:00:10.000 --> 00:00:15.000]  上星期,Irene教授幫我們分享了
[00:00:15.000 --> 00:00:17.000]  是不是?
[00:00:17.000 --> 00:00:19.000]  第一章
[00:00:19.000 --> 00:00:21.000]  我先考考你們
[00:00:21.000 --> 00:00:23.000]  下一個頁面
[00:00:23.000 --> 00:00:27.000]  誰寫了第一章的書?
[00:00:27.000 --> 00:00:32.000]  誰寫了Titus的書?
[00:00:32.000 --> 00:00:34.000]  誰寫的?
[00:00:34.000 --> 00:00:36.000]  Titus寫的?
[00:00:36.000 --> 00:00:39.000]  誰同意Lucas的?
[00:00:39.000 --> 00:00:41.000]  舉手
[00:00:41.000 --> 00:00:42.000]  沒有人同意?
[00:00:42.000 --> 00:00:43.000]  Tim也同意,是吧?
[00:00:43.000 --> 00:00:44.000]  你同意?
[00:00:44.000 --> 00:00:46.000]  為什麼你同意?
[00:00:46.000 --> 00:00:48.000]  (Either Paul or Titus)
[00:00:48.000 --> 00:00:50.000]  OK,好
[00:00:50.000 --> 00:00:52.000]  Either Paul or Titus
[00:00:52.000 --> 00:00:55.000]  Titus寫了一封信給他自己
[00:00:55.000 --> 00:00:58.000]  這是你的想法
[00:00:58.000 --> 00:01:02.000]  是Paul寫給Titus的
[00:01:02.000 --> 00:01:04.000]  為什麼寫給Titus?
[00:01:04.000 --> 00:01:07.000]  他現在知道Titus在哪裡嗎?
[00:01:07.000 --> 00:01:09.000]  我們看下一個頁面
[00:01:09.000 --> 00:01:11.000]  保羅是做什麼的?
[00:01:11.000 --> 00:01:12.000]  記不記得?
[00:01:12.000 --> 00:01:14.000]  有人知道保羅的工作是做什麼的?
[00:01:14.000 --> 00:01:16.000]  (宣教)
[00:01:16.000 --> 00:01:17.000]  什麼?
[00:01:17.000 --> 00:01:18.000]  宣教
[00:01:18.000 --> 00:01:20.000]  他在哪裡宣教?
[00:01:20.000 --> 00:01:21.000]  我們可以看看
[00:01:21.000 --> 00:01:24.000]  他有很多不同的使命的旅程
[00:01:24.000 --> 00:01:25.000]  紫色的
[00:01:25.000 --> 00:01:26.000]  不知道看不看得到
[00:01:26.000 --> 00:01:29.000]  紫色是他第一個旅程
[00:01:29.000 --> 00:01:31.000]  紅色是第二個旅程
[00:01:31.000 --> 00:01:35.000]  然後淺紫色好像是
[00:01:35.000 --> 00:01:38.000]  第三個旅程
[00:01:38.000 --> 00:01:39.000]  OK
[00:01:39.000 --> 00:01:42.000]  他在第三個旅程的時候
[00:01:42.000 --> 00:01:43.000]  在一個使命旅程的時候
[00:01:43.000 --> 00:01:46.000]  他遇到一個人叫Titus
[00:01:46.000 --> 00:01:51.000]  他的Titus現在去了什麼國家?
[00:01:51.000 --> 00:01:52.000]  應該叫Crete
[00:01:52.000 --> 00:01:55.000]  Crete是現在屬於什麼國家?
[00:01:55.000 --> 00:01:56.000]  記不記得?
[00:01:56.000 --> 00:01:57.000]  有人知道?
[00:01:57.000 --> 00:01:58.000]  Crete
[00:01:58.000 --> 00:02:00.000]  有沒有人去過Crete?
[00:02:00.000 --> 00:02:02.000]  是不是Crete?
[00:02:02.000 --> 00:02:06.000]  他屬於哪個國家?
[00:02:06.000 --> 00:02:10.000]  我給你一個選擇
[00:02:10.000 --> 00:02:13.000]  第一是埃及
[00:02:13.000 --> 00:02:15.000]  第二是土耳其
[00:02:15.000 --> 00:02:18.000]  第三是俄羅斯
[00:02:18.000 --> 00:02:19.000]  OK
[00:02:19.000 --> 00:02:22.000]  誰是埃及的?
[00:02:22.000 --> 00:02:24.000]  舉手
[00:02:24.000 --> 00:02:25.000]  第二
[00:02:25.000 --> 00:02:26.000]  土耳其
[00:02:26.000 --> 00:02:28.000]  舉手
[00:02:28.000 --> 00:02:29.000]  第三
[00:02:29.000 --> 00:02:30.000]  俄羅斯
[00:02:30.000 --> 00:02:31.000]  OK
[00:02:31.000 --> 00:02:32.000]  好
[00:02:32.000 --> 00:02:33.000]  好
[00:02:33.000 --> 00:02:34.000]  俄羅斯
[00:02:34.000 --> 00:02:36.000]  你試想像一下
[00:02:36.000 --> 00:02:39.000]  Titus在這個地方叫Crete
[00:02:39.000 --> 00:02:42.000]  以前是羅馬控制的
[00:02:42.000 --> 00:02:45.000]  保羅就寫信給他
[00:02:45.000 --> 00:02:46.000]  寫信給他
