
[00:00:00.000 --> 00:00:02.000]  早晨 大家好
[00:00:02.000 --> 00:00:05.000]  記不記得我們學到什麼?
[00:00:05.000 --> 00:00:07.000]  這個教會是怎樣的?
[00:00:07.000 --> 00:00:10.000]  是不是一個很好的教會?
[00:00:10.000 --> 00:00:15.000]  誰覺得這個第一基督教是一個很好的教會?
[00:00:15.000 --> 00:00:17.000]  舉手
[00:00:17.000 --> 00:00:20.000]  有沒有人覺得這個教會有很多問題?
[00:00:20.000 --> 00:00:21.000]  舉手
[00:00:21.000 --> 00:00:22.000]  OK 很多問題
[00:00:22.000 --> 00:00:23.000]  有什麼問題?
[00:00:23.000 --> 00:00:24.000]  考考你
[00:00:24.000 --> 00:00:25.000]  記不記得?
[00:00:25.000 --> 00:00:27.000]  有沒有人記得?
[00:00:27.000 --> 00:00:30.000]  有沒有人記得有什麼問題?
[00:00:30.000 --> 00:00:35.000]  上個星期 卡爾蒙大律師就說
[00:00:35.000 --> 00:00:38.000]  我跟這個牧師
[00:00:38.000 --> 00:00:40.000]  好像在explorer
[00:00:40.000 --> 00:00:42.000]  我想跟卡爾蒙大律師
[00:00:42.000 --> 00:00:46.000]  我想跟Sam
[00:00:46.000 --> 00:00:48.000]  我想跟Johnny大律師
[00:00:48.000 --> 00:00:50.000]  我想跟Winnie大律師
[00:00:50.000 --> 00:00:51.000]  是不是這樣?
[00:00:51.000 --> 00:00:54.000]  我不讀Christ Corinthians
[00:00:54.000 --> 00:00:56.000]  Winnie想讀2nd Corinthians
[00:00:57.000 --> 00:00:58.000]  是不是?
[00:00:58.000 --> 00:01:01.000]  Carmen想讀Colossians
[00:01:01.000 --> 00:01:04.000]  每個人都很混亂
[00:01:04.000 --> 00:01:09.000]  所以教會有沒有一個完美的教會?
[00:01:09.000 --> 00:01:10.000]  有沒有?
[00:01:10.000 --> 00:01:12.000]  No perfect church
[00:01:12.000 --> 00:01:14.000]  他有一個saying
[00:01:14.000 --> 00:01:16.000]  如果有一個完美的教會
[00:01:16.000 --> 00:01:17.000]  你一進去
[00:01:17.000 --> 00:01:19.000]  就會變成什麼?
[00:01:19.000 --> 00:01:21.000]  Imperfect church
[00:01:21.000 --> 00:01:23.000]  你一進去就會變成imperfect church
[00:01:23.000 --> 00:01:24.000]  有人呢
[00:01:24.000 --> 00:01:26.000]  就有什麼?
[00:01:26.000 --> 00:01:27.000]  有罪
[00:01:27.000 --> 00:01:28.000]  就有問題
[00:01:28.000 --> 00:01:29.000]  是不是?
[00:01:29.000 --> 00:01:32.000]  所以教會不是一個perfect place
[00:01:32.000 --> 00:01:33.000]  教會是一個什麼?
[00:01:33.000 --> 00:01:35.000]  好像一個什麼?
[00:01:35.000 --> 00:01:37.000]  What is it like?
[00:01:37.000 --> 00:01:38.000]  好像什麼?
[00:01:38.000 --> 00:01:40.000]  好像一個醫院
[00:01:40.000 --> 00:01:43.000]  Everybody needs help
[00:01:43.000 --> 00:01:45.000]  The church is like a hospital
[00:01:45.000 --> 00:01:47.000]  Everybody needs help
[00:01:47.000 --> 00:01:49.000]  Everybody needs a savior
[00:01:49.000 --> 00:01:51.000]  每個人都要有一個救主
[00:01:51.000 --> 00:01:52.000]  誰是我們的救主?
[00:01:52.000 --> 00:01:54.000]  耶穌是我們的救主
[00:01:54.000 --> 00:01:55.000]  Ok
[00:01:55.000 --> 00:01:58.000]  這個Corinthian church呢
[00:01:58.000 --> 00:01:59.000]  是有什麼問題?
[00:01:59.000 --> 00:02:00.000]  記不記得?
[00:02:00.000 --> 00:02:01.000]  首先呢
[00:02:01.000 --> 00:02:03.000]  Let's go next slide
[00:02:03.000 --> 00:02:04.000]  他們想
[00:02:04.000 --> 00:02:06.000]  他們覺得他們有很多什麼?
[00:02:06.000 --> 00:02:08.000]  有很多worldly wisdom
[00:02:08.000 --> 00:02:09.000]  智慧
[00:02:09.000 --> 00:02:11.000]  世界的智慧
[00:02:11.000 --> 00:02:12.000]  所以呢
[00:02:12.000 --> 00:02:13.000]  他們
[00:02:13.000 --> 00:02:15.000]  保羅就寫信給他們
[00:02:15.000 --> 00:02:19.000]  你不是單單應該有世界的智慧
[00:02:19.000 --> 00:02:22.000]  你需要有屬靈的智慧
[00:02:22.000 --> 00:02:24.000]  Spiritual wisdom
[00:02:24.000 --> 00:02:25.000]  還有呢
[00:02:25.000 --> 00:02:27.000]  他們有opposition to Paul's leadership
[00:02:27.000 --> 00:02:28.000]  他們覺得
[00:02:28.000 --> 00:02:30.000]  哇! 保羅你的leadership style
[00:02:30.000 --> 00:02:32.000]  太謙卑了
[00:02:32.000 --> 00:02:34.000]  我們不想那麼謙卑
[00:02:34.000 --> 00:02:37.000]  我們想很prideful那些
[00:02:37.000 --> 00:02:38.000]  很高級那些
[00:02:38.000 --> 00:02:39.000]  是不是?
[00:02:39.000 --> 00:02:41.000]  想很high class的
[00:02:41.000 --> 00:02:42.000]  我們suffer呢
[00:02:42.000 --> 00:02:45.000]  我們想在那些Hong Kong football club
[00:02:45.000 --> 00:02:46.000]  去suffer
[00:02:46.000 --> 00:02:47.000]  是不是?
[00:02:47.000 --> 00:02:48.000]  我們suffer呢
[00:02:48.000 --> 00:02:50.000]  我們去那些art club去suffer
[00:02:50.000 --> 00:02:51.000]  是不是?
[00:02:51.000 --> 00:02:52.000]  我們吃了很多pizza
[00:02:52.000 --> 00:02:53.000]  好熱氣
[00:02:53.000 --> 00:02:55.000]  This is my kind of suffering
[00:02:55.000 --> 00:02:57.000]  這是first Corinthians的kind of suffering
[00:02:57.000 --> 00:02:59.000]  不是去很遠的地方
[00:02:59.000 --> 00:03:01.000]  去third world country
[00:03:01.000 --> 00:03:03.000]  去吃一些很難吃的東西
[00:03:03.000 --> 00:03:04.000]  去suffer
[00:03:04.000 --> 00:03:06.000]  No! 我們去那些art club去suffer就好了
[00:03:06.000 --> 00:03:07.000]  是不是?
[00:03:07.000 --> 00:03:08.000]  That is the kind of suffering
[00:03:08.000 --> 00:03:10.000]  所以我們看看next slide
[00:03:10.000 --> 00:03:12.000]  保羅就remind他們
[00:03:12.000 --> 00:03:13.000]  是不是?
[00:03:13.000 --> 00:03:15.000]  不單止有worldly wisdom
[00:03:15.000 --> 00:03:17.000]  不單止做一個vibe christian
[00:03:17.000 --> 00:03:18.000]  我們做什麼?
[00:03:18.000 --> 00:03:19.000]  Spiritual christian
[00:03:19.000 --> 00:03:20.000]  是不是?
[00:03:20.000 --> 00:03:23.000]  我們是governed by the holy spirit
