
[00:00:00.000 --> 00:00:02.000]  多謝 姐妹平安
[00:00:02.000 --> 00:00:05.000]  感謝神今天我們又有相聚的時候
[00:00:05.000 --> 00:00:07.000]  來學習上帝的話語
[00:00:07.000 --> 00:00:11.000]  今天講到文素記十六和十七章
[00:00:11.000 --> 00:00:13.000]  講起十六十七章
[00:00:13.000 --> 00:00:15.000]  我給了一個講題
[00:00:15.000 --> 00:00:18.000]  叫做「救命的謙和和害命的驕傲」
[00:00:18.000 --> 00:00:20.000]  一路講下去
[00:00:20.000 --> 00:00:23.000]  盼望我們一起在經文裏學習到
[00:00:23.000 --> 00:00:25.000]  屬靈的功課
[00:00:25.000 --> 00:00:28.000]  開始進入十六十七章之前
[00:00:28.000 --> 00:00:32.000]  我們一起去回憶一下十五章
[00:00:32.000 --> 00:00:34.000]  十五章上個星期
[00:00:34.000 --> 00:00:37.000]  林牧師和我們講到
[00:00:37.000 --> 00:00:40.000]  十五章的經文是講獻祭
[00:00:40.000 --> 00:00:42.000]  包括有獻祭的種類
[00:00:42.000 --> 00:00:45.000]  和獻祭一些要注意的地方
[00:00:45.000 --> 00:00:50.000]  提到獻祭就是和上帝恢復關係的一個行動
[00:00:50.000 --> 00:00:52.000]  包括有感恩祭
[00:00:52.000 --> 00:00:55.000]  就是當我們領受了上帝的恩典
[00:00:55.000 --> 00:00:57.000]  然後我們來回應祂
[00:00:57.000 --> 00:00:59.000]  亦都包括了平安祭
[00:00:59.000 --> 00:01:03.000]  就是當獻祭者去獻祭的時候
[00:01:03.000 --> 00:01:07.000]  不單止是上帝收納那個祭物
[00:01:07.000 --> 00:01:10.000]  還可以獻祭者和身邊的人
[00:01:10.000 --> 00:01:13.000]  可以一起去分享那個祭物
[00:01:13.000 --> 00:01:14.000]  一起吃的
[00:01:14.000 --> 00:01:16.000]  就彼此來到去有一種和諧
[00:01:16.000 --> 00:01:18.000]  有一種平安
[00:01:18.000 --> 00:01:20.000]  跟著就有贖罪祭
[00:01:20.000 --> 00:01:22.000]  贖罪祭顧名思義
[00:01:22.000 --> 00:01:24.000]  就是當人犯罪的時候
[00:01:24.000 --> 00:01:29.000]  透過獻一些祭身來平息上帝的怒氣
[00:01:29.000 --> 00:01:32.000]  就在這個獻祭的條例
[00:01:32.000 --> 00:01:35.000]  即是獻祭的各樣事情裏面
[00:01:35.000 --> 00:01:37.000]  經文特別提到
[00:01:37.000 --> 00:01:40.000]  若果那些故意來藐視上帝
[00:01:40.000 --> 00:01:44.000]  連在獻祭的事上都要藐視神的話
[00:01:44.000 --> 00:01:47.000]  是違背上帝必被剪除
[00:01:47.000 --> 00:01:50.000]  同時間又提醒以色列人
[00:01:50.000 --> 00:01:54.000]  獻祭是祭司的職份
[00:01:54.000 --> 00:01:56.000]  但每一個以色列人
[00:01:56.000 --> 00:02:00.000]  他們穿的衣服都會有一件外袍
[00:02:00.000 --> 00:02:03.000]  外袍的邊就有一些藍色的帶子
[00:02:03.000 --> 00:02:08.000]  就似乎是祭司服裏面其中的一小部份
[00:02:08.000 --> 00:02:10.000]  用來提醒以色列人
[00:02:10.000 --> 00:02:12.000]  其實他們好像祭司一樣
[00:02:12.000 --> 00:02:15.000]  分別為聖來歸於神
[00:02:15.000 --> 00:02:21.000]  這個就是十五章講到獻祭的層面
[00:02:21.000 --> 00:02:23.000]  如果講到十五章的話
[00:02:23.000 --> 00:02:26.000]  那我又想和大家帶回去
[00:02:26.000 --> 00:02:28.000]  看多前兩章的經文
[00:02:28.000 --> 00:02:30.000]  在十三十四章
[00:02:30.000 --> 00:02:32.000]  有普遍弟兄小妹都很熟悉的
[00:02:32.000 --> 00:02:36.000]  就是十二個探子去窺探迦南地
[00:02:36.000 --> 00:02:39.000]  十二個進去 幾多個出來
[00:02:39.000 --> 00:02:42.000]  知不知道
[00:02:42.000 --> 00:02:44.000]  十二個出來
[00:02:44.000 --> 00:02:48.000]  不過有幾多說不要再去了
[00:02:48.000 --> 00:02:50.000]  十個
[00:02:50.000 --> 00:02:52.000]  十二個回來
[00:02:52.000 --> 00:02:56.000]  其中有十個說千萬不要去迦南地
[00:02:56.000 --> 00:02:58.000]  因為那裏的人是怎樣的
[00:02:58.000 --> 00:03:00.000]  高大威猛
[00:03:00.000 --> 00:03:02.000]  可能比我還要高大威猛
[00:03:02.000 --> 00:03:04.000]  很可怕的
[00:03:04.000 --> 00:03:05.000]  千萬不要去
[00:03:05.000 --> 00:03:07.000]  去到就死路一條
[00:03:07.000 --> 00:03:10.000]  但是他們回去的時候
[00:03:10.000 --> 00:03:12.000]  就不只是帶著惡號
[00:03:12.000 --> 00:03:16.000]  他們還帶著當地的物產
[00:03:16.000 --> 00:03:20.000]  他們就抬著葡萄
[00:03:20.000 --> 00:03:22.000]  我想問弟兄姐妹
[00:03:22.000 --> 00:03:23.000]  你平時買葡萄
[00:03:23.000 --> 00:03:25.000]  你會不會用肩膀抬著
[00:03:25.000 --> 00:03:28.000]  有沒有人抬過葡萄
[00:03:28.000 --> 00:03:31.000]  一掛葡萄要抬的
[00:03:31.000 --> 00:03:34.000]  可想而知那些葡萄是多麼的大
[00:03:34.000 --> 00:03:38.000]  證明他們去窺探迦南地
[00:03:38.000 --> 00:03:43.000]  確實是物產很豐富
[00:03:43.000 --> 00:03:45.000]  確實是流奶於物之地
[00:03:45.000 --> 00:03:47.000]  既然流奶於物之地
