
[00:00:00.000 --> 00:00:02.160]   (silence)
[00:00:02.160 --> 00:00:05.560]   - Good evening, everybody.
[00:00:05.560 --> 00:00:08.660]   And we've been going through Beware, Bit Grow.
[00:00:08.660 --> 00:00:11.620]   Who's been enjoying 2 Peter?
[00:00:11.620 --> 00:00:14.520]   Some really important lessons in 2 Peter.
[00:00:14.520 --> 00:00:17.520]   And Pastor John kicked us off the first week
[00:00:17.520 --> 00:00:20.160]   and he talked about the true Christian, right?
[00:00:20.160 --> 00:00:21.360]   The true Christian.
[00:00:21.360 --> 00:00:22.600]   Oh, it's hard to breathe.
[00:00:22.600 --> 00:00:23.640]   (laughing)
[00:00:23.640 --> 00:00:25.720]   I gotta inhale every time.
[00:00:25.720 --> 00:00:28.080]   All right.
[00:00:28.080 --> 00:00:30.760]   Pastor John talked about the true Christian life
[00:00:30.760 --> 00:00:32.340]   the first week, right?
[00:00:32.340 --> 00:00:36.060]   When a Christian, sorry.
[00:00:36.060 --> 00:00:40.000]   When a Christian begins with faith
[00:00:40.000 --> 00:00:41.200]   and then what happens?
[00:00:41.200 --> 00:00:43.060]   There's results, right?
[00:00:43.060 --> 00:00:46.040]   There's spiritual growth that happens afterwards.
[00:00:46.040 --> 00:00:49.840]   And the spiritual growth leads to practical results, right?
[00:00:49.840 --> 00:00:53.040]   There are qualities that Peter listed there.
[00:00:53.040 --> 00:00:56.120]   It was love, it was goodness, it was knowledge.
[00:00:56.120 --> 00:01:00.640]   All of these things come about as we become more like God.
[00:01:00.640 --> 00:01:03.240]   And then Pastor James did a really powerful sermon
[00:01:03.240 --> 00:01:08.240]   last week, warning us on the false prophets way of life.
[00:01:08.240 --> 00:01:09.520]   Right?
[00:01:09.520 --> 00:01:13.020]   They are like people, like dogs actually,
[00:01:13.020 --> 00:01:14.860]   that come back to their own vomit,
[00:01:14.860 --> 00:01:18.260]   like freshly washed pigs that roll back into the mud.
[00:01:18.260 --> 00:01:24.700]   They are actually slaves to money, sex, and power.
[00:01:25.300 --> 00:01:26.560]   They're talking about freedom.
[00:01:26.560 --> 00:01:27.960]   They wanna live a free life,
[00:01:27.960 --> 00:01:32.960]   but they're actually enslaved by their own sensual desires.
[00:01:32.960 --> 00:01:38.960]   And Peter continues to talk about warnings
