
[00:00:00.000 --> 00:00:03.160]   (audience applauding)
[00:00:03.160 --> 00:00:07.760]   - I tell you what, what a service to worship to him.
[00:00:07.760 --> 00:00:10.880]   Amazing, I can't think of any place in the world
[00:00:10.880 --> 00:00:12.760]   I'd rather be tonight than to be here.
[00:00:12.760 --> 00:00:14.840]   It was great to be in the presence of God.
[00:00:14.840 --> 00:00:16.400]   Thank you so much.
[00:00:16.400 --> 00:00:18.780]   But I wanna talk about the Corinthian church.
[00:00:18.780 --> 00:00:24.440]   The Corinthian church was a mess.
[00:00:26.040 --> 00:00:31.040]   I spoke two weeks ago on the Apostle Paul's need
[00:00:31.040 --> 00:00:36.520]   to remind them of order in the church.
[00:00:36.520 --> 00:00:42.640]   The major issue was the use of spiritual gifts
[00:00:42.640 --> 00:00:48.840]   or should I say the misuse of spiritual gifts.
[00:00:48.840 --> 00:00:55.360]   Now Paul had quite a bit to say about this
[00:00:55.360 --> 00:00:58.840]   and I'm gonna attempt to cover it this evening.
[00:00:58.840 --> 00:01:04.540]   My overriding verse and it applies to us tonight.
[00:01:04.540 --> 00:01:08.560]   1 Corinthians 12 one.
[00:01:08.560 --> 00:01:11.520]   Now concerning spiritual gifts, brothers,
[00:01:11.520 --> 00:01:13.520]   that means brothers and sisters,
[00:01:13.520 --> 00:01:18.800]   I do not want you to be uninformed.
[00:01:18.800 --> 00:01:20.680]   Other translations actually say
[00:01:20.680 --> 00:01:24.220]   I do not want you to be ignorant.
[00:01:25.060 --> 00:01:30.060]   Now concerning spiritual gifts, KSCI,
[00:01:30.060 --> 00:01:35.020]   I do not want you to be uninformed or ignorant.
[00:01:35.020 --> 00:01:40.020]   Now the first thing I think I need to cover is this.
[00:01:40.020 --> 00:01:42.420]   What is a spiritual gift?
[00:01:42.420 --> 00:01:46.960]   Well, spiritual gifts are something
[00:01:46.960 --> 00:01:51.960]   that every believer is given when they receive salvation
[00:01:52.200 --> 00:01:56.400]   by faith through grace.
[00:01:56.400 --> 00:02:03.080]   Just as the gift of salvation is by grace through faith,
[00:02:03.080 --> 00:02:08.540]   we can't earn it, so are the spiritual gifts.
[00:02:08.540 --> 00:02:13.680]   Our God is so generous.
[00:02:13.680 --> 00:02:19.680]   He is constantly giving us things.
[00:02:21.800 --> 00:02:26.800]   The New Testament contains several lists of spiritual gifts
[00:02:26.800 --> 00:02:32.080]   but what you'll see in a moment
[00:02:32.080 --> 00:02:35.820]   is that most are in the Pauline epistles,
[00:02:35.820 --> 00:02:38.240]   the epistles written by Paul.
[00:02:38.240 --> 00:02:43.120]   And while each list is unique, there is an overlap.
[00:02:43.120 --> 00:02:45.200]   Have a look at the list on your screen.
[00:02:47.560 --> 00:02:51.840]   Even this list is not exhaustive.
[00:02:51.840 --> 00:02:57.880]   And spiritual gifts include natural gifts
[00:02:57.880 --> 00:03:01.280]   that are empowered by the Spirit.
[00:03:01.280 --> 00:03:07.840]   And I'm gonna focus this evening
[00:03:07.840 --> 00:03:11.840]   on the gifts that you see there in 1 Corinthians 12.
[00:03:11.840 --> 00:03:14.760]   I wanna read that passage to you.
[00:03:14.760 --> 00:03:18.760]   I'm gonna start at verse four.
[00:03:18.760 --> 00:03:23.760]   Now there are varieties of gifts but the same Spirit.
[00:03:23.760 --> 00:03:31.520]   And there are varieties of service but the same Lord.
[00:03:31.520 --> 00:03:36.000]   And there are varieties of activities
[00:03:36.000 --> 00:03:40.180]   but it is the same God who empowers them all in everyone.
[00:03:42.080 --> 00:03:47.080]   To each, to each is given the manifestation
[00:03:47.080 --> 00:03:51.920]   of the Spirit for the common good.
[00:03:51.920 --> 00:03:56.800]   For to one is given through the Spirit
[00:03:56.800 --> 00:04:00.520]   the utterance of wisdom and to another,
[00:04:00.520 --> 00:04:05.320]   the utterance of knowledge according to the same Spirit.
[00:04:05.320 --> 00:04:08.400]   To another, faith by the same Spirit.
[00:04:08.400 --> 00:04:11.600]   To another, gifts of healing by the same Spirit.
[00:04:12.440 --> 00:04:16.480]   To another, the working of miracles.
[00:04:16.480 --> 00:04:18.080]   To another, prophecy.
[00:04:18.080 --> 00:04:22.240]   To another, the ability to distinguish between spirits.
[00:04:22.240 --> 00:04:27.240]   To another, various kinds of tongues.
[00:04:27.240 --> 00:04:32.200]   And to another, the interpretation of tongues.
[00:04:32.200 --> 00:04:38.720]   All these are empowered by one and the same Spirit.
[00:04:39.600 --> 00:04:44.600]   Who apportions to each individually as He wills.
[00:04:44.600 --> 00:04:47.920]   I wanna look at this passage pictorially
[00:04:47.920 --> 00:04:49.320]   and thanks to Bonnie here.
[00:04:49.320 --> 00:04:52.200]   I've split this into three groups.
[00:04:52.200 --> 00:04:57.680]   There are three gifts of revelation,
[00:04:57.680 --> 00:05:01.120]   namely wisdom, knowledge and discernment.
[00:05:01.120 --> 00:05:07.120]   And each of these require us to say something.
[00:05:07.120 --> 00:05:12.120]   There are three gifts of power, faith, miracles, healing,
[00:05:12.120 --> 00:05:16.160]   which require us to do something.
[00:05:16.160 --> 00:05:23.040]   And thirdly, three gifts of inspiration,
[00:05:23.040 --> 00:05:28.400]   prophecy, tongues, interpretation of tongues,
[00:05:28.400 --> 00:05:32.080]   which require us to reveal something.
[00:05:34.040 --> 00:05:39.040]   Now this is obviously not an exhaustive list.
[00:05:39.040 --> 00:05:43.800]   In other lists, we've seen them already of the Spirit.
[00:05:43.800 --> 00:05:46.920]   We see gifts of service, encouraging,
[00:05:46.920 --> 00:05:48.840]   contributing to the needs of others,
[00:05:48.840 --> 00:05:52.680]   leadership, showing mercy, evangelists, pastors,
[00:05:52.680 --> 00:05:54.920]   all kinds of gifts.
[00:05:54.920 --> 00:06:01.840]   But the main point is that we, the church,
[00:06:02.920 --> 00:06:07.760]   the church, we need all of them.
[00:06:07.760 --> 00:06:14.400]   And what Paul does, he uses the analogy of a body.
[00:06:14.400 --> 00:06:16.360]   I love this.
[00:06:16.360 --> 00:06:18.000]   He talks about the nose.
[00:06:18.000 --> 00:06:22.600]   It says, I'm no more important than the eye.
[00:06:22.600 --> 00:06:27.600]   We need every different part of the body of Christ.
[00:06:29.560 --> 00:06:33.320]   And some of these gifts more obviously demonstrate
[00:06:33.320 --> 00:06:36.040]   the unusual acts of God in this world.
[00:06:36.040 --> 00:06:39.440]   For example, the gift of speaking in tongues or miracles.
[00:06:39.440 --> 00:06:45.040]   But it also includes natural talents,
[00:06:45.040 --> 00:06:48.080]   which can be transformed by the Holy Spirit.
