
[00:00:00.000 --> 00:00:01.880]   Good, good.
[00:00:01.880 --> 00:00:05.480]   So good to be able to preach to you all, not via a camera.
[00:00:05.480 --> 00:00:09.880]   You've all got your masks on, so I can't see you.
[00:00:09.880 --> 00:00:10.880]   Really good to see you all.
[00:00:10.880 --> 00:00:11.880]   Hope you're all doing well.
[00:00:11.880 --> 00:00:15.880]   Hope you're all going to be staying safe in these next couple of weeks or months.
[00:00:15.880 --> 00:00:19.720]   We actually had to finish the last series on Ephesians online.
[00:00:19.720 --> 00:00:22.760]   It was about identity, about who do we think we are.
[00:00:22.760 --> 00:00:26.160]   We finished it talking about putting on the whole armour of God.
[00:00:26.160 --> 00:00:30.800]   And then Pastor John last week started us off on a new series leading up to Easter called
[00:00:30.800 --> 00:00:34.120]   Jesus is King.
[00:00:34.120 --> 00:00:39.520]   Nothing to do, no connection with Kanye West's latest album.
[00:00:39.520 --> 00:00:44.840]   But this idea of heading up to Easter and really digging into who Jesus is and what
[00:00:44.840 --> 00:00:47.460]   the gospels say about him.
[00:00:47.460 --> 00:00:52.080]   And he went through, and John went through the genealogy of Jesus.
[00:00:52.080 --> 00:00:58.120]   He went from the 14 generations from Abraham to David, and then from the 14 generations
[00:00:58.120 --> 00:01:02.520]   from David to the deportation to Babylon, and then another 14 generations from Babylon
[00:01:02.520 --> 00:01:04.360]   to Jesus' birth.
[00:01:04.360 --> 00:01:05.840]   And that was Matthew chapter 1.
[00:01:05.840 --> 00:01:07.940]   And today, and that was the King's record.
[00:01:07.940 --> 00:01:11.920]   And today I want to be talking about the King's rise.
[00:01:11.920 --> 00:01:17.440]   The genealogy really showed us that mankind, the history of mankind was all pointing to
[00:01:17.440 --> 00:01:19.120]   one point.
[00:01:19.120 --> 00:01:23.240]   The arrival of the King, the Kingdom of Heaven arriving on earth.
[00:01:23.240 --> 00:01:29.240]   Matthew chapters 3 and 4 talks to us about Jesus announcing his ministry to the world.
[00:01:29.240 --> 00:01:33.600]   This is Jesus beginning his story, the King's rise.
[00:01:33.600 --> 00:01:38.000]   And John last week gave us four different points about the genealogy.
[00:01:38.000 --> 00:01:41.400]   And today I'm going to give you the four A's about the King's rise.
[00:01:41.400 --> 00:01:45.760]   Of course, these two chapters are huge, and there's so much in there, there could be at
[00:01:45.760 --> 00:01:47.280]   least a whole series in these two chapters.
[00:01:47.280 --> 00:01:51.440]   But I'm going to split this into four very simple parts, the four A's.
[00:01:51.440 --> 00:01:57.920]   The first about the King's rise is there is an announcement, and then there is an approval
[00:01:57.920 --> 00:01:58.920]   process.
[00:01:58.920 --> 00:02:05.160]   He's announced, and then he's approved, and then he is assessed, and finally he assembles.
[00:02:05.160 --> 00:02:09.920]   And as we look at this, as we look at how Jesus rises, I hope that it's of an encouragement
[00:02:09.920 --> 00:02:16.760]   to you that Jesus is King, even though outside it's very uncertain, that Jesus remains sovereign
[00:02:16.760 --> 00:02:19.560]   and is ruling and is King.
[00:02:19.560 --> 00:02:21.320]   So the first one is this.
[00:02:21.320 --> 00:02:22.920]   Jesus is announced.
[00:02:22.920 --> 00:02:25.720]   Matthew chapter 3, verse 2 says this.
[00:02:25.720 --> 00:02:30.800]   There's a guy who's in the wilderness, and he shouts this phrase, verse 2, "Repent, for
[00:02:30.800 --> 00:02:33.160]   the kingdom of heaven is at hand."
[00:02:33.160 --> 00:02:34.160]   Who is this guy?
[00:02:34.160 --> 00:02:35.280]   John the Baptist.
[00:02:35.280 --> 00:02:37.480]   Matthew is writing about John the Baptist.
[00:02:37.480 --> 00:02:40.480]   He's saying, "Repent, and the kingdom of heaven is at hand."
[00:02:40.480 --> 00:02:43.560]   That kingdom of heaven word is basically the same as kingdom of God.
[00:02:43.560 --> 00:02:48.160]   But it's interesting here because Matthew was writing to the Jewish people, and he knew
[00:02:48.160 --> 00:02:51.880]   that the Jewish people really are uncomfortable with the word God.
[00:02:51.880 --> 00:02:54.960]   So instead of saying the kingdom of God, he would say the kingdom of heaven.
[00:02:54.960 --> 00:02:57.420]   They're really the same things.
[00:02:57.420 --> 00:03:02.200]   And you know Matthew is talking to the Jewish people because then he writes the next verse,
[00:03:02.200 --> 00:03:04.400]   he quotes the prophet Isaiah.
[00:03:04.400 --> 00:03:08.420]   Isaiah 40, verse 3 says this, and Matthew writes this in the next verse, "The voice
[00:03:08.420 --> 00:03:11.920]   of one crying in the wilderness, 'Prepare the way of the Lord.
[00:03:11.920 --> 00:03:13.680]   Make his path straight.'"
[00:03:13.680 --> 00:03:17.960]   What he's telling the Jews here is that that guy that you've been waiting for, that guy
[00:03:17.960 --> 00:03:23.040]   that you have been expecting to come and rescue you, he is here.
[00:03:23.040 --> 00:03:25.560]   The time is now, Jewish people.
[00:03:25.560 --> 00:03:26.560]   Do you get it?
[00:03:26.560 --> 00:03:27.740]   Do you know that it is him?
[00:03:27.740 --> 00:03:30.580]   He's confirming to them this is the guy now.
[00:03:30.580 --> 00:03:31.680]   And who's announcing this?
[00:03:31.680 --> 00:03:33.080]   John the Baptist.
[00:03:33.080 --> 00:03:37.200]   Incredibly counter-cultural model of sacrificial obedience.
[00:03:37.200 --> 00:03:40.960]   A crazy man is what we would say about him if we saw him in the streets.
