
[00:00:00.000 --> 00:00:08.000]  等子妹晚安
[00:00:08.000 --> 00:00:13.000]  今天我們會繼續看彼得前書
[00:00:13.000 --> 00:00:17.000]  第四章十二節
[00:00:17.000 --> 00:00:25.000]  其實到尾段就是這本書的終結大段落
[00:00:25.000 --> 00:00:31.000]  我們先看看,如果很快跟大家回顧一下
[00:00:31.000 --> 00:00:36.000]  整本彼得前書只有五章聖經
[00:00:36.000 --> 00:00:40.000]  它頭一章到二章十節
[00:00:40.000 --> 00:00:44.000]  其實是跟我們重溫我們作為神的兒女
[00:00:44.000 --> 00:00:46.000]  這個身份很重要
[00:00:46.000 --> 00:00:50.000]  如果我們今天不清楚自己的身份是什麼
[00:00:50.000 --> 00:00:56.000]  這個會直接影響你怎樣去看自己的家庭
[00:00:56.000 --> 00:01:01.000]  甚至你在這個世代的角色是怎樣
[00:01:01.000 --> 00:01:05.000]  救恩的榮耀和含義正正讓我們看見
[00:01:05.000 --> 00:01:07.000]  其實我們今天作為神的兒女
[00:01:07.000 --> 00:01:10.000]  我們是蒙這位復活的主耶穌
[00:01:10.000 --> 00:01:13.000]  祂自己的補血救贖
[00:01:13.000 --> 00:01:17.000]  而我們因著這一份所謂拯救
[00:01:17.000 --> 00:01:21.000]  其實我們的人生完全改變了
[00:01:21.000 --> 00:01:26.000]  而改變了就是要面對二章十一節到四章十一節
[00:01:26.000 --> 00:01:30.000]  上次李文耀博士所說的最後一個段落
[00:01:30.000 --> 00:01:33.000]  基督徒在一個敵視的社會當中
[00:01:33.000 --> 00:01:37.000]  我們怎樣依然忠心跟隨上帝
[00:01:37.000 --> 00:01:42.000]  我們去行善和積極
[00:01:42.000 --> 00:01:46.000]  在一個所謂的逼迫處境下
[00:01:46.000 --> 00:01:49.000]  我們仍然正直地生活
[00:01:49.000 --> 00:01:52.000]  如果我們今天作為神的兒女
[00:01:52.000 --> 00:01:55.000]  我們自己犯罪
[00:01:55.000 --> 00:01:59.000]  自己做一些不公義的事
[00:01:59.000 --> 00:02:02.000]  而我們招惹到自己要受苦的話
[00:02:02.000 --> 00:02:04.000]  我們說罪有應得
[00:02:04.000 --> 00:02:06.000]  「你與人無尤」
[00:02:06.000 --> 00:02:11.000]  但是我們要堅持去跟隨主
[00:02:11.000 --> 00:02:13.000]  但我們反而要受迫害
[00:02:13.000 --> 00:02:17.000]  甚至是跌落別人或控告等等
[00:02:17.000 --> 00:02:22.000]  這帶來我們今天在結尾
[00:02:22.000 --> 00:02:25.000]  由四章十二節到五章十一節
[00:02:25.000 --> 00:02:29.000]  是包含到五章一到九節
[00:02:29.000 --> 00:02:33.000]  怎樣作為教會的領袖
[00:02:33.000 --> 00:02:37.000]  要面對當時當下的迫害
[00:02:37.000 --> 00:02:41.000]  這個迫害是會越來越嚴重的
[00:02:41.000 --> 00:02:45.000]  第一世紀初期教會面對的迫害
[00:02:45.000 --> 00:02:49.000]  最主要是因為他們是傳揚耶穌基督
[00:02:49.000 --> 00:02:51.000]  已經從死裡復活
[00:02:51.000 --> 00:02:55.000]  但那些宗教領袖不肯讓他們去傳這樣的東西
[00:02:55.000 --> 00:03:03.000]  而羅馬的官員也說
[00:03:03.000 --> 00:03:05.000]  凱撒大帝只有一個
[00:03:05.000 --> 00:03:08.000]  為何你說以耶穌基督為主呢?
[00:03:08.000 --> 00:03:12.000]  所以在這樣的社會
[00:03:12.000 --> 00:03:15.000]  政治和文化背景下
[00:03:15.000 --> 00:03:19.000]  我們要了解他們當時所面對的事情
[00:03:19.000 --> 00:03:23.000]  我們看今天這個段落的時候
[00:03:23.000 --> 00:03:26.000]  由四章十二節到十九節
[00:03:26.000 --> 00:03:29.000]  我們先做一個簡單的禱告
[00:03:29.000 --> 00:03:31.000]  天父求你幫助講的聽的
[00:03:31.000 --> 00:03:33.000]  我們都能夠同感一靈
[00:03:33.000 --> 00:03:35.000]  我們再一次同德造就
[00:03:35.000 --> 00:03:37.000]  是因為真理的聖靈
[00:03:37.000 --> 00:03:40.000]  你不斷地透過你自己的聖言
[00:03:40.000 --> 00:03:42.000]  在歷世歷代
[00:03:42.000 --> 00:03:46.000]  你都有適時的教導和提醒
[00:03:46.000 --> 00:03:50.000]  讓我們在這個末後的大時代裡
[00:03:50.000 --> 00:03:52.000]  我們仍然不懼怕
[00:03:52.000 --> 00:03:55.000]  我們要選擇用信心
[00:03:55.000 --> 00:03:57.000]  看前面的路
[00:03:57.000 --> 00:04:02.000]  雖然我們好像眼睛無法預知所有的東西
[00:04:02.000 --> 00:04:04.000]  但我們能夠憑著信
[00:04:04.000 --> 00:04:07.000]  就是我們的耶穌基督
[00:04:07.000 --> 00:04:09.000]  你是教會真正的元首
[00:04:09.000 --> 00:04:11.000]  你是領航
[00:04:11.000 --> 00:04:13.000]  你也為我們開一條
[00:04:13.000 --> 00:04:17.000]  那條真是又新又活的路
[00:04:17.000 --> 00:04:19.000]  讓我們眾鼎姐妹
[00:04:19.000 --> 00:04:21.000]  我們要始至不渝
[00:04:21.000 --> 00:04:24.000]  忠心一生無悔地
[00:04:24.000 --> 00:04:26.000]  我們去跟隨和侍奉你
[00:04:26.000 --> 00:04:29.000]  更加讓福音這個群體
[00:04:29.000 --> 00:04:31.000]  我們繼續不斷地去講傳
[00:04:31.000 --> 00:04:32.000]  讓更多人有蒙恩
[00:04:32.000 --> 00:04:34.000]  我們跟深合夜祈禱
[00:04:34.000 --> 00:04:36.000]  奉主耶穌基督性命求
[00:04:36.000 --> 00:04:37.000]  阿們
[00:04:37.000 --> 00:04:41.000]  請大家先讀今天這段經文
[00:04:41.000 --> 00:04:46.000]  我會將它分成幾個段落
[00:04:46.000 --> 00:04:49.000]  這樣比較容易跟大家解釋
[00:04:49.000 --> 00:04:54.000]  教徒如何去面對我們人生的苦難
[00:04:54.000 --> 00:04:58.000]  這些苦難究竟是指什麼苦難
[00:04:58.000 --> 00:05:00.000]  我等一下會跟大家分享
[00:05:00.000 --> 00:05:02.000]  我們先讀十二和十三節
[00:05:02.000 --> 00:05:03.000]  我們一起讀
[00:05:03.000 --> 00:05:08.000]  「親愛的,有火一般的考驗臨到你們
[00:05:08.000 --> 00:05:12.000]  不要奇怪,似乎是遭遇非常的事
