
[00:00:00.000 --> 00:00:04.360]  今天有本堂傳道 周遠錚傳道
[00:00:04.360 --> 00:00:06.360]  為我們宣講一神話語
[00:00:06.360 --> 00:00:10.240]  他的題目是反倒虛偈的夫妻之道
[00:00:10.240 --> 00:00:12.240]  聖文是彼得前書三章一至七節
[00:00:12.240 --> 00:00:21.240]  大英姐妹平安
[00:00:21.240 --> 00:00:24.760]  感謝神今天又有機會分享上帝的說話
[00:00:24.760 --> 00:00:28.520]  今天是講到彼得前書三章一至七節
[00:00:28.520 --> 00:00:30.520]  關於夫妻的相處
[00:00:30.520 --> 00:00:35.040]  我今天採用《環球聖經》新譯本
[00:00:35.040 --> 00:00:38.560]  我們一起讀這七節經文
[00:00:38.560 --> 00:00:40.560]  預備起
[00:00:40.560 --> 00:00:43.560]  同樣你們做妻子的
[00:00:43.560 --> 00:00:46.560]  要信服自己的丈夫
[00:00:46.560 --> 00:00:51.560]  這樣就算有不信從者道的丈夫
[00:00:51.560 --> 00:00:53.560]  妻子不用說話
[00:00:53.560 --> 00:00:58.560]  他們也會被妻子的品行感化過來
[00:00:58.560 --> 00:01:05.560]  因為他們看見你們敬畏和純潔的品行
[00:01:05.560 --> 00:01:09.560]  你們的裝飾不要是外在的
[00:01:09.560 --> 00:01:15.560]  如編頭髮和戴金飾或穿華美的衣服
[00:01:15.560 --> 00:01:20.560]  而應該是那隱而不顯的人
[00:01:20.560 --> 00:01:25.560]  要視你們的內心有謙和安靜的心靈
[00:01:25.560 --> 00:01:28.560]  為不能扭壞的裝飾
[00:01:28.560 --> 00:01:32.560]  這在神面前是極寶貴的
[00:01:32.560 --> 00:01:37.560]  要知道從前仰望神的聖潔婦女
[00:01:37.560 --> 00:01:42.560]  正是這樣以信服丈夫裝飾自己
[00:01:44.560 --> 00:01:59.560]  (主持人讀書)
[00:01:59.560 --> 00:02:04.560]  同樣你們做丈夫的
[00:02:04.560 --> 00:02:08.560]  也要按情理與妻子同住
[00:02:08.560 --> 00:02:11.560]  因為女性是較弱的器皿
[00:02:11.560 --> 00:02:13.560]  要尊重她
[00:02:13.560 --> 00:02:17.560]  因為她與你一同承受生命恩典
[00:02:17.560 --> 00:02:22.560]  這樣你們的禱告就不會受難了
[00:02:22.560 --> 00:02:25.560]  很簡單的七節經文
[00:02:25.560 --> 00:02:29.560]  讀的時候很容易體會到
[00:02:29.560 --> 00:02:32.560]  一定是在說夫婦的關係
[00:02:32.560 --> 00:02:34.560]  即是說做妻子
[00:02:34.560 --> 00:02:36.560]  妻子要怎樣?
[00:02:36.560 --> 00:02:38.560]  信服丈夫
[00:02:38.560 --> 00:02:40.560]  丈夫要怎樣?
