
[00:00:00.000 --> 00:00:11.000]  各位explorer大家好,今天因為一些緣故要透過這個方法和大家見面
[00:00:11.000 --> 00:00:24.000]  再次和大家分享上帝的話,雖然不在現場,但希望我們都能夠在不同的地方思考上帝的話
[00:00:24.000 --> 00:00:32.000]  今天是我們來到章林祭最後一個星期,也是聖誕節之前的一個星期日
[00:00:32.000 --> 00:00:39.000]  如果大家有印象的話,這兩個星期日我們都分享了兩個不同人物的故事
[00:00:39.000 --> 00:00:45.000]  分別就是約瑟和瑪利亞的故事,今天都是說一些關於人的故事
[00:00:45.000 --> 00:00:54.000]  都是說一些人如何遇見耶穌,經歷了生命的改變,今天會集中說兩組人
[00:00:54.000 --> 00:01:01.000]  一組就是牧羊人,另一組就是東方博士,可能你會想,這兩組人不是很熟悉嗎?
[00:01:01.000 --> 00:01:07.000]  到底我們有什麼可以學習呢?今天我們嘗試從聖經裡面的說話
[00:01:07.000 --> 00:01:13.000]  看到他們遇見耶穌的時候,到底為他們的生命帶來什麼改變
[00:01:13.000 --> 00:01:19.000]  在開始之前,先考大家一些基本的聖經常識
[00:01:19.000 --> 00:01:23.000]  到底我們有多少個博士去看耶穌呢?
[00:01:23.000 --> 00:01:31.000]  我給大家三秒時間去想,多數我猜有些人是在想三個,又或者是幾個
[00:01:31.000 --> 00:01:36.000]  其實在聖經裡面,我們知道博士帶了三份禮物去見耶穌
[00:01:36.000 --> 00:01:44.000]  所以在聖經的故事裡面,會寫有三個博士去送禮物
[00:01:44.000 --> 00:01:49.000]  但是我們去看關於聖經的經文的時候,其實是這麼說的
[00:01:49.000 --> 00:01:56.000]  他就說有幾個博士從東方帶著禮物來,這些博士是幾個
[00:01:56.000 --> 00:02:01.000]  他們見完希律王之後,就開始他們的旅程
[00:02:01.000 --> 00:02:05.000]  今天說的經文主要是來自兩個不同的部分
[00:02:05.000 --> 00:02:13.000]  首先說東方博士的部分,就是馬太福音第二章第九到第十一節
[00:02:13.000 --> 00:02:20.000]  在這裡說,這幾個博士見過希律王之後,他們就繼續旅程
[00:02:20.000 --> 00:02:24.000]  於是他們就看著一顆星去走
[00:02:24.000 --> 00:02:31.000]  他們走到去找嬰兒耶穌的時候,他們就很歡喜,很開心
[00:02:31.000 --> 00:02:36.000]  所以就把禮物送給小朋友和耶穌
[00:02:36.000 --> 00:02:41.000]  這個就是在聖經裡面關於東方博士的記載
[00:02:41.000 --> 00:02:46.000]  我猜我們也未必會很留意這班博士是什麼背景
[00:02:46.000 --> 00:02:52.000]  事實上在這段經文裡面,我們也未必看到到底這些博士是做什麼的
[00:02:52.000 --> 00:02:57.000]  他們是什麼職業,他們是服侍什麼的,我們是不知道的
[00:02:57.000 --> 00:03:03.000]  但是無論是黃金、乳香、末藥這些,都是當時很貴重的東西
[00:03:03.000 --> 00:03:07.000]  所以這些博士都是相對比較有錢和有地位的人
[00:03:07.000 --> 00:03:11.000]  不過他們能夠找到耶穌,靠的都是那顆星
[00:03:11.000 --> 00:03:17.000]  就不是因為他們的知識,而是因為那顆星才能找到耶穌
[00:03:17.000 --> 00:03:22.000]  除了博士之外,在耶穌出生的時候,還有一班牧羊人在他們中間
[00:03:22.000 --> 00:03:28.000]  這班牧羊人又是怎樣呢?經文沒有太多交代到是怎樣的
[00:03:28.000 --> 00:03:31.000]  但是經文怎樣介紹這班牧羊人呢?
[00:03:31.000 --> 00:03:37.000]  是這樣說的,有些牧人在附近露宿,去夜間看守羊群
[00:03:37.000 --> 00:03:41.000]  牧羊人看羊群是很正常的事情,是不是?
[00:03:41.000 --> 00:03:50.000]  等於我們每天,可能我們做學生的,我們的工作就是上課、放學、參加課外活動
[00:03:50.000 --> 00:03:56.000]  在路加福音這個技術裡面,在耶穌出生的時候,就是那個時間
[00:03:56.000 --> 00:04:04.000]  而在那個地方附近,附近的字就是牧羊人和耶穌在附近的地方
[00:04:04.000 --> 00:04:09.000]  他們在做正常的事情,平時的工作就是在夜間看守羊群
[00:04:09.000 --> 00:04:19.000]  但是我們今天說耶穌的出生,對東方博士也好,對這班牧羊人也好,其實就打破了他們的恆常生活
[00:04:19.000 --> 00:04:24.000]  為什麼這樣說呢?就是因為第九節這樣說的,路加福就這樣說
[00:04:24.000 --> 00:04:31.000]  他說有主的一個使者向他們顯現,主的榮光四面照著他們,他們就很驚恐了
[00:04:31.000 --> 00:04:37.000]  有時候我想到這裡也挺有趣的景象,因為今天多數我們有些人不信耶穌
[00:04:37.000 --> 00:04:42.000]  他就會說如果耶穌出現在我面前,我看到祂,我就相信了
[00:04:42.000 --> 00:04:46.000]  有時候我想到底耶穌出現在我們面前是什麼樣子呢?
[00:04:46.000 --> 00:04:57.000]  或者我們也會想天使出現在我們的面前,如果有這樣的話就好了,就好像體會回當時的神蹟一樣
[00:04:57.000 --> 00:05:08.000]  但是很可能我自己猜測,我們可能太多數會想天使是很美麗的天使,就像左邊的圖片
[00:05:08.000 --> 00:05:18.000]  但是如果我們按聖經所說,很多天使的樣子可能會更加嚇人,或者其實不是那麼美麗
[00:05:18.000 --> 00:05:29.000]  所以對牧群人來說,當有天使來介入他們正常生活的時候,其實是害怕的,不是有趣的東西
[00:05:29.000 --> 00:05:42.000]  甚至可以說當時四周是黑的,經文說四周是黑夜的時候,突然之間有光的話,就好像開大光燈,也挺害怕的
[00:05:42.000 --> 00:05:51.000]  不是有趣的東西,所以在敘事裡面,他們很害怕,天使也猜到他們有什麼反應
[00:05:51.000 --> 00:06:03.000]  所以在聖經裡面,天使就跟牧羊人說不要害怕,不要因為突然有人在他們正常生活裡加入了,他們就害怕
[00:06:03.000 --> 00:06:10.000]  天使就嘗試將他們的焦點轉去,到底神想做些什麼呢?
[00:06:10.000 --> 00:06:22.000]  其實我們不陌生的,因為這個內容很多時候我們在聖誕節的聚會,或者我們有時候跟人分享關於耶穌的時候都會說到的
[00:06:22.000 --> 00:06:31.000]  天使說什麼呢?他們就說今天是給一個萬民的喜訊你們,因為在大衛的城裡面,你們誕生了一個救主,就是主基督
[00:06:31.000 --> 00:06:36.000]  你們會找到一個嬰兒,包著布,躺在馬槽裡,就是給你們的標記
[00:06:36.000 --> 00:06:50.000]  之後就是一個很經典的聖誕場面,我們唱歌也會有唱,雖然大家可能都很年輕,但是有些聖誕歌是很熟悉的
[00:06:50.000 --> 00:06:56.000]  例如我們常常唱的一首叫做Angels We Have Heard On High,希望你們有唱過
[00:06:56.000 --> 00:07:03.000]  這首歌就是路加福音裡面說的那些天使、天君突然間出現在牧羊人面前唱歌
[00:07:03.000 --> 00:07:12.000]  其實如果說到這個地方,我們等一下會有一點對東方博士和這群牧羊人有些對比
[00:07:12.000 --> 00:07:23.000]  但是我們看到這個位置的時候,我們看到耶穌的出生,其實對當時的人,或者當時生活的人來說,其實是介入了他們的生命
[00:07:23.000 --> 00:07:28.000]  其實是真的直接跟他們的生命有接觸,而且是有記號的
[00:07:28.000 --> 00:07:37.000]  當年這裡的記號是一個嬰兒耶穌,嬰孩耶穌,人們就知道神到底是什麼樣子的
[00:07:37.000 --> 00:07:46.000]  雖然上帝的介入,上帝對我們的生命介入有時候不一定那麼清楚,但是總會有些蛛絲馬跡,有些記號
[00:07:46.000 --> 00:07:54.000]  當年這個位置的記號就很明顯,因為有一個嬰兒出生,而天使就直接說這個嬰兒就是那個救主耶穌基督
[00:07:54.000 --> 00:08:00.000]  但是說到這裡,其實故事還沒完,因為牧羊人要做些什麼呢?
[00:08:00.000 --> 00:08:06.000]  就算聽完,聽完就覺得嬰兒耶穌,不關我的事
[00:08:06.000 --> 00:08:12.000]  我們看到經文裡面說什麼呢?就說這群牧羊人,他們趕忙去了
[00:08:12.000 --> 00:08:18.000]  他們很快就去找瑪利亞,找藥室,也找在馬槽裡面的嬰兒
[00:08:18.000 --> 00:08:23.000]  他們看到的時候就將天使告訴他們關於這個孩子的話傳開
[00:08:23.000 --> 00:08:28.000]  天使聽到的人都對牧羊人所說的話覺得很驚奇
[00:08:28.000 --> 00:08:37.000]  他們不是聽完沒有反應的,他們不是聽完就覺得不關我的事,這個就算了
[00:08:37.000 --> 00:08:44.000]  他們看到天使之後,他們就很快地去反應,去找耶穌,去找其他人分享信息
[00:08:44.000 --> 00:08:49.000]  所以經文最後說什麼呢?說他們回去還讚神,讚美他
[00:08:49.000 --> 00:08:53.000]  因為他們聽到的東西和天使說的完全一樣
[00:08:53.000 --> 00:08:58.000]  對這群牧羊人來說,看到耶穌是一件很開心的事
[00:08:58.000 --> 00:09:03.000]  以致他們覺得是改變了他們的生命,他們要去讚美神作為一個回應
[00:09:03.000 --> 00:09:12.000]  今天我們講題的一部分,我們講到到底我們怎樣用喜樂的心,喜樂的回應去迎接耶穌
[00:09:12.000 --> 00:09:17.000]  很多時候我們講到喜樂,我們很容易想到一些情緒,覺得很開心
[00:09:17.000 --> 00:09:22.000]  可能我很順利,例如我有預備的事情做得很好
[00:09:22.000 --> 00:09:26.000]  又或者是我的考試很高分,又或者我的比賽贏了
[00:09:26.000 --> 00:09:31.000]  我們的環境會令我們很開心,但喜樂是有一點不同的
[00:09:31.000 --> 00:09:38.000]  喜樂不是因為我的環境變得很舒服,不是因為我的境遇,我的際遇很順利
[00:09:38.000 --> 00:09:42.000]  我所做的什麼都很順利,我就很喜樂,它也可以令你開心
[00:09:42.000 --> 00:09:44.000]  但喜樂的意義是多一點的
[00:09:44.000 --> 00:09:51.000]  今天我們用簡單的時間,我們嘗試從牧羊人,從東方博士的身上去想想
[00:09:51.000 --> 00:09:57.000]  到底為什麼他們遇見耶穌,他們有這麼喜樂的事情呢?
[00:09:57.000 --> 00:10:03.000]  又或者這樣說,當遇見耶穌之後,其實那個叫做喜樂是怎樣表現出來的呢?
[00:10:03.000 --> 00:10:08.000]  如果今天我們說信耶穌,我們信到很愁眉苦臉,又或者覺得很辛苦的時候
[00:10:08.000 --> 00:10:13.000]  或者可能在聖誕節將臨的時候,我們可以值得思考一下
[00:10:13.000 --> 00:10:17.000]  其實是不是我們對耶穌的認識不夠呢?
[00:10:17.000 --> 00:10:24.000]  今天我們用牧羊人和東方博士的新榜樣去給我們一些反省
[00:10:24.000 --> 00:10:28.000]  今天大約說兩點,可能比較簡單一點
[00:10:28.000 --> 00:10:33.000]  但都是一些生活上未必很為意的地方
[00:10:33.000 --> 00:10:38.000]  第一件事是,喜樂不只是一個情緒
[00:10:38.000 --> 00:10:42.000]  它不是覺得我很開心,我很舒服,我很愉快
[00:10:42.000 --> 00:10:48.000]  它是一個行動,行動就是將我們所有的事情都獻給耶穌
[00:10:48.000 --> 00:10:52.000]  將我們所有的事情都獻給耶穌
[00:10:52.000 --> 00:10:59.000]  然後我們覺得耶穌是我們很值得去愛的神
[00:10:59.000 --> 00:11:03.000]  所以我們願意將一切去給祂
[00:11:03.000 --> 00:11:11.000]  牧羊人和東方博士在這裡,就算我們對當時的社會文化不一定要很了解
[00:11:11.000 --> 00:11:15.000]  我們都會以有限的形式知道他們是不同階層
