
[00:00:00.000 --> 00:00:08.000]  (主席) 大家午安,在新冠病毒肺炎肆虐人心惶惶的時候
[00:00:08.000 --> 00:00:13.000]  想藉著時代行傳22章30節到23章35節
[00:00:13.000 --> 00:00:18.000]  和大家思考一個題目,叫做「壯氣膽來」
[00:00:18.000 --> 00:00:24.000]  如果你和另一個人說「壯氣膽來」,這代表什麼呢?
[00:00:24.000 --> 00:00:29.000]  很可能你覺得這個人對一些事情不夠膽
[00:00:29.000 --> 00:00:38.000]  或者告訴他你沒有膽量,那怎樣才算沒有膽量呢?
[00:00:38.000 --> 00:00:42.000]  還記得在香港,一個多月前
[00:00:42.000 --> 00:00:49.000]  有些人很怕新冠肺炎會影響廁紙的供應
[00:00:49.000 --> 00:00:53.000]  拼命地買,堆在街上
[00:00:53.000 --> 00:00:59.000]  那時候很多人都批評這些人,說他們自私
[00:00:59.000 --> 00:01:06.000]  沒錯,在這些自私行為背後,是什麼呢?
[00:01:06.000 --> 00:01:10.000]  就是因為他們怕,就是因為他們膽怯
[00:01:10.000 --> 00:01:16.000]  那時候有很多人都會笑這些人沒有膽量,包括我上來
[00:01:16.000 --> 00:01:22.000]  直到有一天,當我經過我家附近的街市
[00:01:22.000 --> 00:01:29.000]  看到一個雜貨舖,剛剛有幾排廁紙被送進去的時候
[00:01:29.000 --> 00:01:33.000]  雖然我家裡是夠廁紙的,但在人頭湧湧的時候
[00:01:33.000 --> 00:01:38.000]  我都快快地拿著一包,為什麼呢?
[00:01:38.000 --> 00:01:41.000]  兩個字,膽怯
[00:01:41.000 --> 00:01:49.000]  膽怯或者害怕,是人在危險或者困難的情況中很自然的反應
[00:01:49.000 --> 00:01:54.000]  那怎樣才算膽怯呢?
[00:01:54.000 --> 00:01:59.000]  在今年三月中,為了減低新冠肺炎病毒的傳播
[00:01:59.000 --> 00:02:04.000]  美國政府呼籲人民不要去多過十個人的地方
[00:02:04.000 --> 00:02:10.000]  很多美國大學生不聽,大批人聚在沙灘
[00:02:10.000 --> 00:02:13.000]  差不多有一兩個星期的時間
[00:02:13.000 --> 00:02:17.000]  有些學生好像不在乎
[00:02:17.000 --> 00:02:21.000]  還說如果我有這個病毒就好了
[00:02:21.000 --> 00:02:25.000]  我不會因為這個病毒而不能去玩
[00:02:25.000 --> 00:02:29.000]  這是不是膽怯呢?當然不是
[00:02:29.000 --> 00:02:31.000]  或者他們不怕死
[00:02:31.000 --> 00:02:38.000]  但是他染了之後會危害他們的家庭、朋友和整個國家
[00:02:38.000 --> 00:02:42.000]  所以膽怯不等於不怕
[00:02:42.000 --> 00:02:47.000]  那怎樣才算膽怯呢?
[00:02:47.000 --> 00:02:50.000]  字典中對膽怯或者勇氣的定義是
[00:02:50.000 --> 00:02:56.000]  有能力去面對危險或者困難的情況
[00:02:56.000 --> 00:02:58.000]  其中包括兩方面
[00:02:58.000 --> 00:03:05.000]  第一,生理方面,有能力去面對痛苦、艱辛、死亡或者死亡的威脅
[00:03:05.000 --> 00:03:08.000]  另外,就是道德方面
[00:03:08.000 --> 00:03:13.000]  有能力在危險的時候,按照自己的信念去做正確的事
[00:03:13.000 --> 00:03:18.000]  這些包括做對的事和不做不對的事
[00:03:18.000 --> 00:03:24.000]  有勇氣的人,很多時候是同時有生理和道德方面
[00:03:24.000 --> 00:03:28.000]  在這個疫症裡面,我們看到很多醫護人員
[00:03:28.000 --> 00:03:33.000]  都是冒著自己生命危險去救染病的病人
[00:03:33.000 --> 00:03:36.000]  這個就是一個很好的例子
[00:03:36.000 --> 00:03:42.000]  這樣,撞起膽來這個題目和今天的經文有什麼關係呢?
[00:03:42.000 --> 00:03:46.000]  其實是主耶穌對保羅所說的一句話
[00:03:46.000 --> 00:03:52.000]  放心吧,這是和修本和英文譯本的翻譯
[00:03:52.000 --> 00:03:55.000]  但是在希臘的原文,這句話是
[00:03:55.000 --> 00:03:59.000]  你要撞起膽來,你要有勇氣
[00:03:59.000 --> 00:04:04.000]  就是說,保羅不夠勇氣,要撞起膽來
[00:04:04.000 --> 00:04:06.000]  Take courage
[00:04:06.000 --> 00:04:10.000]  那麼,保羅是不是一個不夠膽量的人呢?
[00:04:10.000 --> 00:04:15.000]  這個就是保羅第三次宣教的旅程
[00:04:15.000 --> 00:04:20.000]  保羅在哥倫多勇敢的傳道,使很多人信主
[00:04:20.000 --> 00:04:25.000]  主耶穌就在意象中跟他說
[00:04:25.000 --> 00:04:27.000]  不用怕,儘管說
[00:04:27.000 --> 00:04:32.000]  這個不是說保羅害怕,而是覺得他說得好
[00:04:32.000 --> 00:04:34.000]  在鼓勵他
