
[00:00:00.000 --> 00:00:06.000]  我們已會讓你傷
[00:00:06.000 --> 00:00:12.000]  我們在天上的苦
[00:00:12.000 --> 00:00:21.000]  願讓到絕地並為誰
[00:00:21.000 --> 00:00:31.000]  詞曲:李宗盛
[00:00:31.000 --> 00:00:41.000]  演唱:李宗盛
[00:00:58.500 --> 00:01:05.500]  天賦 美名是多麼美
[00:01:05.500 --> 00:01:09.500]  榮耀遍全地
[00:01:09.500 --> 00:01:16.500]  在土谷良辰 靜觀你的美
[00:01:16.500 --> 00:01:23.000]  天證 我沉默住坐前
[00:01:24.000 --> 00:01:30.000]  毋用多片言 在痛苦前
[00:01:30.000 --> 00:01:35.000]  你清楚我需要
[00:01:35.000 --> 00:01:41.500]  求知我傷心的眼睛
[00:01:41.500 --> 00:01:45.500]  風暴裡仍舊天證
[00:01:45.500 --> 00:01:50.500]  傳遍我相逢的心靈
[00:01:50.500 --> 00:01:58.500]  由你傳拳來帶領
[00:01:58.500 --> 00:02:04.500]  願你共處 美名為誰
[00:02:04.500 --> 00:02:08.500]  願你聽我歌行
[00:02:08.500 --> 00:02:13.500]  假如你只能在地上
[00:02:13.500 --> 00:02:17.000]  願浩瀚在天上
[00:02:17.000 --> 00:02:22.000]  可當天作需要的星光
[00:02:22.000 --> 00:02:31.000]  當地似不可負 天和地相
[00:02:31.000 --> 00:02:37.000]  願同步 已會讓你傷
[00:02:37.000 --> 00:02:47.000]  演唱:李宗盛
[00:02:47.000 --> 00:02:58.000]  天賦 美名是多麼美
[00:02:58.000 --> 00:03:02.000]  榮耀遍全地
[00:03:02.500 --> 00:03:09.000]  在土谷良辰 靜觀你的美
[00:03:09.000 --> 00:03:15.000]  天證 我沉默住坐前
[00:03:15.000 --> 00:03:21.500]  毋用多片言 在痛苦前
[00:03:21.500 --> 00:03:26.000]  你清楚我需要
[00:03:26.000 --> 00:03:32.000]  求知我傷心的眼睛
[00:03:32.000 --> 00:03:36.000]  風暴裡仍舊天證
[00:03:36.000 --> 00:03:40.500]  傳遍我相逢的心靈
[00:03:40.500 --> 00:03:47.500]  由你傳拳來帶領
[00:03:47.500 --> 00:03:53.000]  願你共處 美名為誰
[00:03:53.000 --> 00:03:57.000]  願你聽我歌行
[00:03:57.000 --> 00:04:01.500]  假如你只能在地上
[00:04:01.500 --> 00:04:05.000]  願浩瀚在天上
[00:04:05.000 --> 00:04:09.500]  可當天所需要的星光
[00:04:09.500 --> 00:04:17.500]  當地似不可負 免我們的債
[00:04:17.500 --> 00:04:24.500]  願同步 免他人的債
[00:04:25.500 --> 00:04:31.500]  今日 我求民主的國
[00:04:31.500 --> 00:04:37.500]  求民主的義 皇的旨意
[00:04:37.500 --> 00:04:42.500]  如若光天地彰顯
[00:04:42.500 --> 00:04:47.500]  願人共處 美名為誰
[00:04:47.500 --> 00:04:51.500]  願你聽我歌行
[00:04:51.500 --> 00:04:56.000]  假如你只能在地上
[00:04:56.000 --> 00:04:59.500]  願浩瀚在天上
[00:04:59.500 --> 00:05:04.000]  可當天所需要的星光
[00:05:04.000 --> 00:05:12.000]  當地似不可負 免我們的債
[00:05:12.000 --> 00:05:18.500]  願同步 免他人的債
[00:05:19.500 --> 00:05:32.500]  (音樂)
[00:05:32.500 --> 00:05:36.500]  不要我們與天師擔
[00:05:36.500 --> 00:05:40.500]  救我們脫離空曠
[00:05:40.500 --> 00:05:43.500]  人國道 決兵永要
[00:05:43.500 --> 00:05:47.500]  處所必 直到
[00:05:48.500 --> 00:05:54.500]  (音樂)
[00:05:54.500 --> 00:05:57.500]  神是靈 所以敬拜他的
[00:05:57.500 --> 00:06:01.500]  必須用心靈和誠實敬拜他
[00:06:01.500 --> 00:06:03.500]  通用各樣的智慧
[00:06:03.500 --> 00:06:05.000]  把基督的道理
[00:06:05.000 --> 00:06:08.000]  豐豐富富地存在心裡
[00:06:08.000 --> 00:06:11.500]  用詩章 頌詞 靈歌
[00:06:11.500 --> 00:06:14.500]  彼此教導 互相勸誡
[00:06:14.500 --> 00:06:17.500]  心被恩感 歌頌神
[00:06:17.500 --> 00:06:21.500]  (音樂)
[00:06:21.500 --> 00:06:23.500]  我是泥
[00:06:23.500 --> 00:06:27.500]  (音樂)
[00:06:27.500 --> 00:06:29.500]  神是圖像
[00:06:29.500 --> 00:06:34.500]  透過敬拜和學習神的話語
[00:06:34.500 --> 00:06:37.500]  神會塗造我們成為他的器皿
[00:06:37.500 --> 00:06:41.500]  所以有幾件事我想要提醒大家
[00:06:41.500 --> 00:06:43.500]  大堂內是不可以吃東西的
[00:06:43.500 --> 00:06:46.500]  記得預先吃東西
[00:06:46.500 --> 00:06:50.500]  經常進進出出會影響其他人
[00:06:50.500 --> 00:06:54.500]  記得要準時和避免早走
[00:06:54.500 --> 00:06:56.500]  衣著要端莊
[00:06:56.500 --> 00:06:59.500]  無論你是男超人還是女超人
[00:06:59.500 --> 00:07:02.500]  都避免過分暴露或不雅
[00:07:02.500 --> 00:07:04.500]  未得到許可
[00:07:04.500 --> 00:07:08.500]  大堂內是不可以拍照和錄影的
[00:07:08.500 --> 00:07:11.500]  為避免影響其他人
[00:07:11.500 --> 00:07:14.500]  請把響鬧裝置關掉
[00:07:14.500 --> 00:07:17.500]  或調至靜音
[00:07:17.500 --> 00:07:21.500]  如果你有任何需要或疑問
[00:07:21.500 --> 00:07:25.500]  歡迎到我們接待處找同工幫忙
[00:07:25.500 --> 00:07:30.500]  Hallelujah!很開心今天能在此見到你
[00:07:30.500 --> 00:07:32.500]  Shalom!
[00:07:32.500 --> 00:08:01.500]  (音樂)
[00:08:01.500 --> 00:08:06.500]  (音樂)
[00:08:06.500 --> 00:08:09.500]  各位聽眾姐妹主禮平安
[00:08:09.500 --> 00:08:11.500]  踏入十二月
[00:08:11.500 --> 00:08:17.500]  大家進入禮堂和教會都會見到聖誕的佈置
[00:08:17.500 --> 00:08:20.500]  十二月是一個時間
[00:08:20.500 --> 00:08:25.500]  讓我們去感恩上帝給我們整年
[00:08:25.500 --> 00:08:27.500]  都有祂的看顧保守
[00:08:27.500 --> 00:08:29.500]  所以我們就帶著感恩的心
[00:08:29.500 --> 00:08:31.500]  今天來參與敬拜
[00:08:31.500 --> 00:08:34.500]  我們先跟弟兄姊妹打個招呼
[00:08:34.500 --> 00:08:40.500]  耶穌愛你
[00:08:40.500 --> 00:08:44.500]  我們感恩一起去侍奉上帝和敬拜
[00:08:44.500 --> 00:08:46.500]  我也想代表教會
[00:08:46.500 --> 00:08:48.500]  歡迎第一次參加
[00:08:48.500 --> 00:08:50.500]  港福堂聚會的新來賓
[00:08:50.500 --> 00:08:52.500]  有沒有新朋友可以舉手
[00:08:52.500 --> 00:08:56.500]  讓我們歡迎你
[00:08:56.500 --> 00:08:58.500]  我還沒有看到
[00:08:58.500 --> 00:09:01.500]  可能網上也有新朋友
[00:09:01.500 --> 00:09:03.500]  可以留一些資料給我們
[00:09:03.500 --> 00:09:08.500]  以致到教會的聚會都可以推介給你們
