
[00:00:00.000 --> 00:00:12.000]  今天我引用的經文是我在中國三十年,我所用的,在我心中,就是愛是恆久的忍耐。
[00:00:12.000 --> 00:00:20.000]  你看到中國,你有什麼意見的時候,我們學習先去忍耐跟愛它。
[00:00:20.000 --> 00:00:37.000]  第二節就是,我來是服事人,不是受人服事。我們來中國不是高高在上的在海外擁有很多什麼東西回去,而是我們回去當個僕人,去服事中國人。
[00:00:37.000 --> 00:01:03.000]  所以這是我三十年在中國的一個奉獻吧。
[00:01:03.000 --> 00:01:25.000]  在聖誕的時候,我們常常會想到一個滿是星星的夜空,宇宙總是有一種很深邃的大美,當我們覆車大地,人間總是有一種徹影的深情,這對他人的愛。
[00:01:25.000 --> 00:01:49.000]  聖誕節常常讓我們看到一些故事,在第三世紀,在小雅思亞,現在土耳其,有一個很善良的老主教,他很愛貧困的兒童,他來自富足的家庭,但是把家財都被賣了,分給窮人。
[00:01:49.000 --> 00:02:01.000]  然後他獻身教會,關愛弱勢的群體,特別是很喜歡送一些玩具給孩子。
[00:02:01.000 --> 00:02:18.000]  他藏在十月月的夜空,特別是聖誕的時候,拿一個袋子,把他手造的一些禮物送給貧窮的孩子,帶來愛心和溫暖。
[00:02:18.000 --> 00:02:31.000]  他有救過三個無辜被判死的人,他是主教,停止了一些對人的行刑,他就把劍推到地上。
[00:02:31.000 --> 00:02:45.000]  他也曾經幫助一些貧困的女孩子,有三個美麗的女兒,父親因為沒錢還債,三個美麗女兒就被賣為奴隸,而且可能成為妓女。
[00:02:45.000 --> 00:03:02.000]  家中非常悲傷的時候,這個老主教知道他們的困境,他想辦法籌到一袋金,晚上偷偷丟到了家中,救了一家三個女兒,他們本來明天就給人帶走了。
[00:03:02.000 --> 00:03:11.000]  他發現,他丟進去的錢剛剛丟到他們掛在火牢旁邊的襪子裡面,第二天他們穿襪子的時候,怎麼裡面有錢?
[00:03:11.000 --> 00:03:15.000]  他就還掉那些錢,救了這三個女兒。
[00:03:15.000 --> 00:03:32.000]  這就是這個很美好的老先生的故事。這個老主教死了之後,孩子好像晚上還看到這個老先生背著個袋,把禮物送給貧困的孩子。
[00:03:32.000 --> 00:03:46.000]  講到這裡,你知道我講的是誰嗎?聖誕老人嘛。聖誕老人不是美國那個聖誕老人,那是一個非常愛主的基督徒,聖人叫Nicholas,姓Nicholas。
[00:03:46.000 --> 00:03:52.000]  所以我們常常聖誕節說,聖誕節不是今天聖誕老人,是今天耶穌基督。
[00:03:52.000 --> 00:04:00.000]  聖誕老人真的能夠跟耶穌沒衝突的,還是追隨基督的一個非常愛主的基督徒。
[00:04:00.000 --> 00:04:08.000]  很多人不知道,他從小是獻身給基督,一生無條件地愛上帝,愛人。
[00:04:08.000 --> 00:04:14.000]  後來美國把這個故事改了,把他變成一個胖子,他很瘦的。
[00:04:14.000 --> 00:04:21.000]  然後變成這個商業利益,變成帶來狂歡的一個符號。
[00:04:21.000 --> 00:04:28.000]  那是實在這個尼古拉斯的仁慈和喜樂,由於他一生獻給基督。
[00:04:28.000 --> 00:04:42.000]  這個在大地,戴克里先到處殺基督徒,迫害基督徒的時候,在君士坦丁大地時候,他本來給抓了,後來就給放出來。
[00:04:42.000 --> 00:04:51.000]  他反對異端,這個阿劉派,然後在基督被詔論,他反對這個說法。
[00:04:51.000 --> 00:04:59.000]  然後據說他在尼西亞會議裡面,用約翰福音講到,反駁異端還打了他一巴。
[00:04:59.000 --> 00:05:05.000]  他不但是關愛兒童和窮人的喜樂老人,他也是堅持真理的都是。
[00:05:05.000 --> 00:05:13.000]  實在尼古拉斯追隨的耶穌基督,他形容的是基督的愛。
[00:05:13.000 --> 00:05:21.000]  因為上帝曾經來過人間,與受苦、罪、折磨的人類同行。
[00:05:21.000 --> 00:05:30.000]  聖經這句話:道成肉身,住在我們中間,充充滿滿的有恩典有真理,我們也見過他的榮光,甚至是復讀的榮光。
[00:05:30.000 --> 00:05:38.000]  我從前我是研究佛教跟儒家道家的思想,我是讀《易經》跟儒家的博士。
[00:05:38.000 --> 00:05:47.000]  我做研究也修煉這個儒道佛,但是當我到一個對中國文化的高峰的理解的時候,
[00:05:47.000 --> 00:05:55.000]  我發現中國文化最優秀的地方就是,孟子講到人有不忍之心,
[00:05:55.000 --> 00:06:00.000]  缺忍之心,你看到他很痛苦,你心中會不安的。
[00:06:00.000 --> 00:06:06.000]  為什麼人會不安呢?那是因為人的心底有一種慈愛的本性在那裡。
[00:06:06.000 --> 00:06:12.000]  所以我小的時候很佩服孔孟之道,要一生追隨孔孟。
[00:06:12.000 --> 00:06:21.000]  當我中學,我13歲已經看老專,14歲也研究西方的柏拉圖,21歲多的,15歲研究佛學。
[00:06:21.000 --> 00:06:26.000]  到17歲開始對儒學追求,跟從新儒學的大師。
[00:06:26.000 --> 00:06:34.000]  但是到21歲的時候,我想了一個問題,人間那麼多痛苦和罪惡,
[00:06:34.000 --> 00:06:40.000]  人的善良,人的仁愛是如何可以實現呢?
[00:06:40.000 --> 00:06:45.000]  但是善良和仁愛是來自天的,它來自天。
[00:06:45.000 --> 00:06:48.000]  那麼天是不是仁愛,善良的呢?
[00:06:48.000 --> 00:06:54.000]  天應該不只是個天理吧,天應該有一些偉大的情在哪裡。
[00:06:54.000 --> 00:06:59.000]  所以那時候我發現,原來孔子也上天來禱告的。
[00:06:59.000 --> 00:07:06.000]  孔子為什麼上天來禱告?因為天是有情啊,天是有感應的啊。
[00:07:06.000 --> 00:07:10.000]  所以我也上天,我對著星空來禱告。
[00:07:10.000 --> 00:07:14.000]  我有很多問題,我說如果你真的存在,
[00:07:14.000 --> 00:07:18.000]  你應該知道在香港這個小小的地方有個年輕人很痛苦。
[00:07:18.000 --> 00:07:22.000]  所以人間為什麼痛苦,人間為什麼罪惡,
[00:07:22.000 --> 00:07:25.000]  我能夠做什麼把世界變好一點。
[00:07:25.000 --> 00:07:29.000]  但是我不知道怎麼做啊。
[00:07:29.000 --> 00:07:34.000]  如果你真的是上帝,偉大的天,偉大的上帝,
[00:07:34.000 --> 00:07:39.000]  如果你真的存在,我希望你回答我。
[00:07:39.000 --> 00:07:43.000]  這個奇異的,上帝給我很平安的感覺。
[00:07:43.000 --> 00:07:48.000]  之後我就遇到基督徒,問我星期六有沒有空。
[00:07:48.000 --> 00:07:52.000]  那麼基督徒問這個問題一般都有陰謀,
[00:07:52.000 --> 00:08:00.000]  就是請吃飯的一定是佈道會,吃的曲奇就是茶精班,團慶。
[00:08:00.000 --> 00:08:04.000]  結果我去了,遇到基督徒,基督徒沒學問,
[00:08:04.000 --> 00:08:07.000]  不懂儒道佛,不懂西方哲學,
[00:08:07.000 --> 00:08:10.000]  你問問題全都不懂得回答。
[00:08:10.000 --> 00:08:14.000]  我是讀哲學的,基督徒信就好了。
[00:08:14.000 --> 00:08:19.000]  但是他們好像很希望你信,你信了,他很高興,
[00:08:19.000 --> 00:08:21.000]  你不信他很痛苦。
[00:08:21.000 --> 00:08:24.000]  然後慢慢發現基督徒好像都發神經的,
[00:08:24.000 --> 00:08:26.000]  我為什麼要人信呢?
[00:08:26.000 --> 00:08:30.000]  後來我發現原來他們要禱告的時候,
[00:08:30.000 --> 00:08:33.000]  他們能夠和上帝溝通。
[00:08:33.000 --> 00:08:38.000]  我來說,我什麼都通,我通靈界,
[00:08:38.000 --> 00:08:42.000]  我通儒道佛的經界,我通很多大學問,
[00:08:42.000 --> 00:08:45.000]  只有一個不通,就是不通上帝。
[00:08:45.000 --> 00:08:48.000]  因為我又追,我又追,我不是完美,
[00:08:48.000 --> 00:08:50.000]  我傷不到上帝那裡。
[00:08:50.000 --> 00:08:53.000]  所以這些人什麼都不通,
[00:08:53.000 --> 00:08:55.000]  又不懂中國文化,不懂中國歷史,
[00:08:55.000 --> 00:08:57.000]  你知道香港人很多都不懂的。
[00:08:57.000 --> 00:09:01.000]  我是自己去研究才認同我學過中國的。
[00:09:01.000 --> 00:09:04.000]  香港人很多那時候根本中國歷史,
[00:09:04.000 --> 00:09:06.000]  近代的苦難一點都不懂,
[00:09:06.000 --> 00:09:10.000]  我們的孔孟老莊也不懂,
[00:09:10.000 --> 00:09:13.000]  連西班的希臘哲學都不懂,
[00:09:13.000 --> 00:09:16.000]  但是他們英語就好。
[00:09:16.000 --> 00:09:19.000]  我那時候我說對不起,我英語不是那麼好,
[00:09:19.000 --> 00:09:23.000]  因為我最怕人說對不起,我中文不很好,
[00:09:23.000 --> 00:09:25.000]  因為他習慣講英語,
[00:09:25.000 --> 00:09:28.000]  我說對不起,我英語不好,我是講中文的,
[00:09:28.000 --> 00:09:31.000]  我只要用文言文來跟你溝通。
[00:09:31.000 --> 00:09:34.000]  所以那時候基督徒都是這些人,
[00:09:34.000 --> 00:09:37.000]  但是我發現奇怪,他禱告的時候,
[00:09:37.000 --> 00:09:41.000]  禱告就能夠通到上帝,他們就很喜樂。
[00:09:41.000 --> 00:09:44.000]  他什麼都不通,但是一通就到頂,
[00:09:44.000 --> 00:09:45.000]  找到上帝。
[00:09:45.000 --> 00:09:48.000]  我什麼都通,就通不到上面。
[00:09:48.000 --> 00:09:53.000]  什麼讓我通上去,原來上面通下來。
[00:09:53.000 --> 00:09:55.000]  我讀聖經,讀到這一句,
[00:09:55.000 --> 00:09:58.000]  道成肉身住在我們中間,
[00:09:58.000 --> 00:10:01.000]  道來到人間跟人同甘共苦,
[00:10:01.000 --> 00:10:03.000]  道宇宙的最後真理,
[00:10:03.000 --> 00:10:05.000]  耶穌基督稍微一提的真實,
[00:10:05.000 --> 00:10:07.000]  就是人愛的本身,
[00:10:07.000 --> 00:10:10.000]  人愛本身來到人間跟我們一同走過
[00:10:10.000 --> 00:10:13.000]  生命的悲慘,生命的痛苦,
[00:10:13.000 --> 00:10:16.000]  這才是最大的愛,
[00:10:16.000 --> 00:10:20.000]  無窮無盡的上帝怎麼可以來到
[00:10:20.000 --> 00:10:22.000]  經歷人間的苦難,
[00:10:22.000 --> 00:10:25.000]  給人釘死,給人鞭打,給人侮辱?
[00:10:25.000 --> 00:10:27.000]  我明白了,
[00:10:27.000 --> 00:10:29.000]  為什麼基督教感動那麼多呢?
[00:10:29.000 --> 00:10:31.000]  因為上帝是來受苦,
[00:10:31.000 --> 00:10:33.000]  跟我一同受苦。
[00:10:33.000 --> 00:10:36.000]  就在這個很重要的時刻,
[00:10:36.000 --> 00:10:40.000]  我開始讀道成肉身住在我們中間,
[00:10:40.000 --> 00:10:43.000]  而且他有恩典,有真理。
[00:10:43.000 --> 00:10:44.000]  看見他的,
[00:10:44.000 --> 00:10:47.000]  約翰說我見過他的龍冠,
[00:10:47.000 --> 00:10:50.000]  他是復讀生子的龍冠。
[00:10:50.000 --> 00:10:55.000]  他跟我們同甘共苦的最高的上帝,
[00:10:55.000 --> 00:10:57.000]  是有行動的,
[00:10:57.000 --> 00:10:59.000]  有人愛的,
[00:10:59.000 --> 00:11:01.000]  和我們一起走過人生。
[00:11:01.000 --> 00:11:05.000]  我就是要找尋這樣的真理。
[00:11:05.000 --> 00:11:07.000]  他來潔淨人的罪,
[00:11:07.000 --> 00:11:11.000]  將苦難改變成了祝福。
[00:11:11.000 --> 00:11:14.000]  所以當我一接受基督,
[00:11:14.000 --> 00:11:16.000]  我禱告把生命獻給他,
[00:11:16.000 --> 00:11:19.000]  那一刻我都體會聖靈來臨。
[00:11:19.000 --> 00:11:24.000]  在那一刻我就體會到,
[00:11:24.000 --> 00:11:27.000]  為什麼基督徒總是發神經,
[00:11:27.000 --> 00:11:31.000]  用廣東話講叫"去了心"。
