
[00:00:00.000 --> 00:00:03.000]  謝謝Charles弟兄的介紹
[00:00:03.000 --> 00:00:11.000]  其實我幾年以前有好幾次都會來教會服事過
[00:00:11.000 --> 00:00:15.000]  只是疫情下面的話我就沒有機會回香港了
[00:00:15.000 --> 00:00:19.000]  我每年暑假的時候都在香港中文大學教書
[00:00:19.000 --> 00:00:21.000]  順便在這邊服事
[00:00:21.000 --> 00:00:25.000]  謝謝教會這次又給我一個機會在這邊服事
[00:00:25.000 --> 00:00:30.000]  我今天跟他談的題目是四重服事態度
[00:00:30.000 --> 00:00:35.000]  但是之前容許我用五分鐘來介紹一下我所做的事情
[00:00:35.000 --> 00:00:39.000]  因為這個題目是跟我說的事工有關係的
[00:00:39.000 --> 00:00:53.000]  是四重服事態度
[00:00:53.000 --> 00:00:56.000]  先抱歉一下我現在是用簡體
[00:00:56.000 --> 00:01:00.000]  因為我不知道大家在教會是用繁體的
[00:01:00.000 --> 00:01:02.000]  如果知道我就改一下
[00:01:02.000 --> 00:01:03.000]  請你包涵
[00:01:03.000 --> 00:01:06.000]  我希望你簡體可以看得到
[00:01:06.000 --> 00:01:09.000]  我現在是做很多門訓的工作
[00:01:09.000 --> 00:01:10.000]  我是個大學老師
[00:01:10.000 --> 00:01:12.000]  是待職服事的
[00:01:12.000 --> 00:01:14.000]  很多時候就是幫助我們在座
[00:01:14.000 --> 00:01:17.000]  很多我們弟兄姐妹是待職的話
[00:01:17.000 --> 00:01:19.000]  怎麼用有限的時間
[00:01:19.000 --> 00:01:23.000]  更有效的協助牧師一起來服事教會
[00:01:23.000 --> 00:01:27.000]  那我就希望給大家弟兄姐妹一個難途
[00:01:27.000 --> 00:01:29.000]  包括個人成長難途
[00:01:29.000 --> 00:01:30.000]  教會難途
[00:01:30.000 --> 00:01:34.000]  一直到核心是以門訓為中心的
[00:01:34.000 --> 00:01:35.000]  因為主約書
[00:01:35.000 --> 00:01:36.000]  請大家一起念一下
[00:01:36.000 --> 00:01:40.000]  馬太福音28章19-20節一起念一下
[00:01:40.000 --> 00:01:45.000]  所以你們要去十萬名做我的門徒
[00:01:45.000 --> 00:01:49.000]  供付此生里的恩典給他們實習
[00:01:49.000 --> 00:01:54.000]  然後我所吩咐你們的都教訓他們遵守
[00:01:54.000 --> 00:01:56.000]  我就長於你們的脫胎
[00:01:56.000 --> 00:01:58.000]  直到世界的末了
[00:01:58.000 --> 00:02:01.000]  這個主約書吩咐大使們大家都很熟的
[00:02:01.000 --> 00:02:03.000]  但是如果你分析原文的話
[00:02:03.000 --> 00:02:06.000]  它那個長的句子裡面最重要的動詞在哪裡
[00:02:06.000 --> 00:02:09.000]  就是十萬名做我的門徒
[00:02:09.000 --> 00:02:13.000]  所以門訓是教一個非常重要的托付
[00:02:13.000 --> 00:02:15.000]  主約書不但是擔保大使們
[00:02:15.000 --> 00:02:17.000]  其實他在世上裡面三年多的
[00:02:17.000 --> 00:02:22.000]  他也給我們演練一次是怎麼做門訓更有果效的
[00:02:22.000 --> 00:02:25.000]  他公元27年初帶一幫沒有信徒的人
[00:02:25.000 --> 00:02:27.000]  悟道幫我相信
[00:02:27.000 --> 00:02:28.000]  然後幫助他們
[00:02:28.000 --> 00:02:31.000]  後來請他們做門徒
[00:02:31.000 --> 00:02:33.000]  門徒以後訓練他們做同工
[00:02:33.000 --> 00:02:35.000]  同工以後就拆派
[00:02:35.000 --> 00:02:37.000]  所以從這邊的話
[00:02:37.000 --> 00:02:40.000]  我就成立一個非常簡單的圖形
[00:02:40.000 --> 00:02:42.000]  幫助大家瞭解
[00:02:42.000 --> 00:02:43.000]  悟道幫他相信
[00:02:43.000 --> 00:02:45.000]  相信他做門徒
[00:02:45.000 --> 00:02:48.000]  門徒帶他去服侍同工
[00:02:48.000 --> 00:02:51.000]  以到變成一個全被的基督就拆派了
[00:02:51.000 --> 00:02:53.000]  用英文那個字就是
[00:02:53.000 --> 00:02:57.000]  Share, Solidify, Serve, and Send
[00:02:57.000 --> 00:02:59.000]  這個做法不是在講道
[00:02:59.000 --> 00:03:01.000]  是以生命來帶領
[00:03:01.000 --> 00:03:04.000]  是生命來帶領
[00:03:04.000 --> 00:03:06.000]  我出了幾本書
[00:03:06.000 --> 00:03:07.000]  現在很多教會在用
[00:03:07.000 --> 00:03:09.000]  北美、歐洲很多教會在用
[00:03:09.000 --> 00:03:11.000]  就是以生命來講
[00:03:11.000 --> 00:03:13.000]  很簡單的框架
[00:03:13.000 --> 00:03:14.000]  更重要的是
[00:03:14.000 --> 00:03:16.000]  我們在分享我們自己的見證
[00:03:16.000 --> 00:03:17.000]  這邊有一本書
[00:03:17.000 --> 00:03:19.000]  我帶了一些書在外面
[00:03:19.000 --> 00:03:20.000]  如果你喜歡可以購買
