
[00:00:00.000 --> 00:00:04.480]  上次我們討論關於愛的課題
[00:00:04.480 --> 00:00:07.440]  接下來應該會有幾位教授
[00:00:07.440 --> 00:00:12.360]  教授Irene牧師、教授Karen和教授Gavin
[00:00:12.360 --> 00:00:15.040]  都應該會繼續討論關於天國系列
[00:00:15.040 --> 00:00:17.600]  但我會繼續討論兩個
[00:00:17.600 --> 00:00:21.360]  給予一些機會我們繼續思考一些我們很喜歡
[00:00:21.360 --> 00:00:23.840]  不是很喜歡,而是我們經常聽到的說話
[00:00:23.840 --> 00:00:26.560]  上次討論愛
[00:00:26.560 --> 00:00:30.600]  如果你想聽就自己上去聽,如果你忘記了發生什麼事
[00:00:30.600 --> 00:00:34.280]  接下來我們還會有兩個課程
[00:00:34.280 --> 00:00:36.640]  所以會多說另外兩個詞語
[00:00:36.640 --> 00:00:40.200]  今天說另一個詞語,有沒有人看到今天說什麼詞語?
[00:00:40.200 --> 00:00:44.880]  好像都展示在後面了
[00:00:44.880 --> 00:00:47.120]  這個字怎麼讀?
[00:00:47.120 --> 00:00:49.920]  我先打中文,中文程度不錯
[00:00:49.920 --> 00:00:51.600]  我想問這個字怎麼讀?
[00:00:51.600 --> 00:00:53.880]  感恩
[00:00:53.880 --> 00:00:55.400]  對了,感恩
[00:00:55.400 --> 00:00:58.800]  上次說愛,當我們討論愛的時候說什麼?
[00:00:58.800 --> 00:01:02.240]  今天就說當我們感恩的時候做什麼?
[00:01:02.240 --> 00:01:03.960]  首先要澄清一下
[00:01:03.960 --> 00:01:07.720]  感恩並不是我們的專利
[00:01:07.720 --> 00:01:12.840]  以下並不是代表我還沒到長輩的年紀
[00:01:12.840 --> 00:01:17.440]  但這張圖是一張長輩圖
[00:01:17.440 --> 00:01:24.240]  感恩並不是我們的專利
[00:01:24.240 --> 00:01:26.720]  不信耶穌的人也會發這類圖
[00:01:26.720 --> 00:01:28.920]  這是我只找到其中一張
[00:01:28.920 --> 00:01:31.480]  我想說你試試在網上打感恩兩個字
[00:01:31.480 --> 00:01:38.040]  你會找到幾百張長輩圖
[00:01:38.040 --> 00:01:40.840]  其實不信耶穌的人也會說感恩
[00:01:40.840 --> 00:01:43.080]  也會覺得感恩是好的
[00:01:43.080 --> 00:01:45.280]  我讀一個網上的定義
