
[00:00:00.000 --> 00:00:09.000]  在新的一年,一定要問大家一個這樣的問題。
[00:00:09.000 --> 00:00:18.000]  你在新的一年裡面呢,有什麼新的期望,有什麼新的目標嗎?
[00:00:18.000 --> 00:00:24.000]  鴉雀無聲啊。
[00:00:24.000 --> 00:00:30.000]  我在想,為什麼有時候我們不會再敢去定目標,不敢再去期待啊?
[00:00:30.000 --> 00:00:35.000]  我不知道有在定目標的人會定什麼目標啊?
[00:00:35.000 --> 00:00:38.000]  你定過什麼目標?
[00:00:38.000 --> 00:00:45.000]  是不是想要在今年裡面減15斤,減肥?
[00:00:45.000 --> 00:00:50.000]  那麼看過我的人呢,就整天看到我呢,又胖又瘦,又胖又瘦。
[00:00:50.000 --> 00:00:55.000]  減肥成了我的終身事業。
[00:00:55.000 --> 00:00:58.000]  那麼,你也是啊。
[00:00:58.000 --> 00:01:02.000]  那麼,你還有定過什麼目標嗎?
[00:01:02.000 --> 00:01:09.000]  比如說,我決定做一個永遠不再遲到的人。
[00:01:09.000 --> 00:01:19.000]  在我的朋友當中,能夠讓他們看到我很尊重他們,跟他們相約了,我去到那邊,他們會感受到我對他們的尊重。
[00:01:19.000 --> 00:01:23.000]  我也要讓我自己覺得很開心,因為我每次都能夠做到。
[00:01:23.000 --> 00:01:28.000]  不管什麼聚會,大小聚會,我都不會遲到。
[00:01:28.000 --> 00:01:30.000]  你有沒有定過這樣的目標呢?
[00:01:30.000 --> 00:01:40.000]  還是你定過一些目標是,我現在決定,我每個星期都要打一通電話,跟我媽媽談電話。
[00:01:40.000 --> 00:01:44.000]  我一定要不要忘記關心我的家人。
[00:01:44.000 --> 00:01:46.000]  你有沒有定過這樣的目標呢?
[00:01:46.000 --> 00:01:55.000]  還是你定過一個目標,這一年我一定要跟至少一個人傳福音,讓他們知道耶穌是誰。
[00:01:55.000 --> 00:01:57.000]  今年我一定要有這樣的一個目標。
[00:01:57.000 --> 00:02:01.000]  我信主信了這麼多年,從來都沒有做過這樣的事情。
[00:02:01.000 --> 00:02:04.000]  今年我想立下這樣的一個目標。
[00:02:04.000 --> 00:02:10.000]  還是你想要一家人都開開心心的,
[00:02:10.000 --> 00:02:16.000]  今年我至少要帶全家人出去外地旅遊一兩次。
[00:02:16.000 --> 00:02:19.000]  我們很久沒有這樣做了,有沒有這樣的目標?
[00:02:19.000 --> 00:02:28.000]  人生可以有很多不同的目標,但是我從鴨雀無聲還有我個人的體驗,
[00:02:28.000 --> 00:02:35.000]  我就想要問第二個問題,我們有時候為什麼不敢再去定目標,不敢再去期待呢?
[00:02:35.000 --> 00:02:39.000]  我想我們都有共同經驗,很多人都一樣。
[00:02:39.000 --> 00:02:43.000]  我們做不到的時候就會失望,對不對?
[00:02:43.000 --> 00:02:49.000]  第二年我們再試,然後再失敗,再失望。
[00:02:49.000 --> 00:02:59.000]  人的承受打擊的能力很有限,一直再失望下去,你就總結了一個經驗,
[00:02:59.000 --> 00:03:07.000]  那個經驗就是什麼呢?期望越高,失望越大,所以就有點放棄了。
[00:03:07.000 --> 00:03:14.000]  但是我要鼓勵你千萬不要放棄,因為有研究顯示,
[00:03:14.000 --> 00:03:21.000]  有目標的人生才是一個有動力的人生,才是一個開心的人生。
[00:03:21.000 --> 00:03:27.000]  定目標不是問題,而是我們要怎樣去完成它,
[00:03:27.000 --> 00:03:34.000]  怎樣去看待我們完成它的多少成分,那個才是關鍵。
[00:03:34.000 --> 00:03:37.000]  今天真的是想跟大家來看看這個。
[00:03:37.000 --> 00:03:42.000]  還有幾個原因也是讓我們覺得很氣餒的。
[00:03:42.000 --> 00:03:50.000]  我想人生有很多事情,令到我們有這三樣東西,都是我們的敵人。
[00:03:50.000 --> 00:03:56.000]  一個是一種無力感,一個是一種無奈感,一個是一種無助感。
[00:03:56.000 --> 00:04:10.000]  有些時候我們發現,我們真的是很想看到一件事情發生,比如說一個家庭完完整整的,
[00:04:10.000 --> 00:04:20.000]  但是在我們自己的能力所及,我們無法看到這件事情發生,
[00:04:20.000 --> 00:04:26.000]  我們就感覺到很無力,沒有力量去做這件事情。
[00:04:26.000 --> 00:04:35.000]  有些時候我們也面對大環境就是這樣,我們也覺得我們憑什麼能夠改變什麼,
[00:04:35.000 --> 00:04:43.000]  我們覺得也很無奈,或者我們也不知道誰能夠幫助我們,
[00:04:43.000 --> 00:04:50.000]  有些人好像有很多人都能夠去幫助他,但是我沒有,我就是沒有。
[00:04:50.000 --> 00:04:58.000]  所以我們就覺得很孤立無助,這些情況都會讓我們覺得沮喪。
[00:04:58.000 --> 00:05:08.000]  不小心的時候,魔鬼就會來在我們耳邊告訴我們,人生就是這樣的。
[00:05:08.000 --> 00:05:16.000]  所以你如果相信了這個,成為你人生的座右銘的時候,你就會比較消極,
[00:05:16.000 --> 00:05:21.000]  你不會很積極地想要去尋求改變。
[00:05:21.000 --> 00:05:28.000]  今天真的是想要跟大家來探討上帝,祂能夠帶給我們盼望嗎?
[00:05:28.000 --> 00:05:36.000]  首先先問大家這個問題吧,你覺得上帝能夠帶給我們盼望嗎?
[00:05:36.000 --> 00:05:39.000]  所以你才坐在這裡嗎?
[00:05:39.000 --> 00:05:44.000]  你的答案是對的,絕對能夠啊!
[00:05:44.000 --> 00:05:52.000]  上帝絕對能夠帶給我們盼望,因為祂是無所不能的。
[00:05:52.000 --> 00:06:01.000]  上帝本身的定義就是那位無所不能的,那是全能者,沒有事情祂是做不了的。
[00:06:01.000 --> 00:06:06.000]  聖經說什麼呢?在祂沒有難成的事。
