
[00:00:00.000 --> 00:00:02.000]  靚姐妹早安
[00:00:02.000 --> 00:00:04.000]  今天我們要看這段經文
[00:00:04.000 --> 00:00:08.000]  就講到耶穌被釘十字架的過程
[00:00:08.000 --> 00:00:11.000]  由耶穌被判死刑
[00:00:11.000 --> 00:00:14.000]  到他在十字架斷氣的時候
[00:00:14.000 --> 00:00:16.000]  中間究竟發生了什麼事
[00:00:16.000 --> 00:00:19.000]  馬可將這些事情記錄下來
[00:00:19.000 --> 00:00:20.000]  究竟有什麼的容易
[00:00:20.000 --> 00:00:21.000]  有什麼的提醒
[00:00:21.000 --> 00:00:25.000]  今天我們集中思想這兩個問題
[00:00:25.000 --> 00:00:26.000]  要注意的是
[00:00:26.000 --> 00:00:29.000]  今天當我們再看這段經文的時候
[00:00:29.000 --> 00:00:32.000]  我們知道耶穌基督已經從死裡復活
[00:00:32.000 --> 00:00:36.000]  十字架這個事件包括了死亡和復活
[00:00:36.000 --> 00:00:37.000]  沒有復活
[00:00:37.000 --> 00:00:39.000]  單是說耶穌的死亡
[00:00:39.000 --> 00:00:42.000]  整件事情是沒有意義的
[00:00:42.000 --> 00:00:45.000]  姆羅在哥林多前書15章17節
[00:00:45.000 --> 00:00:47.000]  很清楚很鄭重地說
[00:00:47.000 --> 00:00:49.000]  基督如果沒有復活
[00:00:49.000 --> 00:00:50.000]  你們的信就是枉然
[00:00:50.000 --> 00:00:53.000]  你們仍在罪裡面
[00:00:53.000 --> 00:00:58.000]  復活才是基督信仰最核心的一個信息
[00:00:58.000 --> 00:01:00.000]  所謂被釘十字架的耶穌
[00:01:00.000 --> 00:01:02.000]  他已經復活了
[00:01:02.000 --> 00:01:06.000]  已經徹底征服了罪惡和死亡
[00:01:06.000 --> 00:01:11.000]  不過我們又不能只說耶穌基督的復活
[00:01:11.000 --> 00:01:13.000]  不提他的死亡
[00:01:13.000 --> 00:01:16.000]  沒有耶穌被釘死這一幕
[00:01:16.000 --> 00:01:23.000]  復活的榮光就不能徹底完全彰顯出來
[00:01:23.000 --> 00:01:28.000]  煙花要在晚上爆出來才好看才燦爛
[00:01:28.000 --> 00:01:30.000]  日光日白放煙花不是不行
[00:01:30.000 --> 00:01:32.000]  不過就沒有了氣氛
[00:01:32.000 --> 00:01:36.000]  有一晚我在家的客廳看書
[00:01:36.000 --> 00:01:39.000]  突然間我女兒把家裡所有的燈關掉
[00:01:39.000 --> 00:01:41.000]  發生什麼事呢
[00:01:41.000 --> 00:01:44.000]  原來她看到窗外的月光又大又圓
[00:01:44.000 --> 00:01:46.000]  她說要關掉燈影相才夠漂亮
[00:01:46.000 --> 00:01:47.000]  弟兄姊妹
[00:01:47.000 --> 00:01:51.000]  光要顯在黑暗裡面才是明亮
[00:01:51.000 --> 00:01:53.000]  越是黑暗的地方
[00:01:53.000 --> 00:01:56.000]  復活的榮光就越是明亮
[00:01:56.000 --> 00:02:01.000]  於是馬可要記載耶穌被釘十字架的過程
[00:02:01.000 --> 00:02:03.000]  讓我們看清楚
[00:02:03.000 --> 00:02:07.000]  究竟耶穌死的時候有多黑暗
[00:02:07.000 --> 00:02:12.000]  耶穌的死到底有多黑暗呢
[00:02:12.000 --> 00:02:15.000]  馬福音15:33
[00:02:15.000 --> 00:02:20.000]  「到了正午,全地都黑暗了,直到下午三點鐘。」
[00:02:20.000 --> 00:02:22.000]  耶穌被釘的時候
[00:02:22.000 --> 00:02:24.000]  全地都黑暗了
[00:02:24.000 --> 00:02:26.000]  什麼意思呢
[00:02:26.000 --> 00:02:30.000]  最直接就是按字面去解釋
[00:02:30.000 --> 00:02:34.000]  的確耶穌被釘十字架的時候
[00:02:34.000 --> 00:02:38.000]  全地可以說是耶路撒冷或以色列
[00:02:38.000 --> 00:02:41.000]  全地有三個小時黑了
[00:02:41.000 --> 00:02:43.000]  七黑一片
[00:02:43.000 --> 00:02:47.000]  普遍學者認為這是超自然的現象
[00:02:47.000 --> 00:02:48.000]  因為當時是逾月節
[00:02:48.000 --> 00:02:50.000]  即是滿月的日子
[00:02:50.000 --> 00:02:52.000]  不可能是月蝕
[00:02:52.000 --> 00:02:58.000]  也不應該是由大風刮起的沙塵造成的自然現象
[00:02:58.000 --> 00:03:00.000]  這是一個超自然的現象
[00:03:00.000 --> 00:03:01.000]  有三個小時
[00:03:01.000 --> 00:03:04.000]  全地整個以色列耶路撒冷都黑了
[00:03:04.000 --> 00:03:07.000]  不過我們再要問一個深入的問題
[00:03:07.000 --> 00:03:10.000]  為什麼耶穌被釘死的時候
[00:03:10.000 --> 00:03:15.000]  天色突然異乎尋常地黑暗了呢
