
[00:00:00.000 --> 00:00:04.000]  (在家中)
[00:00:04.000 --> 00:00:06.000]  Hello Explorer
[00:00:06.000 --> 00:00:09.000]  希望你在家中有平安和安全
[00:00:09.000 --> 00:00:14.000]  我們知道現在疫情的情況很複雜
[00:00:14.000 --> 00:00:20.000]  但我們仍然去敬拜敬拜神
[00:00:20.000 --> 00:00:23.000]  我們今天會繼續這個系列
[00:00:23.000 --> 00:00:24.000]  The Winner
[00:00:24.000 --> 00:00:28.000]  上星期,阿彌陀佛做了一個很好的講座
[00:00:28.000 --> 00:00:31.000]  關於成功是什麼
[00:00:31.000 --> 00:00:34.000]  上次他說這個世界
[00:00:34.000 --> 00:00:36.000]  你有一個很大的房子
[00:00:36.000 --> 00:00:38.000]  你有很多的漂亮的車
[00:00:38.000 --> 00:00:39.000]  你有很漂亮的標
[00:00:39.000 --> 00:00:41.000]  那就是成功了
[00:00:41.000 --> 00:00:43.000]  這個世界的標
[00:00:43.000 --> 00:00:45.000]  但是,阿彌陀佛就說
[00:00:45.000 --> 00:00:47.000]  Good minus God
[00:00:47.000 --> 00:00:49.000]  是等於零
[00:00:49.000 --> 00:00:51.000]  如果我們有很多好事
[00:00:51.000 --> 00:00:52.000]  做很多好事
[00:00:52.000 --> 00:00:53.000]  但是我們沒有神
[00:00:53.000 --> 00:00:56.000]  我們就好像零一樣
[00:00:56.000 --> 00:00:58.000]  但是我們有神
[00:00:58.000 --> 00:01:01.000]  加零就等於好
[00:01:01.000 --> 00:01:04.000]  今天我們會繼續去講
[00:01:04.000 --> 00:01:05.000]  成功
[00:01:05.000 --> 00:01:08.000]  成功的犧牲
[00:01:08.000 --> 00:01:11.000]  我們首先讀Luke 14
[00:01:11.000 --> 00:01:15.000]  有許多人與耶穌同行
[00:01:15.000 --> 00:01:17.000]  他轉身對他們說
[00:01:17.000 --> 00:01:19.000]  如果有人到我這裡來
[00:01:19.000 --> 00:01:22.000]  愛我不超過愛自己的父母
[00:01:22.000 --> 00:01:25.000]  妻子、兒女、兄弟、姊妹
[00:01:25.000 --> 00:01:27.000]  甚至自己的姓名
[00:01:27.000 --> 00:01:29.000]  就不能作我的門徒
[00:01:29.000 --> 00:01:32.000]  凡不背著自己的十字架跟隨我的
[00:01:32.000 --> 00:01:35.000]  也不能作我的門徒
[00:01:35.000 --> 00:01:40.000]  這裡耶穌就說一個門徒
[00:01:40.000 --> 00:01:42.000]  門徒是什麼
[00:01:42.000 --> 00:01:45.000]  門徒是一個跟隨耶穌的人
[00:01:45.000 --> 00:01:47.000]  他就像學生一樣
[00:01:47.000 --> 00:01:50.000]  他學耶穌教的東西
[00:01:50.000 --> 00:01:52.000]  這是一個門徒
[00:01:52.000 --> 00:01:55.000]  一個跟隨耶穌的學生
[00:01:55.000 --> 00:01:57.000]  耶穌就說
[00:01:57.000 --> 00:01:59.000]  你不可以做我的門徒
[00:01:59.000 --> 00:02:01.000]  為什麼你不可以做呢
[00:02:01.000 --> 00:02:06.000]  如果你不去恨你的家人和朋友
[00:02:06.000 --> 00:02:08.000]  甚至你的自己的生活
[00:02:08.000 --> 00:02:13.000]  為什麼耶穌會說這麼嚴重的話呢
[00:02:13.000 --> 00:02:15.000]  是恨呢
[00:02:15.000 --> 00:02:17.000]  我們了解這個詞
[00:02:17.000 --> 00:02:20.000]  不是有一個憎恨的意義
[00:02:20.000 --> 00:02:22.000]  而是一個很憎恨的憎恨
[00:02:22.000 --> 00:02:26.000]  耶穌是用這個詞來表達
