
[00:00:00.000 --> 00:00:06.000]  頂姐妹早晨 新年快樂
[00:00:06.000 --> 00:00:11.000]  今天是2023年1月1日
[00:00:11.000 --> 00:00:16.000]  是一個很值得我們一起來歡欣
[00:00:16.000 --> 00:00:20.000]  感謝上帝的日子
[00:00:20.000 --> 00:00:25.000]  我們港福家大家經歷過2022年
[00:00:25.000 --> 00:00:29.000]  和香港眾市民一起度過
[00:00:29.000 --> 00:00:31.000]  很不容易的一年
[00:00:31.000 --> 00:00:33.000]  如果大家回想的話
[00:00:33.000 --> 00:00:36.000]  你會想起不知道你想起什麼
[00:00:36.000 --> 00:00:38.000]  起碼我第一個印象
[00:00:38.000 --> 00:00:41.000]  就是我們2022年一開始的時候
[00:00:41.000 --> 00:00:45.000]  很快就要進入第五波疫情
[00:00:45.000 --> 00:00:48.000]  非常嚴峻艱難
[00:00:48.000 --> 00:00:51.000]  有很多長者離世
[00:00:51.000 --> 00:00:53.000]  公立醫院爆滿
[00:00:53.000 --> 00:00:55.000]  在這個過程裏
[00:00:55.000 --> 00:00:57.000]  我相信大家仍然是記憶猶新
[00:00:57.000 --> 00:01:00.000]  好像在這一年裏面
[00:01:00.000 --> 00:01:02.000]  也有一些不幸的事
[00:01:02.000 --> 00:01:05.000]  7月MIRROR的音樂會裏面
[00:01:05.000 --> 00:01:11.000]  舞台的屏障大螢幕掉下來
[00:01:11.000 --> 00:01:13.000]  扎傷了兩個舞蹈員
[00:01:13.000 --> 00:01:17.000]  其中一位是李聖林牧師的兒子
[00:01:17.000 --> 00:01:19.000]  李啟賢阿Mo
[00:01:19.000 --> 00:01:22.000]  到現在仍然在醫院留醫
[00:01:22.000 --> 00:01:25.000]  心裏頭我們真的難過
[00:01:25.000 --> 00:01:30.000]  還有安特山道的地盤
[00:01:30.000 --> 00:01:32.000]  天秤倒下來
[00:01:32.000 --> 00:01:34.000]  又是壓死了人
[00:01:34.000 --> 00:01:37.000]  很多這些意外是我們想不到
[00:01:37.000 --> 00:01:39.000]  亦都是預計不到
[00:01:39.000 --> 00:01:41.000]  還有是通脹
[00:01:41.000 --> 00:01:45.000]  整個世界很多不明朗的因素
[00:01:45.000 --> 00:01:47.000]  地緣的政治的爭拗
[00:01:47.000 --> 00:01:49.000]  而污積戰爭
[00:01:49.000 --> 00:01:51.000]  很多是我們大家一聽到
[00:01:51.000 --> 00:01:53.000]  覺得很多不開心的事
[00:01:53.000 --> 00:01:55.000]  但臨到年尾的時候
[00:01:55.000 --> 00:01:59.000]  突然間我們發覺疫情稍為舒緩
[00:01:59.000 --> 00:02:02.000]  全世界開始通關
[00:02:02.000 --> 00:02:06.000]  我們國家開始亦都一樣
[00:02:06.000 --> 00:02:09.000]  因為這個疫情的轉變
[00:02:09.000 --> 00:02:12.000]  和病毒確實是一直變種
[00:02:12.000 --> 00:02:16.000]  現在似乎是全世界都已經要去適應
[00:02:16.000 --> 00:02:19.000]  與病毒共存的這件事
[00:02:19.000 --> 00:02:21.000]  我們回看回頭
[00:02:21.000 --> 00:02:25.000]  我們是否準備好去面對2023年
[00:02:25.000 --> 00:02:27.000]  你預備好了嗎
[00:02:27.000 --> 00:02:30.000]  你預備好的時候
[00:02:30.000 --> 00:02:32.000]  你預備好做什麼
[00:02:32.000 --> 00:02:35.000]  你預備好想出關
[00:02:35.000 --> 00:02:37.000]  你可能是說
[00:02:37.000 --> 00:02:41.000]  很希望2023年真的可以去旅行
[00:02:41.000 --> 00:02:43.000]  很多人都會這樣想
[00:02:43.000 --> 00:02:45.000]  確實都是
[00:02:45.000 --> 00:02:47.000]  不過我幻想大家要想起
[00:02:47.000 --> 00:02:49.000]  我們作為神的兒女
[00:02:49.000 --> 00:02:51.000]  其實我們在這個世界
[00:02:51.000 --> 00:02:52.000]  在這個地上
[00:02:52.000 --> 00:02:57.000]  我們有什麼是和我們的身份息息相關的呢
[00:02:57.000 --> 00:02:58.000]  這個我相信就是我今天
[00:02:58.000 --> 00:03:01.000]  很想和大家分享的主題
[00:03:01.000 --> 00:03:03.000]  「藉我們次恩福」
[00:03:03.000 --> 00:03:06.000]  因為在神的心意裏面
[00:03:06.000 --> 00:03:09.000]  神是和祂的百姓
[00:03:09.000 --> 00:03:12.000]  由祂揀選一個民族以色列開始
[00:03:12.000 --> 00:03:15.000]  祂來到呼召阿伯拉罕
[00:03:15.000 --> 00:03:19.000]  來到要讓一個群體
[00:03:19.000 --> 00:03:21.000]  延續去整個世界
[00:03:21.000 --> 00:03:23.000]  不同的角落
[00:03:23.000 --> 00:03:25.000]  都能夠有神的子民
[00:03:25.000 --> 00:03:26.000]  有神的百姓
[00:03:26.000 --> 00:03:28.000]  「神喜昔日」生命記實
[00:03:28.000 --> 00:03:30.000]  一章11至12節說到
[00:03:30.000 --> 00:03:33.000]  你們要過去得為業的那地
[00:03:33.000 --> 00:03:35.000]  就是那個應許之地
[00:03:35.000 --> 00:03:36.000]  是有山有谷
[00:03:36.000 --> 00:03:39.000]  天上的雨水滋潤的地方
[00:03:39.000 --> 00:03:41.000]  是耶和華你神所眷顧的地
[00:03:41.000 --> 00:03:43.000]  從歲首到年終
[00:03:43.000 --> 00:03:46.000]  耶和華你神的眼目視上
[00:03:46.000 --> 00:03:48.000]  看顧那地
[00:03:48.000 --> 00:03:52.000]  神永遠對他的應許是不會落空的
[00:03:52.000 --> 00:03:54.000]  神是一個守約斯慈愛的神
[00:03:54.000 --> 00:03:57.000]  無論環境有多艱難
[00:03:57.000 --> 00:04:01.000]  在歷世歷代我們都一起去見證一件事
[00:04:01.000 --> 00:04:03.000]  就是神的百姓只要我們
[00:04:03.000 --> 00:04:06.000]  是專心依靠上帝的時候
[00:04:06.000 --> 00:04:09.000]  在歷史的進程裏面
[00:04:09.000 --> 00:04:11.000]  永遠都是上帝終極的旨意
[00:04:11.000 --> 00:04:13.000]  一定是會成就的
[00:04:13.000 --> 00:04:18.000]  包括這個不聽話的以色列民族
[00:04:18.000 --> 00:04:21.000]  都曾經經歷過國破家亡
[00:04:21.000 --> 00:04:23.000]  被神管教
[00:04:23.000 --> 00:04:25.000]  被擄甚至亡國
[00:04:25.000 --> 00:04:27.000]  超過2500年的時間
[00:04:27.000 --> 00:04:31.000]  神竟然是奇跡性定在1948年
[00:04:31.000 --> 00:04:33.000]  叫以色列能夠復國
[00:04:33.000 --> 00:04:37.000]  很多歷史學家去研究人類的歷史
[00:04:37.000 --> 00:04:40.000]  就說一個國家如果亡國超過500年
[00:04:40.000 --> 00:04:42.000]  根本是不可能復國
[00:04:42.000 --> 00:04:45.000]  你翻查歷史就會看到這個事實
[00:04:45.000 --> 00:04:49.000]  我們今天一樣要見證
[00:04:49.000 --> 00:04:54.000]  究竟我們怎樣向神求恩
[00:04:54.000 --> 00:04:56.000]  我們不要做一個只是
[00:04:56.000 --> 00:05:00.000]  徒受上帝恩典的一個神的兒女
[00:05:00.000 --> 00:05:04.000]  在網上這幾天不斷重複
[00:05:04.000 --> 00:05:08.000]  我收到一個禱告文
[00:05:08.000 --> 00:05:10.000]  我覺得很有意思
[00:05:10.000 --> 00:05:13.000]  親愛的主 我們回首這一年的時候
[00:05:13.000 --> 00:05:16.000]  我們看見 滴滿了你恩典的自由
[00:05:16.000 --> 00:05:19.000]  在疫情裡 我們有你的保護
[00:05:19.000 --> 00:05:22.000]  在困境裡 我們有你的帶領
[00:05:22.000 --> 00:05:25.000]  在疾病裡 我們有你的平安
[00:05:25.000 --> 00:05:28.000]  在缺乏裡 我們有你的供應
[00:05:28.000 --> 00:05:31.000]  在危險裡 我們有你的拯救
[00:05:31.000 --> 00:05:34.000]  在軟弱裡 我們有你的堅固
[00:05:34.000 --> 00:05:37.000]  在傷心裡 我們有你的安慰
[00:05:37.000 --> 00:05:40.000]  在孤單裡 我們也有你的陪伴
[00:05:40.000 --> 00:05:43.000]  在憂愁裡 我們有你的喜樂
[00:05:43.000 --> 00:05:46.000]  主啊 當我們細數這些恩典
[00:05:46.000 --> 00:05:49.000]  我們才知道祢一直在我們的身邊
[00:05:49.000 --> 00:05:53.000]  才知道祢一直活在你的恩典裡
[00:05:53.000 --> 00:05:56.000]  原來祢不曾離開我們
[00:05:56.000 --> 00:05:57.000]  主啊 我們要謝謝祢
[00:05:57.000 --> 00:05:59.000]  謝謝祢的恩典 謝謝祢的同在
[00:05:59.000 --> 00:06:02.000]  謝謝祢成為我們的主
[00:06:02.000 --> 00:06:05.000]  禱告是奉主耶穌的名 阿們
[00:06:05.000 --> 00:06:08.000]  不知道你認不認同這個禱文
[00:06:08.000 --> 00:06:12.000]  這是一個無名的基督徒
[00:06:12.000 --> 00:06:14.000]  因為沒有署名
[00:06:14.000 --> 00:06:15.000]  不知道是誰寫的
[00:06:15.000 --> 00:06:18.000]  但我自己心心的被觸動
[00:06:18.000 --> 00:06:22.000]  我體會到我們今天其實作為神的兒女
[00:06:22.000 --> 00:06:25.000]  我們必須就是很好的謙卑
[00:06:25.000 --> 00:06:28.000]  在凡事上我們要做到謝恩的話
[00:06:28.000 --> 00:06:32.000]  你必須要常喜樂 而且不絕的禱告
[00:06:32.000 --> 00:06:34.000]  2023年我們大家都沒有走過
[00:06:34.000 --> 00:06:36.000]  我們不知道前面那條路
[00:06:36.000 --> 00:06:38.000]  甚至我們在我們
[00:06:38.000 --> 00:06:41.000]  你多精密去預算
[00:06:41.000 --> 00:06:45.000]  或者做好你的計劃也好
[00:06:45.000 --> 00:06:47.000]  無論你家庭你的事業
[00:06:47.000 --> 00:06:51.000]  但我們知道往往是有很多的因素
[00:06:51.000 --> 00:06:53.000]  讓我們措手不及
[00:06:53.000 --> 00:06:56.000]  甚至令我們意想不到
[00:06:56.000 --> 00:06:58.000]  但我們心信就是我們謙卑
[00:06:58.000 --> 00:07:01.000]  去到神的面前 祂的私恩坐戰
[00:07:01.000 --> 00:07:03.000]  我們向祂求恩
[00:07:03.000 --> 00:07:06.000]  而且我們做一個敬畏祂
[00:07:06.000 --> 00:07:08.000]  專心依賴耶華的人
[00:07:08.000 --> 00:07:12.000]  我們一生的好處都不會在祂的意外
[00:07:12.000 --> 00:07:15.000]  當我們願意這樣去尋求神
[00:07:15.000 --> 00:07:16.000]  到我們這樣做的時候
[00:07:16.000 --> 00:07:19.000]  我們回想在聖經裏面
[00:07:19.000 --> 00:07:22.000]  原來真正那個福氣的源頭
[00:07:22.000 --> 00:07:24.000]  就是你要找回我們這位
[00:07:24.000 --> 00:07:27.000]  創天造地的萬有的主宰
[00:07:27.000 --> 00:07:32.000]  這個就正正是上帝在創世記十二章
[00:07:32.000 --> 00:07:36.000]  頭三節一個很重要的對話裏面
[00:07:36.000 --> 00:07:40.000]  他是第一次和亞伯蘭直接說話
[00:07:40.000 --> 00:07:44.000]  也是很重要的一個指示裏面
[00:07:44.000 --> 00:07:46.000]  我們來看
[00:07:46.000 --> 00:07:48.000]  我們真正要成為一個蒙福
[00:07:48.000 --> 00:07:51.000]  又成為別人真正得著祝福的人
[00:07:51.000 --> 00:07:56.000]  你要很留意這段經文給我們的提醒
[00:07:56.000 --> 00:07:58.000]  我們一起讀這三節聖經
[00:07:58.000 --> 00:08:04.000]  「而對亞伯蘭說:你要離開本地、本族、夫家
[00:08:04.000 --> 00:08:07.000]  往我所要指示你的地去
[00:08:07.000 --> 00:08:09.000]  我必使你成為大國
[00:08:09.000 --> 00:08:13.000]  我必賜福給你,使你的名為大
[00:08:13.000 --> 00:08:15.000]  你要使別人得福
[00:08:15.000 --> 00:08:19.000]  為你祝福的,我必賜福給他
[00:08:19.000 --> 00:08:22.000]  周助你的,我必周助他
[00:08:22.000 --> 00:08:26.000]  地上的萬族,都必因你得福」
[00:08:26.000 --> 00:08:30.000]  這段經文我特別用藍色的字
[00:08:30.000 --> 00:08:32.000]  提亮給我們看
[00:08:32.000 --> 00:08:36.000]  我們看見神和亞伯蘭說
[00:08:36.000 --> 00:08:39.000]  其實這番說話裏面是有命令
[00:08:39.000 --> 00:08:40.000]  也有應許
[00:08:40.000 --> 00:08:42.000]  藍色的字就是一個命令
[00:08:42.000 --> 00:08:46.000]  你要離開你的故鄉
[00:08:46.000 --> 00:08:49.000]  你的親人去神要指示的地方
[00:08:49.000 --> 00:08:51.000]  沒有說明去哪裏
[00:08:51.000 --> 00:08:54.000]  但總之你要跟著神走就行了
[00:08:54.000 --> 00:08:57.000]  而且你要使別人得福
[00:08:57.000 --> 00:09:01.000]  上帝今日無論差遣我們去哪裏
[00:09:01.000 --> 00:09:04.000]  或者委派我們做什麼工作
[00:09:04.000 --> 00:09:08.000]  你要掌握到神給過我的託付
[00:09:08.000 --> 00:09:13.000]  我的人生更高層次的使命
[00:09:13.000 --> 00:09:17.000]  就是我要做一個榮神益人的人
[00:09:17.000 --> 00:09:20.000]  當大家明白這一點的時候
[00:09:20.000 --> 00:09:21.000]  這一點很重要
[00:09:21.000 --> 00:09:25.000]  我們看這三節裏面
[00:09:25.000 --> 00:09:28.000]  其實包含了兩個命令
[00:09:28.000 --> 00:09:29.000]  第一個命令就是
[00:09:29.000 --> 00:09:31.000]  往我所要指示你的地方去
[00:09:31.000 --> 00:09:33.000]  然後在這個應許裏面
[00:09:33.000 --> 00:09:36.000]  他說我要叫你成為大國
[00:09:36.000 --> 00:09:38.000]  叫你的命為大
[00:09:38.000 --> 00:09:40.000]  這個都是一個強調
[00:09:40.000 --> 00:09:42.000]  那個大、偉大
[00:09:42.000 --> 00:09:46.000]  原來上帝要賜福給亞伯蘭
[00:09:46.000 --> 00:09:48.000]  要揀選他
[00:09:48.000 --> 00:09:50.000]  是有他的心意
[00:09:50.000 --> 00:09:51.000]  叫他強大
[00:09:51.000 --> 00:09:54.000]  叫他的命為大
[00:09:54.000 --> 00:09:56.000]  是對比著前文
[00:09:56.000 --> 00:09:58.000]  那些在建巴別塔的
[00:09:58.000 --> 00:10:00.000]  當時那些人類
[00:10:00.000 --> 00:10:02.000]  就是利器神
[00:10:02.000 --> 00:10:03.000]  自高自大
[00:10:03.000 --> 00:10:06.000]  要為自己建立自己的名聲
[00:10:06.000 --> 00:10:08.000]  他說我們要做一個巴別塔
[00:10:08.000 --> 00:10:11.000]  去到上通天
[00:10:11.000 --> 00:10:14.000]  人以為自己變成神的時候
[00:10:14.000 --> 00:10:16.000]  是很危險的一件事
[00:10:16.000 --> 00:10:20.000]  當我們為自己扮演成一個
[00:10:20.000 --> 00:10:24.000]  真正的人造神出來
[00:10:24.000 --> 00:10:26.000]  你自己當自己是神的話
[00:10:26.000 --> 00:10:27.000]  這個很危險
