
[00:00:00.000 --> 00:00:07.000]  各位大英姐妹早晨
[00:00:07.000 --> 00:00:13.000]  今日我要宣講的訊息是有關平安的訊息
[00:00:13.000 --> 00:00:15.000]  有什麼叫平安呢?
[00:00:15.000 --> 00:00:20.000]  在這段時間我不斷反思這個題目
[00:00:20.000 --> 00:00:24.000]  特別在這幾個月新冠肺炎的疫情之下
[00:00:24.000 --> 00:00:29.000]  我經常聽到很多人說感到很不平安
[00:00:29.000 --> 00:00:35.000]  隨之而來的就是很多情緒困擾著他一些問題
[00:00:35.000 --> 00:00:40.000]  好像很鬱悶、很焦慮、很擔心、很不安、很懼怕
[00:00:40.000 --> 00:00:42.000]  甚至抑鬱
[00:00:42.000 --> 00:00:47.000]  很多人都尋求情緒的一些舒緩和治療
[00:00:47.000 --> 00:00:50.000]  當中包括了很多的基督徒
[00:00:50.000 --> 00:00:53.000]  這些都是人之常情
[00:00:53.000 --> 00:00:55.000]  這種沒有平安的感覺
[00:00:55.000 --> 00:01:01.000]  經常都讓我們的心理和生活失衡
[00:01:01.000 --> 00:01:03.000]  有一本書
[00:01:03.000 --> 00:01:06.000]  書名叫做《活出異議來》
[00:01:06.000 --> 00:01:14.000]  這本書的作者是一位精神科醫學教授
[00:01:14.000 --> 00:01:20.000]  他在第二次世界大戰期間被抓進集中營當中
[00:01:20.000 --> 00:01:24.000]  這本書是他在集中營的經歷
[00:01:24.000 --> 00:01:31.000]  後來亦成為了他一個意義治療的重要基礎
[00:01:31.000 --> 00:01:37.000]  他在研究人在疫情之下生存的目標和挑戰
[00:01:37.000 --> 00:01:42.000]  書中他提到有一種病叫做「緩刑錯覺」
[00:01:42.000 --> 00:01:50.000]  就是死刑犯在處決之前幻想自己會在最後一分鐘獲得緩刑
[00:01:50.000 --> 00:01:56.000]  在集中營一個自殺研究的數據結果當中
[00:01:56.000 --> 00:02:01.000]  在1944年聖誕節到1945年元旦
[00:02:01.000 --> 00:02:03.000]  即是一個星期的期間
[00:02:03.000 --> 00:02:06.000]  營中的死亡率大增
[00:02:06.000 --> 00:02:11.000]  因為很多的俘虜都以為他們會在聖誕節之前獲釋
[00:02:11.000 --> 00:02:13.000]  但當夢境破滅
[00:02:13.000 --> 00:02:15.000]  萬念俱灰的時候
[00:02:15.000 --> 00:02:20.000]  原來他們身體的抵抗力大大削弱
[00:02:20.000 --> 00:02:23.000]  結果相繼死亡
[00:02:23.000 --> 00:02:26.000]  他得出一個解釋
[00:02:26.000 --> 00:02:31.000]  就是對自己未來失去信心的俘虜
[00:02:31.000 --> 00:02:34.000]  必然難逃劫數
[00:02:34.000 --> 00:02:38.000]  他亦有一個結論
[00:02:38.000 --> 00:02:41.000]  原來心境的好和壞
[00:02:41.000 --> 00:02:52.000]  和身體的免疫能力息息相關
[00:02:52.000 --> 00:02:54.000]  這位精神科醫生
[00:02:54.000 --> 00:02:57.000]  他亦引用了彌彩的一句說話
[00:02:57.000 --> 00:03:00.000]  他說懂得為何而活的人
[00:03:00.000 --> 00:03:04.000]  幾乎任何的痛苦都可以忍受
[00:03:04.000 --> 00:03:09.000]  今日新冠肺炎肆虐全球
[00:03:09.000 --> 00:03:12.000]  可以稱為一個疫戰
[00:03:12.000 --> 00:03:14.000]  好像一場戰爭
