
[00:00:00.000 --> 00:00:03.720]  在我未講到之前,我先問一個問題
[00:00:03.720 --> 00:00:06.400]  有沒有人曾經想過
[00:00:06.400 --> 00:00:09.760]  為什麼自己要來到這個世界上
[00:00:09.760 --> 00:00:13.240]  到底生命的意義是什麼呢?
[00:00:13.240 --> 00:00:17.200]  如果你有想過的,輕輕舉手給我看看
[00:00:17.200 --> 00:00:19.640]  哦,都很多
[00:00:19.640 --> 00:00:22.480]  我們一起從傳道書
[00:00:22.480 --> 00:00:24.680]  看看到底我們的人生
[00:00:24.680 --> 00:00:26.680]  有什麼意義呢?
[00:00:26.680 --> 00:00:28.680]  我們一起祈禱吧
[00:00:29.680 --> 00:00:32.480]  七位天父上帝
[00:00:32.480 --> 00:00:34.480]  多謝祢讓我們今天
[00:00:34.480 --> 00:00:37.080]  在這個主日的清晨來到祢的殿中
[00:00:37.080 --> 00:00:39.080]  又敬拜又學習
[00:00:39.080 --> 00:00:41.480]  求主祢開我們的耳朵
[00:00:41.480 --> 00:00:42.680]  開我們的心
[00:00:42.680 --> 00:00:44.120]  讓祢的說話
[00:00:44.120 --> 00:00:46.120]  植入到我們的心裡面
[00:00:46.120 --> 00:00:48.600]  求主祢讓聽的、講的
[00:00:48.600 --> 00:00:50.160]  都得到祢的造就
[00:00:50.160 --> 00:00:51.920]  我們同心禱告
[00:00:51.920 --> 00:00:53.920]  奉主名求,阿們
[00:00:53.920 --> 00:00:58.200]  上一次林牧師已經為我們傳道書
[00:00:58.200 --> 00:01:01.680]  做了一個很大的引言
[00:01:01.680 --> 00:01:05.480]  說到整本傳道書第一章
[00:01:05.480 --> 00:01:07.760]  都是「去空」
[00:01:07.760 --> 00:01:10.400]  「去空」的意思就是
[00:01:10.400 --> 00:01:12.880]  短暫無常
[00:01:12.880 --> 00:01:14.880]  今天我再加一個
[00:01:14.880 --> 00:01:16.320]  「捕風」
[00:01:16.320 --> 00:01:18.800]  捕風的意思是什麼呢?
[00:01:18.800 --> 00:01:20.800]  追風的意思
[00:01:20.800 --> 00:01:22.200]  追風
[00:01:22.200 --> 00:01:23.120]  就是什麼呢?
[00:01:23.120 --> 00:01:25.120]  追風只有一個
