
[00:00:00.000 --> 00:00:04.000]  (主持人:先問平安)
[00:00:04.000 --> 00:00:26.000]  今晚很高興有機會和大家分享,多謝James和Michelle,很開心他們的家庭在我們劫團期中一起同工,看到他們很忠心在教會服侍,我們看到他們真的有神的祝福,神的保守
[00:00:26.000 --> 00:00:45.000]  在這裡亦想鼓勵這裡的夫婦,如果你未入夫婦區的話,都鼓勵你來,因為一起認識神,一起數算神的恩典,你來到的時候,希望你們看到我們是彼此相愛和夫妻相愛的一對契
[00:00:45.000 --> 00:01:10.000]  今日想和大家探討的經文是彼得前書第五章八十四節,這是整本書順序後的幾節,我想分享的題目是在恩典中站穩,怎樣才算站穩呢?不知道大家有沒有試過站在懸崖旁邊,有沒有試過?
[00:01:10.000 --> 00:01:35.000]  沒有人試過,我也試過,也會害怕,不過真正害怕的是今年二月,我和太太和女兒去馬鞍山,原來馬鞍山有很多斜的懸崖,一看就覺得很恐怖
[00:01:35.000 --> 00:02:02.000]  我太太和女兒先過去,那裡剛好有些泥,經過那條路的時候,很窄,我之前叫太太和女兒非常小心,我對自己說沒事,突然間滑下去,真的差點滑下去
[00:02:02.000 --> 00:02:23.000]  為什麼呢?其實真的,幸好我之前用手抓住,因為有安全繩在旁邊,結果沒有滑下去,我想如果站不穩,我今天就不可能在這裡和你談到
[00:02:23.000 --> 00:02:45.000]  但是我們要想想,如果我們在平地的時候,不覺得需要站穩,但是危險的地方就要非常小心,就像這個人站在懸崖邊,如果一不小心,腳不穩,就會掉下去,粉身碎骨
[00:02:45.000 --> 00:03:03.000]  當我們說要站穩的時候,所站的地方通常是一個危險環境中穩固的地方,為什麼我們要在恩典裡面站穩呢?
[00:03:03.000 --> 00:03:29.000]  今天正道的題目就是取自第五章十二節,你們務要在這恩上站穩不住,務要就是說一定要,這是一個非常重要,非常懇切的叮囑,上星期門訓主日,講經文的前一段,是講彼得作為教會的長老,牧羊教會信徒的心腸
[00:03:29.000 --> 00:03:52.000]  今天講的這句叮囑,更加是他的肺腑之言,當時的信徒身處一個充滿苦難,驚慌和仇恨的世界,這是彼得前書的架構圖,作者是美國一位很出名的牧師,Chuck Swindle
[00:03:52.000 --> 00:04:10.000]  在這個架構裡面,彼得前書的總題是在充滿仇恨的世界裡面活出聖結,在苦難裡面能夠帶出盼望,我們如何在這麼困難的環境裡面有這樣的生命?
[00:04:10.000 --> 00:04:37.000]  這個就是靠著恩典,其實你看看,恩典是貫穿了整本書信的,在第一二章,要在恩典中堅持,第二和第三章講恩典中的終生的生活,第三至五章的主題就是信徒要在恩典上站穩,所以在恩典上站穩,都是今天的主題
[00:04:37.000 --> 00:05:03.000]  在我們看這段經文之前,要一起禱告,全愛父神,感謝祢賜下祢的外語,在以下的信息裡面,求祢的聖靈與我們同在,幫助我們講的聽的,都能夠更多明白祢的心意,讓我們更多明白祢的恩典,和懂得要站穩在你的恩典之上
[00:05:03.000 --> 00:05:27.000]  禱告是奉靠祢獨生愛子耶穌基督,報祂的名字,今天我們會從三方面去探討在恩典中站穩這個題目,第一,為什麼我們要站穩?第二,如何站穩?第三,什麼是恩典上的站穩?和如何在恩典上站穩?
[00:05:27.000 --> 00:05:35.000]  首先,我們看看,要站穩的原因,答案就在第八到第九節,讓我們一起讀,好嗎?
[00:05:35.000 --> 00:05:56.000]  「無要謹慎,要謹慎,因為你們的受敵魔鬼如同咆哮的獅子,走來走去尋找可吞吃的人,你們要用堅固的信心抵擋他,因為知道你們在世上的眾弟兄也正在經歷這樣的苦難。」
[00:05:56.000 --> 00:06:25.000]  為什麼要站穩?因為魔鬼如同咆哮的獅子,走來走去尋找可吞吃的人,如果魔鬼如同獅子,四處走來走去,你們可能會怕著他,避開他,但彼得用咆哮的獅子避開魔鬼,不是告訴我們魔鬼如獅子的樣子,
[00:06:25.000 --> 00:06:45.000]  而是獅子在動物界是萬獸之王,戰無不勝,很少人能抵抗魔鬼的攻擊,走來走去,為什麼呢?因為魔鬼在地上往返,無處不在。
[00:06:45.000 --> 00:07:13.000]  在《約伯記》的開始有這樣的記載,有一天,耶華神問魔鬼撒旦,「你在哪裡來?」「撒旦」回答:「我從地上走來走去,在那裡往返?」這個和彼得前書的一樣,魔鬼在世界中往返,告訴他,他可以無孔不入,去到每一個角落,
