
[00:00:00.000 --> 00:00:05.200]  我們也祈求神父保佑我們姐妹平安
[00:00:05.200 --> 00:00:07.900]  讓我們今天一起來聽聖的話語
[00:00:07.900 --> 00:00:10.500]  讓我們一起同心禱告
[00:00:10.500 --> 00:00:13.800]  天父上帝我們滿心感謝讚美你
[00:00:13.800 --> 00:00:15.900]  你的話語歷久長心
[00:00:15.900 --> 00:00:19.200]  你的話語常常帶給我們生命的智慧
[00:00:19.200 --> 00:00:21.900]  我們知道你在聖經也教導我們
[00:00:21.900 --> 00:00:23.700]  我們要聆聽你的話語
[00:00:23.700 --> 00:00:26.400]  我們的心要像一片好土
[00:00:26.400 --> 00:00:29.500]  才能夠真的是謙卑的領受
[00:00:29.500 --> 00:00:31.500]  你要對我們個人說的話
[00:00:31.500 --> 00:00:33.100]  我們求祢祝福我們
[00:00:33.100 --> 00:00:37.300]  不但是對眾人所說的信息
[00:00:37.300 --> 00:00:40.200]  還是對我們個別的人所給的提醒
[00:00:40.200 --> 00:00:43.100]  都求祢讓我們能夠得著你的話語
[00:00:43.100 --> 00:00:45.600]  以致我們的生命被你的話語建立
[00:00:45.600 --> 00:00:48.600]  禱告感恩奉主耶穌基督聖名祈求
[00:00:48.600 --> 00:00:49.600]  Amen
[00:00:49.600 --> 00:00:51.500]  各位姐妹今天我們要看
[00:00:51.500 --> 00:00:55.100]  《初期教會》《生命改變》講道系列的第二講
[00:00:55.100 --> 00:00:56.800]  上次我們看到了彼得
[00:00:56.800 --> 00:00:58.600]  今天我們要看斯提反
[00:00:58.600 --> 00:01:01.400]  我們是想從福音書之後
[00:01:01.400 --> 00:01:06.000]  繼續看初期教會發生了什麼事情
[00:01:06.000 --> 00:01:08.700]  主耶穌的事蹟我們大家都清楚了
[00:01:08.700 --> 00:01:10.600]  我們已經用了50幾堂
[00:01:10.600 --> 00:01:12.300]  講了主耶穌講過的話
[00:01:12.300 --> 00:01:13.500]  做過的事情
[00:01:13.500 --> 00:01:17.200]  接下來他讓門徒所做的事情
[00:01:17.200 --> 00:01:19.900]  初期教會發生了什麼事情呢?
[00:01:19.900 --> 00:01:21.500]  我們也想要看一看
[00:01:21.500 --> 00:01:24.300]  到底教會歷史是怎麼開展的
[00:01:24.300 --> 00:01:26.300]  所以上一次我們看到了彼得
[00:01:26.300 --> 00:01:28.200]  今天我們要看斯提反
[00:01:28.200 --> 00:01:31.800]  在這裡我們看到背景
[00:01:31.800 --> 00:01:35.000]  就是聖靈充滿了之後
[00:01:35.000 --> 00:01:36.600]  記不記得在五旬節
[00:01:36.600 --> 00:01:37.800]  聖靈充滿
[00:01:37.800 --> 00:01:41.100]  他們每個人都有一個標記
[00:01:41.100 --> 00:01:43.500]  當時候聖靈充滿的標記就是
[00:01:43.500 --> 00:01:46.100]  能夠講別人的方言
[00:01:46.100 --> 00:01:49.500]  本來是住在敘利亞的猶太人
[00:01:49.500 --> 00:01:51.000]  來到耶路撒冷
[00:01:51.000 --> 00:01:54.800]  要來朝聖 要來過節
[00:01:54.800 --> 00:01:57.700]  竟然聽到這些本來不會講
[00:01:57.700 --> 00:01:59.400]  敘利亞那邊的語言的人
[00:01:59.400 --> 00:02:01.200]  會講他們的家鄉話
[00:02:01.200 --> 00:02:05.900]  這是當時候聖靈降臨他們的一個標記
[00:02:05.900 --> 00:02:07.400]  他們聖靈充滿了
[00:02:07.400 --> 00:02:11.500]  門徒就帶著能力去見證耶穌
[00:02:11.500 --> 00:02:13.400]  我們看到當時候
[00:02:13.400 --> 00:02:15.300]  彼得站起來講到
[00:02:15.300 --> 00:02:17.300]  像一些在嘲笑他們
[00:02:17.300 --> 00:02:21.100]  突然間講不同的人的家鄉話的門徒
[00:02:21.100 --> 00:02:22.700]  他們嘲笑他們什麼呢?
[00:02:22.700 --> 00:02:23.900]  嘲笑他們說
[00:02:23.900 --> 00:02:25.700]  你們是不是喝醉了?
[00:02:25.700 --> 00:02:27.200]  這樣早就喝醉了
