
[00:00:00.000 --> 00:00:03.040]  各位主內的家人們 大家平安
[00:00:03.040 --> 00:00:06.820]  感恩今天我們又可以奉主的命一起相聚
[00:00:06.820 --> 00:00:09.400]  一起敬拜我們的神
[00:00:09.400 --> 00:00:12.400]  一起來聆聽主的真道
[00:00:12.400 --> 00:00:15.820]  今天我們要一起分享的題目是
[00:00:15.820 --> 00:00:18.440]  活出得勝的人生
[00:00:18.440 --> 00:00:22.140]  很多人都想得勝 這個世界上
[00:00:22.140 --> 00:00:24.660]  也會給我們很多
[00:00:24.660 --> 00:00:26.840]  所謂得勝的答案
[00:00:27.240 --> 00:00:30.280]  有的說呢 要取得何等的成就
[00:00:30.280 --> 00:00:33.280]  有的也說呢 要擁有
[00:00:33.280 --> 00:00:36.320]  怎樣的物質生活 還有的說呢
[00:00:36.320 --> 00:00:39.080]  要見過怎樣的風景
[00:00:39.080 --> 00:00:41.500]  所謂就叫做得勝了
[00:00:41.500 --> 00:00:44.840]  那麼在細想其中呢 這樣一種的定義
[00:00:44.840 --> 00:00:47.840]  還細分在不同的
[00:00:47.840 --> 00:00:50.900]  年齡階段 都會給你相應的答案
[00:00:50.900 --> 00:00:53.900]  小的時候比才藝
[00:00:53.900 --> 00:00:56.840]  稍微大一點比學校
[00:00:57.180 --> 00:01:00.660]  再長一點比工作 隨後比家庭
[00:01:00.660 --> 00:01:03.560]  比了家庭以後呢 比什麼
[00:01:03.560 --> 00:01:05.240]  又比孩子
[00:01:05.240 --> 00:01:08.760]  比了孩子以後呢 又開始一個新的重複了
[00:01:08.760 --> 00:01:11.580]  比孩子的才藝啊
[00:01:11.580 --> 00:01:15.160]  在各樣世俗得勝的標準當中的
[00:01:15.160 --> 00:01:17.660]  反復去重複
[00:01:17.660 --> 00:01:21.000]  每個人呢 都想要盡力去爭取
[00:01:21.000 --> 00:01:23.760]  想在其中捲啊 捲啊
[00:01:23.760 --> 00:01:26.860]  每個人呢 都想贏在起跑線
[00:01:27.220 --> 00:01:30.220]  最終呢 很多卻輸在了終點線
[00:01:30.220 --> 00:01:33.840]  其實呢 各樣的賜福呢
[00:01:33.840 --> 00:01:36.000]  可以是神的美意
[00:01:36.000 --> 00:01:38.640]  但在世界的理解當中呢
[00:01:38.640 --> 00:01:41.780]  我們各位基督徒就明白啊
[00:01:41.780 --> 00:01:45.140]  會產生一種 對於世界上是一種
[00:01:45.140 --> 00:01:47.320]  本末倒置的理解
[00:01:47.320 --> 00:01:50.980]  神賜福給你 我們擁有了祂
[00:01:50.980 --> 00:01:53.520]  見證更多神的榮耀
[00:01:53.520 --> 00:01:56.400]  活出更多神的榮美 更多的來
[00:01:56.400 --> 00:01:59.420]  親近神 我們的目標是越來越
[00:01:59.420 --> 00:02:00.420]  接近神的
[00:02:00.420 --> 00:02:02.640]  但是世界的標準呢
[00:02:02.640 --> 00:02:05.420]  它把你的視線引開了
[00:02:05.420 --> 00:02:08.900]  我們已經看不到神 看不到祂的祝福
[00:02:08.900 --> 00:02:11.980]  我們拼命的追求各樣神
[00:02:11.980 --> 00:02:14.980]  可以賜予我們 各樣的東西
[00:02:14.980 --> 00:02:18.500]  以至於拼命的用人的方法
[00:02:18.500 --> 00:02:19.980]  想要得到
[00:02:19.980 --> 00:02:23.240]  到頭來呢 所謂本來
