
[00:00:00.000 --> 00:00:02.920]  請姊妹早晨 主內平安
[00:00:02.920 --> 00:00:07.320]  感謝神今天有機會和大家分享聖經的信息
[00:00:07.320 --> 00:00:09.320]  我們一起祈禱
[00:00:09.320 --> 00:00:12.880]  秋系天父多謝祢 讓我們可以聆聽祢的話語
[00:00:12.880 --> 00:00:17.360]  求祢開啟我們的悟性 也讓我們有信服進行的心
[00:00:17.360 --> 00:00:21.240]  在祢的說話中得著益處 求祢臨在我們當中
[00:00:21.240 --> 00:00:24.480]  我們同心禱告 奉主明求 阿們
[00:00:24.480 --> 00:00:31.760]  在大約過年的時候 我就去了埃及文物展
[00:00:31.760 --> 00:00:36.200]  為什麼我會去呢 是因為我看到有一隻卡通的貓
[00:00:36.200 --> 00:00:39.760]  就是電視在拍攝出來 我覺得很有趣
[00:00:39.760 --> 00:00:46.000]  有不同的顏色 很酷 黑黑的 我就很想去買那隻貓
[00:00:46.000 --> 00:00:48.480]  於是我就去看文物展了
[00:00:48.480 --> 00:00:51.840]  不過當我看完文物展之後 我就決定不買
[00:00:51.840 --> 00:00:54.960]  稍後就告訴大家為什麼我不買了
[00:00:54.960 --> 00:01:00.160]  這個文物展 這些是我其中拍的照片
[00:01:00.160 --> 00:01:07.200]  我發現在文物展裡面 不單止幫助我更加明白古埃及的文明
[00:01:07.200 --> 00:01:12.080]  更加讓我明白到一些舊約聖經的場景
[00:01:12.080 --> 00:01:15.200]  先說那隻貓 為什麼我不買呢
[00:01:15.200 --> 00:01:22.480]  原來我發現這一隻法老貓 牠是法老王前面的守護神
[00:01:22.480 --> 00:01:25.440]  就是守護生育 保護家庭的
[00:01:25.440 --> 00:01:31.360]  下面捲著一塊一塊的是文物來的 是貓的木乃伊
[00:01:31.360 --> 00:01:35.760]  當時展出了有五隻 有大有小
[00:01:35.760 --> 00:01:40.400]  我估計可能是貓爸爸 貓媽媽 跟著幾個小朋友
[00:01:40.400 --> 00:01:47.280]  有貓的木乃伊 中間那個是一個法老王的像
[00:01:47.280 --> 00:01:54.160]  我看回資料 這個法老王大約在公元前1500多年的時候
[00:01:54.160 --> 00:01:58.560]  那段時間做皇帝的 做埃及的皇帝
[00:01:58.560 --> 00:02:02.480]  如果推翻 不是推翻他 當然
[00:02:02.480 --> 00:02:10.800]  結合聖經來說 大約是摩西帶領以色列人出埃及那段時間
[00:02:10.800 --> 00:02:15.520]  當然是不是很準確地是那個年代呢
[00:02:15.520 --> 00:02:19.760]  現在是無從稽考的 但是大約是那個年代
[00:02:19.760 --> 00:02:22.960]  我會說如果是大約那個年代
[00:02:22.960 --> 00:02:26.960]  就是前前後後無論是不是這個人作王也好
[00:02:26.960 --> 00:02:29.680]  那些文化應該都差不多
[00:02:29.680 --> 00:02:32.720]  大家試一下考一下眼力
