
[00:00:00.000 --> 00:00:03.360]  好,我們現在的series是Jesus is Lord
[00:00:03.360 --> 00:00:07.520]  那有沒有人記得我們不同的Jesus是Lord of what?
[00:00:07.520 --> 00:00:11.800]  Lord of什麼?我們學了1,2,3,4,5個,先不要出
[00:00:11.800 --> 00:00:15.880]  Lord of what?我們學過5個的,記不記得?有沒有人記得?
[00:00:15.880 --> 00:00:17.880]  上個星期是Lord of什麼?
[00:00:17.880 --> 00:00:22.240]  Pastor Carmen是說的,Lord of什麼?知不知道?
[00:00:22.240 --> 00:00:36.920]  Lord of Supernatural,他是講鬼的,有沒有人記得?
[00:00:36.920 --> 00:00:39.400]  The other ones,Lord of什麼?
[00:00:39.400 --> 00:00:41.400]  Mentor記不記得?
[00:00:41.400 --> 00:00:43.400]  Mentor也不記得
[00:00:43.400 --> 00:01:00.560]  Next slide,我們看看,Lord of True Blessing,我們新年的時候學了真正的Blessing不是在禮事,不是在我們一起吃飯,真正的Blessing是在耶穌那裡
[00:01:00.560 --> 00:01:10.400]  Jesus is the True Blessing,福是轉變了的,福來到了,誰來到了?耶穌來到了,He is the True Blessing
[00:01:10.400 --> 00:01:19.000]  Pastor Carmen就說,Lord of the Sabbath,Why do we worship God on Sunday?因為祂是Lord of the Sabbath
[00:01:19.000 --> 00:01:28.720]  然後,記不記得?我們說Storm,我們每個人都會有Storms of Life
[00:01:28.720 --> 00:01:35.320]  那我們要求誰是我們的Lord?Jesus is Lord over the Storm
[00:01:35.320 --> 00:01:41.040]  那今天我們會說Lord of Life,耶穌是Lord of Life
[00:01:41.040 --> 00:01:51.960]  我先問問你,What are the leading causes of death?我們說Life是要說Death的,What are the leading causes of death?
[00:01:51.960 --> 00:01:53.960]  有沒有人猜一下?
[00:01:53.960 --> 00:02:11.640]  OK,Cancer,還有呢?Mosquito,會引致癌症,還有呢?
[00:02:11.640 --> 00:02:25.680]  OK,Accident,會引致摩托車意外,有些人就這樣摔在一塊石,還有呢?
[00:02:25.680 --> 00:02:33.640]  還有什麼是leading causes of death?死亡的,Heart attack,心臟病,還有呢?
[00:02:33.640 --> 00:02:45.640]  Diabetes,吃太多糖果,OK,還有呢?打仗,OK,War,我們看下下一頁
[00:02:45.640 --> 00:02:56.640]  2023,the leading cause,38%是Heart disease, stroke,還有呢?
[00:02:56.640 --> 00:03:06.640]  7%是Road injuries, homicide, suicide, falls,OK,剛才有說是跌倒的,7%而已,2023
[00:03:06.640 --> 00:03:13.640]  還有呢?Digestive issues,Liver disease, kidney disease,是5.8%
[00:03:13.640 --> 00:03:20.640]  還有這個是什麼?Diabetes,剛才說Diabetes,我猜對了,3.4%,我猜對了
[00:03:20.640 --> 00:03:26.640]  Cancer,剛才有人說是Cancer,是15% in 2023
[00:03:26.640 --> 00:03:43.640]  Infectious diseases,剛才說Mosquito,Malaria,7點有60,000人死亡,總共是7.6%
[00:03:43.640 --> 00:03:53.640]  Neurological disorder,是Alzheimer's disease,還有Respiratory disease,這些Diseases,是Causes of death
[00:03:53.640 --> 00:04:03.640]  死亡,What is the first death?死亡是怎麼開始的?How did death start?
[00:04:03.640 --> 00:04:18.640]  Adam and Eve吃了什麼?吃了一個蘋果,不是蘋果,是Fruit of the knowledge of good and evil
[00:04:18.640 --> 00:04:25.640]  那為什麼死亡是怎麼開始的?之前是沒有死亡的,在Garden of Eden是沒有死亡的
[00:04:25.640 --> 00:04:36.640]  為什麼他吃了Fruit of the knowledge of good and evil,然後就有死亡呢?為什麼?
[00:04:36.640 --> 00:04:50.640]  為什麼?有沒有人知道?因為他Disobey誰?他Disobey God,他Disobey God,他和神分開了
[00:04:50.640 --> 00:04:59.640]  所以不是Physical death開始,而是Spiritual separation開始
[00:04:59.640 --> 00:05:04.640]  今天我們會看兩個故事,兩個故事是關於耶穌的
[00:05:04.640 --> 00:05:11.640]  我們開始就讀Chapter 7,我們先讀中文,1,2,3
[00:05:21.640 --> 00:05:29.640]  (中文)
[00:05:51.640 --> 00:05:59.640]  (中文)
[00:05:59.640 --> 00:06:07.640]  (中文)
[00:06:07.640 --> 00:06:17.640]  (中文)
[00:06:17.640 --> 00:06:23.640]  (中文)
[00:06:23.640 --> 00:06:29.640]  (中文)
[00:06:29.640 --> 00:06:36.640]  (中文)
[00:06:36.640 --> 00:06:42.640]  (中文)
[00:06:42.640 --> 00:06:47.640]  (中文)
[00:06:47.640 --> 00:06:52.640]  (中文)
[00:06:52.640 --> 00:07:02.640]  (中文)
[00:07:02.640 --> 00:07:07.640]  (中文)
