
[00:00:00.000 --> 00:00:05.000]  今天我想跟大家說一個內在更新
[00:00:05.000 --> 00:00:08.680]  我們要從心裏面去改變
[00:00:08.680 --> 00:00:11.680]  有很多時候我們說
[00:00:11.680 --> 00:00:15.480]  可能今天你們聽到的這幾節經文
[00:00:15.480 --> 00:00:17.800]  是你們很熟悉的經文
[00:00:17.800 --> 00:00:24.080]  亦是經常在不同的地方都會聽到的一個訊息
[00:00:24.080 --> 00:00:31.400]  但這個訊息對你和我都是非常重要的
[00:00:31.400 --> 00:00:34.400]  其中一樣就是
[00:00:34.400 --> 00:00:40.360]  早前你們有朋友跟我兒子說
[00:00:40.360 --> 00:00:44.600]  我很不喜歡某某人
[00:00:44.600 --> 00:00:49.000]  他經常和其他人說我
[00:00:49.000 --> 00:00:52.520]  我就說不要這樣
[00:00:52.520 --> 00:00:54.520]  不要緊的
[00:00:54.520 --> 00:00:59.920]  人總有彼此說你說我
[00:00:59.920 --> 00:01:05.000]  但我知道這樣說對大家沒有什麼用
[00:01:05.000 --> 00:01:09.200]  剛好我現在在智慧母親那裏
[00:01:09.200 --> 00:01:11.240]  帶了一個組
[00:01:11.240 --> 00:01:15.920]  他們查經是查傳道書
[00:01:15.920 --> 00:01:18.280]  我覺得這句說話
[00:01:18.280 --> 00:01:26.480]  不知道能不能幫到你不要再介意別人怎樣說自己
[00:01:26.480 --> 00:01:30.880]  我們要放開放下我們的心
[00:01:30.880 --> 00:01:37.280]  在傳道書7章21到22節裏說了一句話
[00:01:37.280 --> 00:01:40.080]  人所說的一切話
[00:01:40.080 --> 00:01:43.680]  都不要放在心上
[00:01:43.680 --> 00:01:47.680]  因你可能聽見僕人咒罵你
[00:01:47.680 --> 00:01:50.880]  其實你心裏明白
[00:01:50.880 --> 00:01:55.080]  這裏說人的說話叫你不要放在心裏面
[00:01:55.080 --> 00:01:57.880]  最後這一句很重要
[00:01:57.880 --> 00:01:59.280]  其實你心裏明白
[00:01:59.280 --> 00:02:00.480]  明白什麼
[00:02:00.480 --> 00:02:05.280]  自己也曾多次咒罵別人
[00:02:05.280 --> 00:02:10.280]  聖經裏面原來都有這樣的教導我們
[00:02:10.280 --> 00:02:14.080]  叫我們不要將一些不關自己的事
[00:02:14.080 --> 00:02:16.480]  或者你經常覺得別人說你什麼
[00:02:16.480 --> 00:02:18.480]  不要放在心裏面
[00:02:18.480 --> 00:02:24.680]  因為原來你想想可能自己也會說其他人的壞話
[00:02:24.680 --> 00:02:28.280]  所以今天我們要學習的是
[00:02:28.280 --> 00:02:33.680]  希望從聖經裏面去改變我們的心思意念
[00:02:33.680 --> 00:02:35.680]  怎樣去改變呢
[00:02:35.680 --> 00:02:40.480]  第一個就是不要效法這個世界
[00:02:40.480 --> 00:02:43.080]  怎樣不要效法這個世界呢
[00:02:43.080 --> 00:02:48.880]  我們說在羅馬書12章2節裏有說到
[00:02:48.880 --> 00:02:52.880]  就是不要效法這個世界
[00:02:52.880 --> 00:02:56.080]  只要心意更新而變化
