
[00:00:00.000 --> 00:00:04.000]  信心的信念,信心的信念。
[00:00:05.000 --> 00:00:07.000]  早安,大家好。
[00:00:07.000 --> 00:00:10.000]  我們今天會說 Noah,
[00:00:10.000 --> 00:00:13.000]  The Faith of Noah, 信心。
[00:00:13.000 --> 00:00:15.000]  The Faith of Noah。
[00:00:15.000 --> 00:00:18.000]  上星期,Tim教授和我們分享了
[00:00:18.000 --> 00:00:20.000]  Hebrews 11,
[00:00:20.000 --> 00:00:22.000]  就是講信心的。
[00:00:22.000 --> 00:00:23.000]  信心是什麼呢?
[00:00:23.000 --> 00:00:26.000]  信心是,好像第一節就是這樣說的,
[00:00:26.000 --> 00:00:28.000]  信心是兩樣東西,
[00:00:28.000 --> 00:00:32.000]  我們的信心,我們希望的東西。
[00:00:32.000 --> 00:00:34.000]  還有第二呢?
[00:00:34.000 --> 00:00:37.000]  Assurance about what we do not see。
[00:00:37.000 --> 00:00:40.000]  我們看不到的東西,我們都有信心。
[00:00:40.000 --> 00:00:44.000]  那你們覺得你們自己有多有信心?
[00:00:44.000 --> 00:00:46.000]  On a scale of 1 to 10,
[00:00:46.000 --> 00:00:48.000]  你們覺得你們多有信心?
[00:00:48.000 --> 00:00:52.000]  對神,對有東西,我們希望的,
[00:00:52.000 --> 00:00:54.000]  有什麼要希望的?
[00:00:54.000 --> 00:00:56.000]  我們有什麼要希望的?
[00:00:56.000 --> 00:00:59.000]  What are the things that we hope for?
[00:00:59.000 --> 00:01:01.000]  Shout it out,說一下。
[00:01:01.000 --> 00:01:03.000]  有什麼要希望的?
[00:01:03.000 --> 00:01:04.000]  這裡寫的。
[00:01:04.000 --> 00:01:06.000]  Confidence in what we hope for。
[00:01:06.000 --> 00:01:08.000]  有什麼要希望的?
[00:01:08.000 --> 00:01:10.000]  有什麼要希望的?
[00:01:10.000 --> 00:01:15.000]  對天堂,有沒有人希望有天堂的?
[00:01:15.000 --> 00:01:17.000]  沒有,沒有人。
[00:01:17.000 --> 00:01:19.000]  有,兩個。
[00:01:19.000 --> 00:01:23.000]  有沒有人希望主耶穌一天會回來的?
[00:01:23.000 --> 00:01:25.000]  Good,OK。
[00:01:25.000 --> 00:01:26.000]  還有呢?
[00:01:26.000 --> 00:01:27.000]  信心是什麼呢?
[00:01:27.000 --> 00:01:29.000]  Assurance about what we do not see。
[00:01:29.000 --> 00:01:32.000]  有什麼我們看不到的,但是我們會信的?
[00:01:32.000 --> 00:01:38.000]  Holy Spirit,聖靈,天父,神。
[00:01:38.000 --> 00:01:40.000]  On a scale of 1 to 10,
[00:01:40.000 --> 00:01:43.000]  你們覺得你們多有信心?
[00:01:43.000 --> 00:01:45.000]  誰覺得他有1的?
[00:01:45.000 --> 00:01:46.000]  舉手。
[00:01:46.000 --> 00:01:48.000]  1的,有沒有1?沒有。
[00:01:48.000 --> 00:01:50.000]  2呢?有沒有2?
[00:01:50.000 --> 00:01:52.000]  3?
[00:01:52.000 --> 00:01:54.000]  4?
[00:01:54.000 --> 00:01:55.000]  3,OK。
[00:01:55.000 --> 00:01:56.000]  3,是吧?
[00:01:56.000 --> 00:01:57.000]  3,OK。
[00:01:57.000 --> 00:01:58.000]  4?
[00:01:58.000 --> 00:01:59.000]  5呢?
[00:01:59.000 --> 00:02:00.000]  有沒有5的?
[00:02:00.000 --> 00:02:01.000]  Neutral的。
[00:02:01.000 --> 00:02:03.000]  有時有信心,有時沒有。
[00:02:03.000 --> 00:02:04.000]  OK。
[00:02:04.000 --> 00:02:05.000]  6呢?
[00:02:05.000 --> 00:02:06.000]  6,有沒有?
[00:02:06.000 --> 00:02:07.000]  6,OK。
[00:02:07.000 --> 00:02:08.000]  Mark?
[00:02:08.000 --> 00:02:09.000]  OK,好。
[00:02:09.000 --> 00:02:10.000]  Oscar?
[00:02:10.000 --> 00:02:11.000]  7?
[00:02:11.000 --> 00:02:13.000]  誰覺得他有多有信心的?
[00:02:13.000 --> 00:02:15.000]  對神啊,對天堂啊。
[00:02:15.000 --> 00:02:16.000]  OK,7?
[00:02:16.000 --> 00:02:17.000]  OK,good.
