
[00:00:00.000 --> 00:00:02.000]   Okay, good evening everybody.
[00:00:02.000 --> 00:00:04.840]   Hope you're doing well at home, staying safe.
[00:00:04.840 --> 00:00:09.840]   And welcome to KFCI, our recording tonight for our sermon.
[00:00:09.840 --> 00:00:13.720]   Before we begin, there's a couple of announcements.
[00:00:13.720 --> 00:00:17.280]   The first is we're collecting new face masks.
[00:00:17.280 --> 00:00:21.640]   So if you have any spare face masks at home
[00:00:21.640 --> 00:00:23.240]   that you have too much of,
[00:00:23.240 --> 00:00:25.040]   please drop them off at reception.
[00:00:25.040 --> 00:00:27.800]   And we would love to get your help
[00:00:27.800 --> 00:00:31.480]   as we wanna help the community around us.
[00:00:31.480 --> 00:00:35.560]   Also, Pastor Paul and others are organizing an outreach
[00:00:35.560 --> 00:00:37.520]   to distribute these masks.
[00:00:37.520 --> 00:00:41.280]   And if you are interested, please sign up
[00:00:41.280 --> 00:00:45.360]   and click the QR code, scan the QR code,
[00:00:45.360 --> 00:00:47.460]   and you'll have more information on that.
[00:00:47.460 --> 00:00:51.640]   And the next announcement is about giving.
[00:00:51.640 --> 00:00:54.520]   So if you're interested in giving to the church,
[00:00:54.520 --> 00:00:56.280]   there's an FPS option,
[00:00:56.280 --> 00:00:58.160]   and you can just follow the instructions
[00:00:58.160 --> 00:00:59.880]   on this slide for that.
[00:00:59.880 --> 00:01:05.980]   And lastly, we wanna continue to promote the One Campaign.
[00:01:05.980 --> 00:01:09.260]   And it's a great app that you can download,
[00:01:09.260 --> 00:01:11.400]   and you can just follow us
[00:01:11.400 --> 00:01:13.760]   as we continue to read the word of God
[00:01:13.760 --> 00:01:17.580]   and as we lead it towards Easter.
[00:01:17.580 --> 00:01:21.880]   So we're gonna pray, and we're gonna start today,
[00:01:21.880 --> 00:01:23.720]   and we're gonna continue in Ephesians.
[00:01:23.720 --> 00:01:26.360]   Heavenly Father, may you bless us tonight
[00:01:26.360 --> 00:01:29.280]   as we dig into your word, speak to us,
[00:01:29.280 --> 00:01:30.520]   fill us with your spirit.
[00:01:30.520 --> 00:01:33.720]   In Christ's name we pray, amen.
[00:01:33.720 --> 00:01:35.520]   So we're talking about Ephesians,
[00:01:35.520 --> 00:01:37.960]   and today we're talking about adopted,
[00:01:37.960 --> 00:01:39.880]   I am adopted and loved.
[00:01:39.880 --> 00:01:42.840]   And last week, Pastor John did a great job
[00:01:42.840 --> 00:01:45.280]   of teaching us that we are new.
[00:01:45.280 --> 00:01:46.560]   We are new in Christ.
[00:01:46.560 --> 00:01:48.440]   Before we were fallen, right?
[00:01:48.440 --> 00:01:50.200]   We had a fallen nature.
[00:01:50.200 --> 00:01:51.960]   We were religious.
[00:01:51.960 --> 00:01:54.420]   We assumed that we were good enough.
[00:01:54.420 --> 00:01:59.220]   We worked very hard at social causes to help others
[00:01:59.220 --> 00:02:03.280]   to hopefully we can gain our way to become good.
[00:02:03.280 --> 00:02:08.960]   We try to change ourselves through self-help insight.
[00:02:08.960 --> 00:02:11.440]   And we also try hard at keeping rules, right?
[00:02:11.440 --> 00:02:12.500]   We're very religious.
[00:02:12.500 --> 00:02:15.240]   We're trying to be good, trying to look good,
[00:02:15.240 --> 00:02:17.640]   trying to help others to become good,
[00:02:17.640 --> 00:02:19.960]   make ourselves feel better.
[00:02:19.960 --> 00:02:23.880]   And then in Christ, so we were fallen before,
[00:02:23.880 --> 00:02:27.720]   but in Christ now we have justification for ourselves,
[00:02:27.720 --> 00:02:28.560]   for our sins.
[00:02:28.560 --> 00:02:31.240]   We are now justified, right?
[00:02:31.240 --> 00:02:33.800]   We have regeneration.
[00:02:33.800 --> 00:02:35.540]   We are made new in Christ.
[00:02:35.540 --> 00:02:36.800]   We are a new creation.
[00:02:36.800 --> 00:02:38.920]   The old has gone, the new has come.
[00:02:38.920 --> 00:02:43.920]   And everything that we do is pointing towards glorification
[00:02:43.920 --> 00:02:48.120]   and glorification, and that is to glorify God.
[00:02:48.120 --> 00:02:52.240]   And so today we're talking about being adopted and loved,
[00:02:52.240 --> 00:02:53.760]   adopted and loved.
[00:02:53.760 --> 00:02:56.880]   Throughout this book of Ephesians,
[00:02:56.880 --> 00:02:59.120]   there's this continuous theme
[00:02:59.120 --> 00:03:01.200]   that we are children of God, right?
[00:03:01.200 --> 00:03:04.120]   And we see that in Ephesians 1, verse four.
[00:03:04.120 --> 00:03:08.240]   For he chose us in him before the creation of the world
[00:03:08.240 --> 00:03:11.020]   to be holy and blameless in his sight.
[00:03:11.020 --> 00:03:16.020]   In love he predestined us for adoption to sonship
[00:03:18.000 --> 00:03:19.800]   through Jesus Christ in accordance
[00:03:19.800 --> 00:03:22.620]   with his pleasure and will.
[00:03:22.620 --> 00:03:27.620]   In love he predestined us for adoption to sonship
[00:03:27.620 --> 00:03:30.020]   through Jesus Christ in accordance
[00:03:30.020 --> 00:03:32.520]   with his pleasure and will.
[00:03:32.520 --> 00:03:36.920]   Adoption is such a beautiful thing, right?
[00:03:36.920 --> 00:03:41.920]   You have a loving couple, you know, parents, right?
[00:03:41.920 --> 00:03:47.720]   And then there are children that may have been,
[00:03:47.720 --> 00:03:51.360]   you know, orphans or whatnot in different countries.
[00:03:51.360 --> 00:03:56.360]   And it's such an amazing thing of gathering broken people,
[00:03:56.360 --> 00:03:59.680]   right, these children may have came up
[00:03:59.680 --> 00:04:02.120]   in broken families or situations,
[00:04:02.120 --> 00:04:06.400]   and they're brought into a loving family.
[00:04:06.400 --> 00:04:09.200]   Adoption is such a beautiful picture.
[00:04:09.200 --> 00:04:15.840]   But there is such a big problem of orphanism in the world.
[00:04:16.000 --> 00:04:20.240]   In 2015, there were, according to one of the stats,
[00:04:20.240 --> 00:04:23.120]   140 million orphans in the world.
[00:04:23.120 --> 00:04:27.160]   And that is, orphans, according to that stat,
[00:04:27.160 --> 00:04:29.860]   is one who has lost one parent.
[00:04:29.860 --> 00:04:34.000]   Double orphans are those who have lost both parents
[00:04:34.000 --> 00:04:37.520]   and make up 15.1 million.
[00:04:37.520 --> 00:04:40.800]   15.1 million, that's bigger than some
[00:04:40.800 --> 00:04:43.280]   of the countries in this world.
[00:04:44.500 --> 00:04:47.420]   Orphanism is a huge problem.
[00:04:47.420 --> 00:04:51.460]   Fatherlessness is also a huge problem,
[00:04:51.460 --> 00:04:54.800]   and we see this through David Blankenhorn.
[00:04:54.800 --> 00:04:58.120]   Tonight, about 40% of children in the Western world
[00:04:58.120 --> 00:05:00.240]   will go to sleep in homes in which
[00:05:00.240 --> 00:05:02.980]   their fathers do not live.
[00:05:02.980 --> 00:05:05.220]   Before they reach the age of 18,
[00:05:05.220 --> 00:05:07.400]   more than half of our nation's children
[00:05:07.400 --> 00:05:11.140]   are likely to spend at least a significant portion
[00:05:11.140 --> 00:05:15.840]   of their childhoods living apart from their fathers.
[00:05:15.840 --> 00:05:19.600]   Never before in this country have so many children
[00:05:19.600 --> 00:05:23.420]   been voluntarily abandoned by their fathers.
[00:05:23.420 --> 00:05:28.340]   Never before have so many children grown up
[00:05:28.340 --> 00:05:32.800]   without knowing what it means to have a father.
[00:05:32.800 --> 00:05:37.800]   Fatherlessness is the most harmful demographic trend
[00:05:37.800 --> 00:05:40.780]   in this generation, of this generation.
[00:05:41.380 --> 00:05:44.620]   It is the leading cause of declining child
[00:05:44.620 --> 00:05:47.720]   and adult well-being in our society.
[00:05:47.720 --> 00:05:50.040]   It is also the engine driving
[00:05:50.040 --> 00:05:52.560]   the most urgent social problems.
[00:05:52.560 --> 00:05:57.280]   If this trend continues, fatherlessness is likely
[00:05:57.280 --> 00:06:00.740]   to change the shape of our society.
[00:06:00.740 --> 00:06:05.320]   Orphans.
[00:06:05.320 --> 00:06:10.160]   Fatherlessness is one of the biggest problems
[00:06:11.100 --> 00:06:13.520]   in our modern day society.
[00:06:13.520 --> 00:06:16.480]   And it was also a problem back then.
[00:06:16.480 --> 00:06:20.160]   In fact, back then, in biblical times,
[00:06:20.160 --> 00:06:25.860]   only 50% of the children that were born
[00:06:25.860 --> 00:06:30.420]   grew up to 50 years old or more.
[00:06:30.420 --> 00:06:33.220]   And inficide was also a very big problem,
[00:06:33.220 --> 00:06:38.220]   especially for those who were disabled and girls.
[00:06:38.940 --> 00:06:40.980]   Inficide was a big problem.
[00:06:40.980 --> 00:06:46.860]   However, Christians at that time started to adopt kids.
[00:06:46.860 --> 00:06:50.300]   They started to adopt kids,
[00:06:50.300 --> 00:06:53.140]   not to build up their family status
[00:06:53.140 --> 00:06:54.940]   or to continue their family line,
[00:06:54.940 --> 00:06:57.100]   but they wanted to adopt children
[00:06:57.100 --> 00:07:02.100]   because they realized that they too were adopted.
[00:07:02.100 --> 00:07:06.480]   And Paul speaks about this in Ephesians
[00:07:06.480 --> 00:07:09.700]   and the rest of his letters about adoption.
[00:07:09.700 --> 00:07:12.180]   And we're gonna learn three things about adoption today,
[00:07:12.180 --> 00:07:15.260]   that in adoption, we have a new family,
[00:07:15.260 --> 00:07:21.240]   we have a new identity, and we have a new inheritance.
[00:07:21.240 --> 00:07:22.280]   And the first thing we learn
[00:07:22.280 --> 00:07:25.240]   is that we have a new family, right?
[00:07:25.240 --> 00:07:27.540]   Adoption is a legal thing.
[00:07:27.540 --> 00:07:28.460]   It's a legal thing.
[00:07:28.460 --> 00:07:30.620]   There's a change in name.
[00:07:30.620 --> 00:07:34.540]   And it was initiated by the father,
[00:07:34.540 --> 00:07:37.260]   purchased through Jesus Christ.
[00:07:37.260 --> 00:07:41.500]   And we see this in Galatians 4, verse four to five,
[00:07:41.500 --> 00:07:44.340]   that when the set time had fully come,
[00:07:44.340 --> 00:07:47.540]   God sent his son, born of a woman,
