
[00:00:00.000 --> 00:00:03.000]  好 各位explorer 早晨
[00:00:03.000 --> 00:00:05.000]  又回來了 很開心見到大家
[00:00:05.000 --> 00:00:11.000]  有些年青有為的中一S1 boys和我們一起
[00:00:11.000 --> 00:00:13.000]  因為我今晚在這個講道
[00:00:13.000 --> 00:00:15.000]  所以我一會兒會和他們一起再分組
[00:00:15.000 --> 00:00:19.000]  很開心能夠和大家再次分享上帝的說話
[00:00:19.000 --> 00:00:26.000]  今天我們來到最後一講
[00:00:26.000 --> 00:00:29.000]  就是馬可福音系列的最後一講
[00:00:29.000 --> 00:00:35.000]  原來我們由1月8日一直看 直到現在
[00:00:35.000 --> 00:00:37.000]  即是多少個月?
[00:00:37.000 --> 00:00:39.000]  其實沒有十個月那麼多
[00:00:39.000 --> 00:00:44.000]  因為我們7月和8月有聽過其他的分享
[00:00:44.000 --> 00:00:46.000]  即是生命見證
[00:00:46.000 --> 00:00:49.000]  但我們去到今天
[00:00:49.000 --> 00:00:52.000]  我們即將會完成這個系列
[00:00:52.000 --> 00:00:54.000]  我覺得都很特別
[00:00:54.000 --> 00:00:57.000]  都幾激動的
[00:00:57.000 --> 00:00:59.000]  是剛好第一篇
[00:00:59.000 --> 00:01:01.000]  1月8日
[00:01:01.000 --> 00:01:02.000]  為什麼我那麼肯定
[00:01:02.000 --> 00:01:03.000]  因為第一篇是我講
[00:01:03.000 --> 00:01:05.000]  最後一篇剛好又是我講
[00:01:05.000 --> 00:01:08.000]  回望回看
[00:01:08.000 --> 00:01:10.000]  我不知道你在聽了福音書
[00:01:10.000 --> 00:01:13.000]  或者耶穌成長出世
[00:01:13.000 --> 00:01:15.000]  或者祂的神蹟經歷
[00:01:15.000 --> 00:01:18.000]  令你的生命有沒有少許的改變
[00:01:18.000 --> 00:01:19.000]  有沒有呢?
[00:01:19.000 --> 00:01:22.000]  眼濕濕的那裡
[00:01:22.000 --> 00:01:24.000]  我希望有
[00:01:24.000 --> 00:01:26.000]  我相信都有的
[00:01:26.000 --> 00:01:28.000]  我們不自覺的時候
[00:01:28.000 --> 00:01:30.000]  神在我們生命做事
[00:01:30.000 --> 00:01:32.000]  可能藉著你父母
[00:01:32.000 --> 00:01:33.000]  藉著你的導師
[00:01:33.000 --> 00:01:35.000]  藉著身邊的人
[00:01:35.000 --> 00:01:37.000]  都會和你說話
[00:01:37.000 --> 00:01:39.000]  但我們今天有沒有去聽呢?
[00:01:39.000 --> 00:01:41.000]  或者聽得清不清楚呢?
[00:01:41.000 --> 00:01:43.000]  來到最後一章
[00:01:43.000 --> 00:01:45.000]  大家猜一下我們今天講什麼topic
[00:01:45.000 --> 00:01:50.000]  不是讀出來
[00:01:50.000 --> 00:01:51.000]  猜一下有什麼topic
[00:01:51.000 --> 00:01:53.000]  最後一章有沒有人熟悉
[00:01:53.000 --> 00:01:54.000]  如果一卷福音書
[00:01:54.000 --> 00:01:56.000]  最後一章會講什麼主題
[00:01:56.000 --> 00:02:01.000]  就是復活
[00:02:01.000 --> 00:02:02.000]  我特意轉了一個標題
[00:02:02.000 --> 00:02:03.000]  令你想不起
[00:02:03.000 --> 00:02:04.000]  猜不到
[00:02:04.000 --> 00:02:05.000]  是講復活
