
[00:00:00.000 --> 00:00:04.000]  我們就學習了幾個重要的功課,好好聽主話語,
[00:00:04.000 --> 00:00:07.000]  然後就不斷地討論耶穌的基督,
[00:00:07.000 --> 00:00:10.000]  然後就不斷地討論耶穌的基督,
[00:00:10.000 --> 00:00:13.000]  然後就不斷地討論耶穌的基督,
[00:00:13.000 --> 00:00:16.000]  然後就不斷地討論耶穌的基督,
[00:00:16.000 --> 00:00:19.000]  然後就不斷地討論耶穌的基督,
[00:00:19.000 --> 00:00:22.000]  然後就不斷地討論耶穌的基督,
[00:00:22.000 --> 00:00:25.000]  然後就不斷地討論耶穌的基督,
[00:00:25.000 --> 00:00:28.000]  然後就不斷地討論耶穌的基督,
[00:00:28.000 --> 00:00:31.000]  然後就不斷地討論耶穌的基督,
[00:00:31.000 --> 00:00:34.000]  然後就不斷地討論耶穌的基督,
[00:00:34.000 --> 00:00:37.000]  然後就不斷地討論耶穌的基督,
[00:00:37.000 --> 00:00:40.000]  然後就不斷地討論耶穌的基督,
[00:00:40.000 --> 00:00:43.000]  然後就不斷地討論耶穌的基督,
[00:00:43.000 --> 00:00:46.000]  然後就不斷地討論耶穌的基督,
[00:00:46.000 --> 00:00:49.000]  然後就不斷地討論耶穌的基督,
[00:00:49.000 --> 00:00:52.000]  然後就不斷地討論耶穌的基督,
[00:00:52.000 --> 00:00:55.000]  然後就不斷地討論耶穌的基督,
[00:00:55.000 --> 00:00:58.000]  然後就不斷地討論耶穌的基督,
[00:00:58.000 --> 00:01:01.000]  然後就不斷地討論耶穌的基督,
[00:01:01.000 --> 00:01:04.000]  然後就不斷地討論耶穌的基督,
[00:01:04.000 --> 00:01:07.000]  然後就不斷地討論耶穌的基督,
[00:01:07.000 --> 00:01:10.000]  然後就不斷地討論耶穌的基督,
[00:01:10.000 --> 00:01:13.000]  然後就不斷地討論耶穌的基督,
[00:01:13.000 --> 00:01:16.000]  然後就不斷地討論耶穌的基督,
[00:01:16.000 --> 00:01:19.000]  然後就不斷地討論耶穌的基督,
