
[00:00:00.000 --> 00:00:02.000]  (MC)好,各位explorer早安
[00:00:02.000 --> 00:00:06.000]  很開心今天又再次來到我們討論的時間
[00:00:06.000 --> 00:00:11.000]  今天我們會繼續在馬可福音裡面的講道
[00:00:11.000 --> 00:00:13.000]  我猜說到今天這裡
[00:00:13.000 --> 00:00:16.000]  今天的故事,今天我們說的經文
[00:00:16.000 --> 00:00:20.000]  是我們很熟悉的,又是一個很熟悉的經文
[00:00:20.000 --> 00:00:23.000]  我相信說馬可福音必然有很多這段
[00:00:23.000 --> 00:00:27.000]  即是我們很熟悉,或者我們很熟悉的經文
[00:00:27.000 --> 00:00:31.000]  或者我們覺得我們聽了的故事就是耶穌很厲害的故事
[00:00:31.000 --> 00:00:37.000]  但是今天同樣想和大家一起有一些不同的反思
[00:00:37.000 --> 00:00:41.000]  上次Pastor Gavin在上星期也帶大家嘗試
[00:00:41.000 --> 00:00:44.000]  對吾丙而言有一些不同的思考
[00:00:44.000 --> 00:00:47.000]  今天同樣我們對一件很熟悉的神蹟
[00:00:47.000 --> 00:00:50.000]  又嘗試有一點不同的思考
[00:00:50.000 --> 00:00:54.000]  這個神蹟就是耶穌走在水面上
[00:00:54.000 --> 00:00:57.000]  我要先問一下這裡,因為我要看看我待會說什麼
[00:00:57.000 --> 00:01:04.000]  所以我就想看看有多少人已經聽過耶穌走在水面上這個神蹟
[00:01:04.000 --> 00:01:06.000]  已經聽過
[00:01:06.000 --> 00:01:08.000]  咦?有一半的手在前面
[00:01:08.000 --> 00:01:13.000]  我看到中間有很多女生沒有舉手,是不是沒有聽過的意思
[00:01:13.000 --> 00:01:18.000]  我想這個故事就算我當你沒有聽過也好
[00:01:18.000 --> 00:01:20.000]  可能也聽過一些人提及過
[00:01:20.000 --> 00:01:22.000]  耶穌在水面上行走
[00:01:22.000 --> 00:01:25.000]  這個就不是輕功水上漂來的
[00:01:25.000 --> 00:01:28.000]  又或者不是河底打了一些樁
[00:01:28.000 --> 00:01:30.000]  然後耶穌就踩在樁上
[00:01:30.000 --> 00:01:31.000]  就不是這一種
[00:01:31.000 --> 00:01:33.000]  是按照聖經的技術
[00:01:33.000 --> 00:01:35.000]  祂是真的走在水上
[00:01:35.000 --> 00:01:40.000]  當然這個是違反了我們人體的力學
[00:01:40.000 --> 00:01:43.000]  人體的力學就是我們知道人在水上浮動
[00:01:43.000 --> 00:01:45.000]  是不會走的
[00:01:45.000 --> 00:01:50.000]  但這個故事本身在《幾卷福音書》也有不同的記載
[00:01:50.000 --> 00:01:53.000]  今天我們是看《馬可福音》的記載
[00:01:53.000 --> 00:01:58.000]  《馬可福音》的記載是連接著五餅二魚的故事
[00:01:58.000 --> 00:02:01.000]  所以如果要說勾畫這個故事
[00:02:01.000 --> 00:02:05.000]  今天我們說《馬可福音》第六章45到52節
[00:02:05.000 --> 00:02:09.000]  要勾畫它其實兩分鐘就可以勾畫完
[00:02:09.000 --> 00:02:12.000]  要說兩分鐘就可以說完這個故事
[00:02:12.000 --> 00:02:15.000]  因為這個故事是很直接的
[00:02:15.000 --> 00:02:19.000]  就是耶穌在五餅二魚這件事之後
[00:02:19.000 --> 00:02:21.000]  他就差遣了一群門徒
[00:02:21.000 --> 00:02:24.000]  這次那群門徒要自己坐船
[00:02:24.000 --> 00:02:28.000]  他們也是晚上坐船去過海的另一邊
[00:02:28.000 --> 00:02:30.000]  耶穌就在山上祈禱
[00:02:30.000 --> 00:02:34.000]  所以耶穌就在那邊坐船
[00:02:34.000 --> 00:02:36.000]  去過海的另一邊
[00:02:36.000 --> 00:02:38.000]  耶穌就在山上祈禱
[00:02:38.000 --> 00:02:44.000]  所以跟我們之前聽過一次關於耶穌平靜風浪
[00:02:44.000 --> 00:02:48.000]  有一點不同就是耶穌不是在船上
[00:02:48.000 --> 00:02:51.000]  這個故事的開始很簡單
[00:02:51.000 --> 00:02:54.000]  就是耶穌叫那些門徒自己去開船
[00:02:54.000 --> 00:02:55.000]  你們先去對面
[00:02:55.000 --> 00:02:57.000]  然後耶穌就去祈禱
[00:02:57.000 --> 00:02:59.000]  同樣也是有風浪
[00:02:59.000 --> 00:03:01.000]  也是有風浪出現
[00:03:01.000 --> 00:03:03.000]  於是那些門徒就要開船
[00:03:03.000 --> 00:03:06.000]  我們記得那些門徒是有漁夫的
[00:03:06.000 --> 00:03:07.000]  如果你們記得的話
[00:03:07.000 --> 00:03:09.000]  例如彼得是漁夫
[00:03:09.000 --> 00:03:13.000]  例如他的兄弟也是漁夫
[00:03:13.000 --> 00:03:16.000]  所以是有專業的開船人士
[00:03:16.000 --> 00:03:18.000]  他們有專業船長
[00:03:18.000 --> 00:03:22.000]  但是故事同樣是說這群人開船很有困難
[00:03:22.000 --> 00:03:24.000]  他們要駕駛那艘船
[00:03:24.000 --> 00:03:25.000]  因為有風浪
