
[00:00:00.000 --> 00:00:03.200]  自從我不可以再穿高跟鞋之後
[00:00:03.200 --> 00:00:05.040]  我的同工就告訴我
[00:00:05.040 --> 00:00:09.680]  我上到台的時候是需要站高一點的
[00:00:09.680 --> 00:00:14.920]  所以我非常多謝同工們的細心安排
[00:00:14.920 --> 00:00:18.000]  今天我們仍然會繼續看
[00:00:18.000 --> 00:00:21.960]  《啟示錄》第九章十二節的經文
[00:00:21.960 --> 00:00:27.320]  我不知道你是不是一直都在我們廣福堂崇拜
[00:00:27.320 --> 00:00:31.120]  今年我們選擇了《啟示錄》來看
[00:00:31.120 --> 00:00:36.000]  一卷不算容易看的經卷
[00:00:36.000 --> 00:00:39.600]  但是既然上帝都同意
[00:00:39.600 --> 00:00:43.720]  我們要來理解當中的內容的時候
[00:00:43.720 --> 00:00:47.640]  請弟兄姊妹真是為港壇來祈禱
[00:00:47.640 --> 00:00:49.760]  因為我們在預備的過程
[00:00:49.760 --> 00:00:53.960]  都是需要上帝很多的恩典和大靈
[00:00:53.960 --> 00:00:56.800]  《啟示錄》不單只是一個
[00:00:56.800 --> 00:01:02.400]  揭示世界終局的未來的一卷書
[00:01:02.400 --> 00:01:08.880]  它更加是一本顯示上帝原備心意的一本書
[00:01:08.880 --> 00:01:12.400]  雖然裏面有很多的描述
[00:01:12.400 --> 00:01:16.600]  都未必是我們議會理解得清楚
[00:01:16.600 --> 00:01:19.640]  但是裏面神愛世人
[00:01:19.640 --> 00:01:26.200]  和祂公義帶來審判的信息是明顯的
[00:01:26.200 --> 00:01:30.280]  早前我們已經看完七印
[00:01:30.280 --> 00:01:35.240]  接下來我們會有七印、七號和七管
[00:01:35.240 --> 00:01:43.240]  這三個將神審判的信息清楚來表達的內容
[00:01:43.240 --> 00:01:49.360]  這三個系列的講論不是完全獨立
[00:01:49.360 --> 00:01:55.320]  不過它們卻是層層遞進、逐步加劇
[00:01:55.320 --> 00:02:01.960]  即是說上帝的審判是越來越嚴峻
[00:02:01.960 --> 00:02:08.000]  是指向基督的在來和將來的新天新地
[00:02:08.000 --> 00:02:12.280]  所以在當中我們又會看得到
[00:02:12.280 --> 00:02:16.600]  其實上帝不是一個喜愛懲罰的上帝
[00:02:16.600 --> 00:02:22.040]  不過要人能夠回轉、做正確的選擇
[00:02:22.040 --> 00:02:28.000]  祂在審判當中有憐憫
[00:02:28.000 --> 00:02:33.240]  所以今天在看啟示錄九章一到十二節的段落時
[00:02:33.240 --> 00:02:34.680]  我定了一個題目
[00:02:34.680 --> 00:02:39.840]  叫做「神的審判與憐憫」
[00:02:39.840 --> 00:02:46.320]  我們先做一個祈禱
[00:02:46.320 --> 00:02:49.320]  親愛的天父,我們很感謝祢
[00:02:49.320 --> 00:02:51.560]  祢不單創天造地
[00:02:51.560 --> 00:02:56.720]  祢更為我們每一個好像微塵一樣的世人
[00:02:56.720 --> 00:03:01.040]  祢將祢的愛子賜給我們
[00:03:01.040 --> 00:03:03.880]  只要我們願意信服的時候
[00:03:03.880 --> 00:03:07.640]  願意接納耶穌成為我們生命的主
[00:03:07.640 --> 00:03:10.720]  我們就能夠有一個全新的開始
[00:03:10.720 --> 00:03:15.400]  並且能夠承受祢所賜的基業
[00:03:15.400 --> 00:03:18.160]  以及將來的榮耀
[00:03:18.160 --> 00:03:22.240]  我們為著自己的蒙恩獻上感謝
[00:03:22.240 --> 00:03:27.600]  我們實在需要多些理解上帝你的心腸
[00:03:27.600 --> 00:03:34.680]  以致我們能夠在世更能夠成為祢合用的工具
[00:03:34.680 --> 00:03:38.720]  可以將更加多人帶到祢自己的面前
[00:03:38.720 --> 00:03:43.400]  我們將到今天能夠看啟示錄九章一到十二節
[00:03:43.400 --> 00:03:45.520]  這段時間交在祢手中
