
[00:00:00.000 --> 00:00:02.680]  今天講的題目來到第二章了
[00:00:02.680 --> 00:00:06.800]  上次說第一章講的是對初信者的指導
[00:00:06.800 --> 00:00:09.400]  我不知道你在小組怎樣回答你的問題
[00:00:09.400 --> 00:00:12.480]  你今天怎樣想你自己信耶穌信什麼
[00:00:12.480 --> 00:00:15.440]  保羅不只是停在那裡
[00:00:15.440 --> 00:00:18.080]  就這樣問你信什麼是沒有用的
[00:00:18.080 --> 00:00:19.080]  因為就這樣問你信什麼
[00:00:19.080 --> 00:00:20.880]  你也要有一個成長的方向
[00:00:20.880 --> 00:00:23.080]  所以到了第二章的時候
[00:00:23.080 --> 00:00:25.400]  保羅就用他自己的身份去講
[00:00:25.400 --> 00:00:28.200]  什麼叫做Spiritual Parents
[00:00:28.200 --> 00:00:31.200]  我只用Parents這個字
[00:00:31.200 --> 00:00:33.600]  上星期我問過大家一個問題
[00:00:33.600 --> 00:00:37.600]  有沒有人今天仍然以你的Parents為模仿的對象
[00:00:37.600 --> 00:00:39.000]  我再問多一次
[00:00:39.000 --> 00:00:40.000]  這次只有Senior
[00:00:40.000 --> 00:00:42.200]  上次Junior一大堆是不舉手的
[00:00:42.200 --> 00:00:43.400]  好 我想知道Senior
[00:00:43.400 --> 00:00:44.800]  我都看到沒怎麼舉手的
[00:00:44.800 --> 00:00:45.600]  但我再問多一次
[00:00:45.600 --> 00:00:46.600]  Recall Memory
[00:00:46.600 --> 00:00:48.400]  如果你覺得這一刻
[00:00:48.400 --> 00:00:50.600]  你還是覺得父母是你很想學的對象
[00:00:50.600 --> 00:00:51.600]  你舉手
[00:00:51.600 --> 00:00:53.200]  嗯
[00:00:53.200 --> 00:00:54.400]  那些手多一點
[00:00:54.400 --> 00:00:55.800]  是那些手多一點
[00:00:55.800 --> 00:00:58.800]  我看到是比上次的比例多一點
[00:00:58.800 --> 00:01:03.600]  我覺得不舉手也不代表你不好
[00:01:03.600 --> 00:01:05.800]  我想是因為我們對父母這個字
[00:01:05.800 --> 00:01:08.800]  特別是我們這個世代也好
[00:01:08.800 --> 00:01:10.800]  我們這個文化也好
[00:01:10.800 --> 00:01:16.400]  父母這個字有時候給我們一個很複雜的感覺
[00:01:16.400 --> 00:01:18.800]  特別是如果你家裡本身不是一個
