
[00:00:00.000 --> 00:00:01.640]  好 早晨 各位
[00:00:01.640 --> 00:00:05.880]  我們一同分享今天的訊息
[00:00:05.880 --> 00:00:08.520]  不知道說起Wisdom Annual Wallet
[00:00:08.520 --> 00:00:12.920]  說起錢 大家在教會裡對錢有什麼印象呢
[00:00:12.920 --> 00:00:14.920]  你們會不會覺得很好呢
[00:00:14.920 --> 00:00:17.800]  因為聖經會說 神是我們的供應者
[00:00:17.800 --> 00:00:21.720]  會在我們需要的時候供應我們
[00:00:21.720 --> 00:00:25.240]  神又當我們是管家 會給我們錢去管
[00:00:25.240 --> 00:00:27.000]  但是是不是真的這樣呢
[00:00:27.000 --> 00:00:31.040]  神是不是要我們在字面上說要發達呢
[00:00:31.040 --> 00:00:33.040]  神是不是這樣說呢
[00:00:33.040 --> 00:00:35.840]  還是我們會覺得錢是很邪惡呢
[00:00:35.840 --> 00:00:37.840]  因為聖經裡有不少例子
[00:00:37.840 --> 00:00:41.240]  因為錢財的糾紛令他們惹上不少麻煩
[00:00:41.240 --> 00:00:46.040]  表表姐一定是有出賣耶穌的
[00:00:46.040 --> 00:00:48.040]  對 說錯了
[00:00:48.040 --> 00:00:50.880]  他的結局也不是很好
[00:00:50.880 --> 00:00:54.560]  在教會裡又叫我們不要看利益那麼重
[00:00:54.560 --> 00:00:57.960]  不知道大家又怎麼看聖經對錢財這個觀念呢
[00:00:57.960 --> 00:01:01.360]  的確在我們社會的眼光來看
[00:01:01.360 --> 00:01:03.760]  可以定義到我們每個人有多麼成功
[00:01:03.760 --> 00:01:05.760]  就很客觀的有我們的錢
[00:01:05.760 --> 00:01:07.760]  有我們的資產
[00:01:07.760 --> 00:01:10.160]  但是聖經裡又怎麼看這些事情呢
[00:01:10.160 --> 00:01:13.760]  我們正式開始這個篇章之前
[00:01:13.760 --> 00:01:15.760]  有個故事要分享給大家
[00:01:15.760 --> 00:01:18.240]  我在這個星期七 星期五
[00:01:18.240 --> 00:01:20.240]  我考車的
[00:01:20.240 --> 00:01:22.240]  我已經考完車了
[00:01:22.240 --> 00:01:24.240]  我先不說我合不合格
[00:01:24.240 --> 00:01:27.280]  重點是我學車的過程
[00:01:27.280 --> 00:01:29.280]  當我上了十堂
[00:01:29.280 --> 00:01:31.280]  我跟了A師傅
[00:01:31.280 --> 00:01:33.280]  跟了第一個師傅上了十堂
[00:01:33.280 --> 00:01:35.280]  上到第八堂就有些狀況
[00:01:35.280 --> 00:01:37.280]  等他開車過來
[00:01:37.280 --> 00:01:40.560]  我就上他那輛車去學車
