
[00:00:00.000 --> 00:00:05.480]  好,今天我要跟大家講的一個講題是
[00:00:05.480 --> 00:00:07.480]  我活著不是憑眼見
[00:00:07.480 --> 00:00:09.480]  有沒有人知道下一句是什麼?
[00:00:09.480 --> 00:00:16.480]  所以我以前唱過的詩歌已經是舊了,是嗎?
[00:00:16.480 --> 00:00:18.480]  我活著不是憑感覺
[00:00:18.480 --> 00:00:22.480]  押韻的,因為唱國語,弱書弱斷
[00:00:22.480 --> 00:00:27.480]  Anyway,下個月就是DSE了
[00:00:27.480 --> 00:00:32.480]  這裡有些過來人,我想問誰已經考了DSE?
[00:00:32.480 --> 00:00:38.480]  考過了,下個月就考了
[00:00:38.480 --> 00:00:43.480]  又再考過了?為何都是舉手?
[00:00:43.480 --> 00:00:46.480]  有誰準備要考DSE了?
[00:00:46.480 --> 00:00:52.480]  IB,或者IB,這裡要轉成IB
[00:00:52.480 --> 00:00:55.480]  Anyway,IB好,DSE也好
[00:00:55.480 --> 00:01:00.480]  差不多要準備的時候
[00:01:00.480 --> 00:01:03.480]  你就會遇到很多人
[00:01:03.480 --> 00:01:07.480]  跟你分享一些他們過去的經驗
[00:01:07.480 --> 00:01:09.480]  譬如他們考得好的話
[00:01:09.480 --> 00:01:13.480]  就會跟你講一些他們如何考得好,成功的經驗
[00:01:13.480 --> 00:01:17.480]  同時間他們也會跟你分享一些不好的經驗
[00:01:17.480 --> 00:01:21.480]  就是一些失敗的經驗,避免你們重蹈覆轍
[00:01:23.480 --> 00:01:26.480]  我都可以給幾個提示
[00:01:26.480 --> 00:01:29.480]  我舉個例子,怎樣算是成功經驗呢?
[00:01:29.480 --> 00:01:33.480]  譬如,我不知道你現在還是不是
[00:01:33.480 --> 00:01:37.480]  找哪些補習社,哪些補習名師,是否就是這樣?
[00:01:37.480 --> 00:01:39.480]  哪些科目你會找哪一個?
[00:01:39.480 --> 00:01:44.480]  又或者哪個老師的提示準確些,你都會去那裡,是嗎?
[00:01:44.480 --> 00:01:49.480]  又或者,會有人跟你講
[00:01:49.480 --> 00:01:52.480]  怎樣溫書才有最高的效率呢?
[00:01:52.480 --> 00:01:56.480]  在大學的時候,A大多數都是被內地生取得的
[00:01:56.480 --> 00:01:58.480]  雖然我都可以分到一些
[00:01:58.480 --> 00:02:02.480]  那你問一下他們,你們平時是怎樣溫書的?
[00:02:02.480 --> 00:02:04.480]  有一個真是驚人,我想說
[00:02:04.480 --> 00:02:07.480]  我聽過一個接近全部A的同學
[00:02:07.480 --> 00:02:10.480]  他就說,他每天只睡4個小時
[00:02:10.480 --> 00:02:13.480]  我說,一個人不是要睡8個小時嗎?
[00:02:13.480 --> 00:02:18.480]  他說那4個小時還要是分開睡的,2個小時,2個小時
[00:02:18.480 --> 00:02:23.480]  做12個小時的東西,睡2個小時,再做類似的
[00:02:23.480 --> 00:02:26.480]  做10個小時的東西,睡2個小時,再做10個小時的東西,睡2個小時
[00:02:26.480 --> 00:02:30.480]  他說這樣是根據科學,然後這樣是最有效的方法
[00:02:30.480 --> 00:02:32.480]  有沒有人減肥?
[00:02:32.480 --> 00:02:35.480]  是全A的人說的
[00:02:35.480 --> 00:02:39.480]  我就不小心試了,但當我是生了孩子就已經試了
