
[00:00:00.000 --> 00:00:07.000]   Alright, how's everybody tonight?
[00:00:07.000 --> 00:00:08.000]   Excellent.
[00:00:08.000 --> 00:00:12.840]   Are you guys disgusted with life?
[00:00:12.840 --> 00:00:18.640]   This is apparently the topic that's been assigned to me.
[00:00:18.640 --> 00:00:24.080]   Today's topic is disgusted with life, Ezekiel chapter 2.
[00:00:24.080 --> 00:00:30.400]   And we've been talking about several main themes that sort of appear within this book.
[00:00:30.400 --> 00:00:32.640]   The first is vanity.
[00:00:32.640 --> 00:00:37.920]   Pastor Michelle talked about that, this word, habal.
[00:00:37.920 --> 00:00:42.960]   It's like she gave us this metaphor, we're just grasping for something, we're just grasping
[00:00:42.960 --> 00:00:44.080]   for air.
[00:00:44.080 --> 00:00:48.780]   And there's nothing, it's futile, it's lacking substance, pointlets.
[00:00:48.780 --> 00:00:51.400]   It's like the wind or vapor.
[00:00:51.400 --> 00:00:55.980]   And then Pastor John last week continued and explained more to us, right?
[00:00:55.980 --> 00:00:58.180]   That nothing seems to change.
[00:00:58.180 --> 00:01:00.640]   This life, what's good about it?
[00:01:00.640 --> 00:01:02.220]   Nothing seems to change.
[00:01:02.220 --> 00:01:03.480]   Nothing satisfies.
[00:01:03.480 --> 00:01:05.740]   Nothing is new under the sun.
[00:01:05.740 --> 00:01:09.380]   Everything, nothing is understood.
[00:01:09.380 --> 00:01:12.380]   There's vanity, it's pointless.
[00:01:12.380 --> 00:01:15.220]   There's no meaning.
[00:01:15.220 --> 00:01:19.320]   And then this concept of nothing new under the sun.
[00:01:19.320 --> 00:01:26.740]   This preacher, it's going through a discussion on how do I find meaning in life, in this
[00:01:26.740 --> 00:01:28.380]   life on earth.
[00:01:28.380 --> 00:01:30.460]   That's what it means.
[00:01:30.460 --> 00:01:32.980]   Nothing new under the sun.
[00:01:32.980 --> 00:01:37.340]   And he continues in chapter 2 and he talks about several things that we're gonna talk
[00:01:37.340 --> 00:01:38.340]   about tonight.
[00:01:38.340 --> 00:01:44.220]   And the first is pleasure is meaningless.
[00:01:44.220 --> 00:01:46.940]   Wisdom is meaningless.
[00:01:46.940 --> 00:01:49.800]   And work is meaningless.
[00:01:49.800 --> 00:01:55.780]   And Pastor, not Pastor, our administrator, Bonnie read to us.
[00:01:55.780 --> 00:02:00.640]   Yeah, future, future.
[00:02:00.640 --> 00:02:04.640]   There's meaning in this world.
[00:02:04.640 --> 00:02:07.640]   Bonnie read to us the scripture.
[00:02:07.640 --> 00:02:13.780]   And the first thing that the preacher talks about is behold, he goes through laughter.
[00:02:13.780 --> 00:02:14.780]   It's mad.
[00:02:14.780 --> 00:02:16.720]   Pleasure, what use is it?
