
[00:00:00.000 --> 00:00:02.000]  多謝您的收看,再見!
[00:00:02.500 --> 00:00:04.000]  大家好,我是五望
[00:00:04.000 --> 00:00:09.000]  今天我們繼續講解貼沙黎加前書
[00:00:09.000 --> 00:00:15.000]  如果大家記得上星期Jason傳道跟我們分享了
[00:00:15.000 --> 00:00:19.000]  貼前第四章,應該是講到第十一節
[00:00:19.000 --> 00:00:23.000]  但他說他不夠時間,只講了頭八節
[00:00:23.000 --> 00:00:30.000]  頭八節是針對遠避淫行
[00:00:30.000 --> 00:00:33.000]  這也是針對貼沙黎加信徒
[00:00:33.000 --> 00:00:35.000]  他們生活上的性別問題
[00:00:35.000 --> 00:00:41.000]  但其實在第九至十二節都是一個承先啟後
[00:00:41.000 --> 00:00:44.000]  那裏也論到他們要彼此相愛
[00:00:44.000 --> 00:00:48.000]  保羅說你們作信徒要親手作工
[00:00:48.000 --> 00:00:52.000]  不要濫用弟妹的愛心和慷慨
[00:00:52.000 --> 00:00:54.000]  在生活上去依賴別人
[00:00:54.000 --> 00:00:57.000]  當你有機會需要來做工
[00:00:57.000 --> 00:01:00.000]  不要閒懶地在地上
[00:01:00.000 --> 00:01:04.000]  這也跟後文我們今天講的題目
[00:01:04.000 --> 00:01:08.000]  還有下一節講的題目很有關連
[00:01:08.000 --> 00:01:10.000]  因為我們這兩節講的
[00:01:10.000 --> 00:01:15.000]  都是關乎到主在來的時候會發生的一些事情
[00:01:15.000 --> 00:01:19.000]  所以我們先再次來一個祈禱
[00:01:19.000 --> 00:01:22.000]  我們開始今天來看這段經文
[00:01:22.000 --> 00:01:24.000]  天父求你幫助我們
[00:01:24.000 --> 00:01:25.000]  打開我們的耳朵
[00:01:25.000 --> 00:01:28.000]  讓我們有一個謙卑受教的心靈
[00:01:28.000 --> 00:01:31.000]  讓我們領受你的話語的時候
[00:01:31.000 --> 00:01:33.000]  全謙卑受教的心
[00:01:33.000 --> 00:01:35.000]  讓講的聽的我們同感一靈
[00:01:35.000 --> 00:01:36.000]  同得造就
[00:01:36.000 --> 00:01:39.000]  同被主你來更生
[00:01:39.000 --> 00:01:42.000]  無造我們的生命更像你
[00:01:42.000 --> 00:01:46.000]  以致我們的人生能夠更加豐盛
[00:01:46.000 --> 00:01:48.000]  精彩地再世活著
[00:01:48.000 --> 00:01:50.000]  能夠榮神益人
[00:01:50.000 --> 00:01:52.000]  同心禱告奉主名求
[00:01:52.000 --> 00:01:53.000]  阿們
[00:01:53.000 --> 00:01:55.000]  我們先看今天的題目
[00:01:55.000 --> 00:01:57.000]  說滿有盼望的死亡觀
[00:01:57.000 --> 00:01:59.000]  我想問一問大家
[00:01:59.000 --> 00:02:02.000]  其實我們中國人很普遍的一句話
[00:02:02.000 --> 00:02:03.000]  是講什麼
[00:02:03.000 --> 00:02:07.000]  就是說人死如燈滅
[00:02:07.000 --> 00:02:10.000]  但這句話是害死很多人的
[00:02:10.000 --> 00:02:11.000]  就是因為這樣的緣故
[00:02:11.000 --> 00:02:14.000]  有很多人以為一死一了百了
[00:02:14.000 --> 00:02:15.000]  沒有煩惱了
[00:02:15.000 --> 00:02:17.000]  好像開燈關燈
[00:02:17.000 --> 00:02:19.000]  關完燈就不開燈了
[00:02:19.000 --> 00:02:21.000]  有些人的觀念是這樣
[00:02:21.000 --> 00:02:22.000]  你有你信
[00:02:22.000 --> 00:02:25.000]  你不要跟我說什麼耶穌
[00:02:25.000 --> 00:02:26.000]  什麼傳什麼福音
[00:02:26.000 --> 00:02:28.000]  有些人一直拖拖拉拉
[00:02:28.000 --> 00:02:31.000]  到年紀大
[00:02:31.000 --> 00:02:34.000]  到後來臨終之前
[00:02:34.000 --> 00:02:36.000]  都是硬心不肯信
[00:02:36.000 --> 00:02:37.000]  不肯信的
[00:02:37.000 --> 00:02:41.000]  我今年已經出道侍奉主
[00:02:41.000 --> 00:02:42.000]  是35年了
[00:02:42.000 --> 00:02:44.000]  我是接觸很多的
[00:02:44.000 --> 00:02:46.000]  是瀕臨死亡的
[00:02:46.000 --> 00:02:49.000]  一些是臥在病床上
[00:02:49.000 --> 00:02:50.000]  在醫院也好
[00:02:50.000 --> 00:02:51.000]  在家庭也好
