
[00:00:00.000 --> 00:00:01.780]  今天的《門訓》系列崇拜
[00:00:01.780 --> 00:00:03.440]  我們有殷勞鳳文傳道
[00:00:03.440 --> 00:00:07.040]  在我們當中繼續宣講文授記的訊息
[00:00:07.040 --> 00:00:08.420]  她的講道題目是
[00:00:08.420 --> 00:00:11.520]  「分別為性 轉眼為耳」
[00:00:11.520 --> 00:00:14.800]  經文出自文授記八章一至二十六節
[00:00:14.800 --> 00:00:16.100]  有請Pastor Ronica
[00:00:16.100 --> 00:00:18.840]  各位主內的弟兄姊妹
[00:00:18.840 --> 00:00:20.340]  你們信不信
[00:00:20.340 --> 00:00:23.640]  感不感受到耶穌很愛你們
[00:00:23.640 --> 00:00:26.560]  咦 這麼小聲
[00:00:28.140 --> 00:00:30.660]  這本是《聖經》
[00:00:30.660 --> 00:00:33.120]  是記載上帝的啟示
[00:00:33.120 --> 00:00:36.720]  和祂作為的歷史事實
[00:00:36.720 --> 00:00:40.120]  要我們信耶穌基督是神的兒子
[00:00:40.120 --> 00:00:44.860]  要我們信因為耶穌的名得生命
[00:00:44.860 --> 00:00:46.060]  大家都知道
[00:00:46.060 --> 00:00:49.280]  《聖經》是上帝賜下的話語
[00:00:49.280 --> 00:00:51.120]  是不變的真道
[00:00:51.120 --> 00:00:53.040]  是我們每日生命的糧
[00:00:53.040 --> 00:00:55.620]  日夜要思想
[00:00:55.620 --> 00:00:58.320]  大家有沒有想像過
[00:00:58.320 --> 00:01:00.920]  外面黑色的這個皮
[00:01:00.920 --> 00:01:03.680]  就好像上帝兒子耶穌基督
[00:01:03.680 --> 00:01:05.580]  穿著的外套
[00:01:05.580 --> 00:01:08.520]  背起所有人的嘴
[00:01:08.520 --> 00:01:10.840]  裡面白色發光的
[00:01:10.840 --> 00:01:15.080]  就是上帝光照我們內心的說話
[00:01:15.080 --> 00:01:17.020]  好像一條道路
[00:01:17.020 --> 00:01:18.540]  道成肉身
[00:01:18.540 --> 00:01:21.620]  在我們中間帶領著我們去走
[00:01:21.620 --> 00:01:23.480]  祝福著我們
[00:01:23.480 --> 00:01:26.320]  我們想深一層
[00:01:26.320 --> 00:01:28.420]  《聖經》上帝的話
[00:01:28.420 --> 00:01:32.260]  是聽先還是看先?
[00:01:32.260 --> 00:01:35.160]  亞伯拉罕、以撒、雅各、摩西
[00:01:35.160 --> 00:01:38.980]  是聽還是看上帝的話先?
[00:01:38.980 --> 00:01:41.020]  兩樣都有
[00:01:41.020 --> 00:01:43.880]  但是先聽後看
[00:01:43.880 --> 00:01:47.580]  信心的古人是用謙卑敬虔的態度
[00:01:47.580 --> 00:01:50.920]  去聽上帝的話
[00:01:50.920 --> 00:01:53.920]  然後照著上帝的吩咐
[00:01:53.920 --> 00:01:55.920]  重新做人
[00:01:55.920 --> 00:01:58.620]  今天我們是不是這樣?
[00:01:58.620 --> 00:02:00.980]  問問你身邊的弟兄姊妹
[00:02:00.980 --> 00:02:04.080]  是不是謙卑敬畏上帝
[00:02:04.080 --> 00:02:07.080]  聽道、行道?
[00:02:07.080 --> 00:02:08.780]  一時時啦
[00:02:08.780 --> 00:02:11.420]  所以我們今天要回來崇拜
[00:02:11.420 --> 00:02:13.580]  要回到團契主日學
[00:02:13.580 --> 00:02:19.180]  一起持續地讓主塑造我們成長
[00:02:19.180 --> 00:02:23.580]  《文素記》記載當時敬畏上帝的以色列人
[00:02:23.580 --> 00:02:28.180]  聽上帝吩咐摩西亞倫的方法
[00:02:28.180 --> 00:02:30.480]  去做準備
[00:02:30.480 --> 00:02:33.680]  每個人都知道自己的職責和界限
[00:02:33.680 --> 00:02:37.080]  向著迦南應許地去進發
[00:02:37.080 --> 00:02:38.580]  開始的時候
[00:02:38.580 --> 00:02:41.080]  以色列人敬畏上帝
[00:02:41.080 --> 00:02:42.180]  很直接
[00:02:42.180 --> 00:02:44.880]  順服上帝就照做
[00:02:44.880 --> 00:02:46.780]  但是時間一久了
[00:02:46.780 --> 00:02:49.280]  就出現了人性的軟弱
[00:02:49.280 --> 00:02:51.480]  由百姓都領袖
[00:02:51.480 --> 00:02:53.680]  都得罪上帝
[00:02:53.680 --> 00:02:55.880]  他們由聽上帝的吩咐
[00:02:55.880 --> 00:02:58.380]  變成聽自己的需要
[00:02:58.380 --> 00:03:01.480]  見到眼前對自己沒有利益的東西
[00:03:01.480 --> 00:03:03.280]  他們就會埋怨
[00:03:03.280 --> 00:03:04.680]  不滿
[00:03:04.680 --> 00:03:05.580]  不服
[00:03:05.580 --> 00:03:08.380]  比較計較甚至投訴
[00:03:08.380 --> 00:03:10.380]  面對這班人
[00:03:10.380 --> 00:03:12.580]  慈愛公然的上帝
[00:03:12.580 --> 00:03:14.480]  很有耐性
[00:03:14.480 --> 00:03:16.480]  對他們有提醒
[00:03:16.480 --> 00:03:18.180]  有懲罰
[00:03:18.180 --> 00:03:20.280]  也都透過律例
[00:03:20.280 --> 00:03:22.980]  幫他們知道自己是犯罪
