
[00:00:00.000 --> 00:00:08.440]  來到九月,我們開始一個新的主題
[00:00:08.440 --> 00:00:12.440]  我們的主題叫做「獨人的心」
[00:00:12.440 --> 00:00:18.600]  「獨人的心」第一講就會開始提多書
[00:00:18.600 --> 00:00:23.720]  我們會講到建立健全教會的領導
[00:00:23.720 --> 00:00:25.960]  講這個之前先問一下
[00:00:25.960 --> 00:00:29.040]  回到教會來到這裡
[00:00:29.040 --> 00:00:32.960]  你可否告訴我教會是甚麼?
[00:00:32.960 --> 00:00:34.960]  甚麼是教會?
[00:00:34.960 --> 00:00:38.080]  (敬拜耶和華的地方)
[00:00:38.080 --> 00:00:40.440]  敬拜耶和華的地方
[00:00:40.440 --> 00:00:43.440]  還有呢?教會是甚麼來的?
[00:00:43.440 --> 00:00:48.760]  Cindy,坐了這麼多年
[00:00:48.760 --> 00:00:51.040]  應該都知道教會是甚麼了吧?
[00:00:51.040 --> 00:00:53.520]  教會是甚麼地方?
[00:00:53.520 --> 00:00:55.520]  (一班罪人的地方)
[00:00:55.520 --> 00:00:57.520]  一班罪人的地方
[00:00:57.520 --> 00:01:02.200]  教會外面也是罪人的地方
[00:01:02.200 --> 00:01:04.200]  教會還有甚麼特點呢?
[00:01:04.200 --> 00:01:07.720]  Girls,在搜尋嗎?
[00:01:07.720 --> 00:01:09.720]  在搜尋Google嗎?
[00:01:09.720 --> 00:01:11.720]  每個人拿著手機應該在搜尋
[00:01:11.720 --> 00:01:13.720]  搜尋到了嗎?
[00:01:13.720 --> 00:01:17.000]  搜尋一下吧
[00:01:17.000 --> 00:01:19.000]  甚麼是教會?
[00:01:19.000 --> 00:01:21.000]  教會最基本的
[00:01:21.000 --> 00:01:23.000]  就是你跟我一樣
[00:01:23.000 --> 00:01:26.400]  都是同一個信仰的群體
[00:01:26.400 --> 00:01:29.520]  坐在一起聚集的地方
[00:01:29.520 --> 00:01:33.680]  教會也是一個全港真理
[00:01:33.680 --> 00:01:35.680]  一個教導的地方
[00:01:35.680 --> 00:01:39.680]  你說是否跟學校很相似呢?
[00:01:39.680 --> 00:01:41.680]  也是很相似的
[00:01:41.680 --> 00:01:44.880]  教會除了教知識外
[00:01:44.880 --> 00:01:46.880]  還教導真理
[00:01:46.880 --> 00:01:49.280]  如果你有錯的時候
[00:01:49.280 --> 00:01:51.600]  都會被人糾正
[00:01:51.600 --> 00:01:54.600]  都會帶你回到正途當中
[00:01:54.600 --> 00:01:58.920]  跟學校差不多
[00:01:58.920 --> 00:02:03.440]  跟工作的場景是否一樣呢?
[00:02:03.440 --> 00:02:06.960]  工作的場景也可以是一個學校
[00:02:06.960 --> 00:02:09.440]  當你出去工作的時候
[00:02:09.440 --> 00:02:13.480]  你做錯事也會被人教
[00:02:13.480 --> 00:02:17.080]  不過教會的教理
[00:02:17.080 --> 00:02:20.760]  就是本著愛心去教你
[00:02:20.920 --> 00:02:23.120]  但當你有一天有機會
[00:02:23.120 --> 00:02:25.120]  很快的,像學生那樣
[00:02:25.120 --> 00:02:27.120]  出去工作的時候
[00:02:27.120 --> 00:02:29.120]  你出去工作的時候
[00:02:29.120 --> 00:02:33.120]  你的上司會不會像教會一樣
[00:02:33.120 --> 00:02:36.400]  無限的包容給你愛心
[00:02:36.400 --> 00:02:38.400]  然後才會為你考慮一段時間
[00:02:38.400 --> 00:02:41.400]  你做錯事才會去罵你
[00:02:41.400 --> 00:02:43.400]  你猜你想一下
[00:02:43.400 --> 00:02:45.880]  第一句你做錯事
[00:02:45.880 --> 00:02:47.880]  第一次做錯
[00:02:47.880 --> 00:02:49.880]  送你一封警告信
[00:02:49.880 --> 00:02:51.880]  第二次做錯事
[00:02:51.880 --> 00:02:53.880]  第二封警告信
[00:02:53.880 --> 00:02:55.880]  第三次做錯事
[00:02:55.880 --> 00:02:58.880]  送你回家,不用再留在這裡
[00:02:58.880 --> 00:03:02.880]  教會跟外面的職場很不同
[00:03:02.880 --> 00:03:05.880]  跟你的學校有點相似
[00:03:05.880 --> 00:03:08.880]  但也不盡相同
[00:03:08.880 --> 00:03:12.880]  記不記得門徒叫主耶穌叫甚麼?
[00:03:12.880 --> 00:03:14.880]  「夫子」
[00:03:14.880 --> 00:03:16.880]  甚麼是夫子?
[00:03:16.880 --> 00:03:18.880]  即是老師
[00:03:18.880 --> 00:03:23.880]  門徒也稱耶穌為老師的話
[00:03:23.880 --> 00:03:28.880]  他也是要盡心去教導門徒
[00:03:28.880 --> 00:03:30.880]  今天在提多書裡
[00:03:30.880 --> 00:03:33.880]  第一章我想跟大家分享的
[00:03:33.880 --> 00:03:38.880]  就是關於權柄和真道的題目
[00:03:38.880 --> 00:03:40.880]  在當中
[00:03:40.880 --> 00:03:44.880]  我有三個重點跟大家一起說
[00:03:44.880 --> 00:03:49.880]  中一的同學可能對你會說些甚麼
[00:03:49.880 --> 00:03:53.880]  但聽到一句就留在心裡
[00:03:53.880 --> 00:03:55.880]  我們說
[00:03:55.880 --> 00:03:59.880]  要作真的兒子
[00:03:59.880 --> 00:04:03.880]  才可以得到一個真的權柄
[00:04:03.880 --> 00:04:08.880]  提多是在保羅屬靈生命上的一個兒子
[00:04:08.880 --> 00:04:11.880]  也是他一個很親密的戰友
[00:04:11.880 --> 00:04:14.880]  保羅幾次宣教旅程中
[00:04:14.880 --> 00:04:18.880]  都帶著提多和誰?
[00:04:18.880 --> 00:04:20.880]  還有誰?
[00:04:20.880 --> 00:04:26.880]  保羅還有一個徒弟
[00:04:26.880 --> 00:04:29.880]  帕瑟蒂姆
[00:04:29.880 --> 00:04:31.880]  是帕瑟蒂姆嗎?
[00:04:31.880 --> 00:04:36.880]  是提瑪泰和提多
[00:04:36.880 --> 00:04:38.880]  去進行宣教
[00:04:38.880 --> 00:04:42.880]  保羅和他的徒弟
[00:04:42.880 --> 00:04:44.880]  屬靈的兒子
[00:04:44.880 --> 00:04:46.880]  叫他留在一個地方
[00:04:46.880 --> 00:04:49.880]  這個地方叫克里特
[00:04:49.880 --> 00:04:52.880]  這個地方為甚麼要他留在這裡呢?
[00:04:52.880 --> 00:04:54.880]  因為這個地方是一個
[00:04:54.880 --> 00:04:57.880]  惡名昭彰的地方
[00:04:57.880 --> 00:04:59.880]  在裡面的人
[00:04:59.880 --> 00:05:02.880]  很喜歡說謊
[00:05:02.880 --> 00:05:03.880]  沒有誠信
[00:05:03.880 --> 00:05:05.880]  經常喝醉酒
[00:05:05.880 --> 00:05:07.880]  不喜歡工作
[00:05:07.880 --> 00:05:09.880]  不喜歡吃冷飯
[00:05:09.880 --> 00:05:12.880]  所以保羅希望提多
[00:05:12.880 --> 00:05:16.880]  在這裡設立有權柄的教會
[00:05:16.880 --> 00:05:18.880]  能夠治理
[00:05:18.880 --> 00:05:22.880]  通常要用到權柄去治理的話
[00:05:22.880 --> 00:05:27.880]  就是這個地方開始進入混亂的時間
[00:05:27.880 --> 00:05:34.880]  所以保羅對提多有一些吩咐
[00:05:34.880 --> 00:05:39.880]  在聖經提多書一章一到四節說
[00:05:39.880 --> 00:05:42.880]  「神的僕人,耶穌基督的使徒保羅,
[00:05:42.880 --> 00:05:47.880]  憑著神選民的信心與敬虔真理的知識,
[00:05:47.880 --> 00:05:53.880]  盼望那無謊言的神在萬古之先所應許的永生,
[00:05:53.880 --> 00:05:57.880]  到了日期,藉著傳揚的功夫,
[00:05:57.880 --> 00:05:59.880]  把他的道顯明了,
[00:05:59.880 --> 00:06:05.880]  這傳揚的責任是按神我們救主的命令交託了我們,
[00:06:05.880 --> 00:06:07.880]  現在寫信給提多,
[00:06:07.880 --> 00:06:12.880]  就是照著我們共信之道作我真義之的,
