
[00:00:00.000 --> 00:00:07.000]  我今天跟大家講的題目就是
[00:00:07.000 --> 00:00:14.000]  海中上來的獸 揭開狄吉都的面紗
[00:00:14.000 --> 00:00:23.000]  今天我們講這一章也是非常重要
[00:00:23.000 --> 00:00:30.000]  這兩個獸的影響很大
[00:00:30.000 --> 00:00:40.000]  他們的出現可以說是人類歷史的終局開始倒數
[00:00:40.000 --> 00:00:43.000]  這個獸是什麼獸呢?
[00:00:43.000 --> 00:00:48.000]  第一個就是海中上來的獸 下個星期應該是地獸
[00:00:48.000 --> 00:00:54.000]  我們香港人很多時候罵人
[00:00:54.000 --> 00:01:00.000]  有沒有罵人是獸 說人家禽獸不如
[00:01:00.000 --> 00:01:02.000]  有些是過份的
[00:01:02.000 --> 00:01:08.000]  不過有些真的 有些人的做作 有些人的行事為人
[00:01:08.000 --> 00:01:12.000]  你發覺真的禽獸不如
[00:01:12.000 --> 00:01:14.000]  你看現在的新聞
[00:01:14.000 --> 00:01:22.000]  怎麼可能將人殺了 將頭放在壓力鍋裡煮呢?
[00:01:22.000 --> 00:01:28.000]  怎麼可能將父母殺呢?
[00:01:28.000 --> 00:01:32.000]  看見這些新聞你會很恐怖
[00:01:32.000 --> 00:01:37.000]  上帝講的獸其實是一個人
[00:01:37.000 --> 00:01:43.000]  人應該有上帝原初創造的這種樣式
[00:01:43.000 --> 00:01:46.000]  上帝安著他的樣式來做我們
[00:01:46.000 --> 00:01:49.000]  有聖旨公義慈愛
[00:01:49.000 --> 00:01:52.000]  但是現在人不像人
[00:01:52.000 --> 00:01:59.000]  今天這個世代其實已經來到一個罪惡冠型的世代
[00:01:59.000 --> 00:02:02.000]  我在加拿大 你們在香港
[00:02:02.000 --> 00:02:06.000]  加拿大首先就是同性婚姻合法化
[00:02:06.000 --> 00:02:11.000]  這些打針屋
[00:02:11.000 --> 00:02:14.000]  還有大麻合法化
[00:02:14.000 --> 00:02:21.000]  現在你看見那些政府去鼓勵人去變性
[00:02:21.000 --> 00:02:25.000]  你想生孩子 它沒有funding給你
[00:02:25.000 --> 00:02:28.000]  但是你想變性 它給你
[00:02:28.000 --> 00:02:32.000]  父母不可以干預你的子女
[00:02:32.000 --> 00:02:36.000]  說你應該做男孩子 應該做女孩子
[00:02:36.000 --> 00:02:39.000]  如果你被政府知道
[00:02:39.000 --> 00:02:45.000]  你要面對criminal charge 刑事起訴
[00:02:45.000 --> 00:02:50.000]  真是ridiculous 荒謬這個世代
[00:02:50.000 --> 00:02:54.000]  以光為暗 以暗為光
[00:02:54.000 --> 00:02:59.000]  以苦為甜 以甜為苦 這個世代有禍了
[00:02:59.000 --> 00:03:02.000]  其實今天我們看見這個獸
[00:03:02.000 --> 00:03:07.000]  其實神不是正正是誇張
[00:03:07.000 --> 00:03:10.000]  今天有些人我們罵人是誇張了
[00:03:10.000 --> 00:03:12.000]  上帝一點都不誇張
[00:03:12.000 --> 00:03:15.000]  這個是大罪人 這個沒有靈性
[00:03:15.000 --> 00:03:18.000]  聖經提到這個是不法之人
