
[00:00:00.000 --> 00:00:01.800]  兩姐妹平安!
[00:00:01.800 --> 00:00:03.800]  感恩我們又能夠相聚
[00:00:03.800 --> 00:00:07.080]  來一起聽上帝的話語
[00:00:07.080 --> 00:00:10.040]  那麼我們今天
[00:00:10.040 --> 00:00:12.600]  就是要來看從約拿書
[00:00:12.600 --> 00:00:14.520]  看人生智慧的第二講
[00:00:14.520 --> 00:00:16.720]  我們上次已經講了第一講了
[00:00:16.720 --> 00:00:21.060]  那麼上次我們就講到
[00:00:21.060 --> 00:00:24.680]  耶和華安排一條大魚吞了約拿
[00:00:24.680 --> 00:00:27.280]  它在魚腹中三天三夜
[00:00:27.280 --> 00:00:29.240]  然後就講三天三夜
[00:00:29.240 --> 00:00:30.400]  發生什麼事情
[00:00:30.400 --> 00:00:33.120]  我說今天才講
[00:00:33.120 --> 00:00:34.680]  就講到這裡
[00:00:34.680 --> 00:00:37.200]  那麼上次我們看到約拿
[00:00:37.200 --> 00:00:38.440]  他是怎麼樣啊?
[00:00:38.440 --> 00:00:41.240]  上帝叫他去哪裡啊?
[00:00:41.240 --> 00:00:42.640]  尼尼威
[00:00:42.640 --> 00:00:45.640]  他就跑去約帕
[00:00:45.640 --> 00:00:48.040]  那麼就買票 買船票
[00:00:48.040 --> 00:00:49.920]  想要去到他師
[00:00:49.920 --> 00:00:51.240]  有多遠 跑到多遠
[00:00:51.240 --> 00:00:54.120]  那個是當時候的天涯海角
[00:00:54.120 --> 00:00:56.840]  他要上帝叫他去的地方
[00:00:56.840 --> 00:00:58.240]  他反而不想去
[00:00:58.240 --> 00:01:00.480]  所以我們上次就探討
[00:01:00.480 --> 00:01:03.960]  我們有沒有迴避上帝給我們的任務
[00:01:03.960 --> 00:01:07.120]  那麼上次我們也問大家一個問題
[00:01:07.120 --> 00:01:10.680]  在你生命中有沒有一個他師
[00:01:10.680 --> 00:01:12.880]  是上帝叫你做的
[00:01:12.880 --> 00:01:16.760]  你偏偏就跑到你的忙碌
[00:01:16.760 --> 00:01:18.600]  跑到你的家庭
