
[00:00:00.000 --> 00:00:02.400]  各位主愛裏面的弟兄姊妹
[00:00:02.400 --> 00:00:08.360]  你們有沒有好好跟主的愛連結呢?
[00:00:08.360 --> 00:00:10.960]  我昨晚問弟兄姊妹
[00:00:10.960 --> 00:00:15.760]  你們是否相信敢不敢受到主的愛呢?
[00:00:15.760 --> 00:00:17.400]  你們呢?
[00:00:17.400 --> 00:00:19.000]  嘩 真的沒有聲音
[00:00:19.000 --> 00:00:21.760]  昨天又是沒有聲音的
[00:00:21.760 --> 00:00:25.200]  對了 其實這本就是《聖經》
[00:00:25.200 --> 00:00:29.600]  是記載上帝的啟示和祂作為的歷史事實
[00:00:29.600 --> 00:00:32.800]  要我們相信耶穌基督是神的兒子
[00:00:32.800 --> 00:00:38.200]  要我們相信因耶穌基督的名字而得生命
[00:00:38.200 --> 00:00:41.800]  大家都知道《聖經》是上帝賜下的話語
[00:00:41.800 --> 00:00:43.400]  是不變的真道
[00:00:43.400 --> 00:00:46.000]  是我們每日的生命之糧
[00:00:46.000 --> 00:00:48.200]  要晝夜思想
[00:00:48.200 --> 00:00:51.200]  那大家有沒有想像過
[00:00:51.200 --> 00:00:53.200]  外面黑色的皮
[00:00:53.200 --> 00:00:56.600]  就好像上帝兒子耶穌基督
[00:00:56.600 --> 00:01:00.800]  他穿著的外套背起了我們世人的罪
[00:01:00.800 --> 00:01:03.200]  裡面白色發光的
[00:01:03.200 --> 00:01:07.200]  就是上帝光照我們內心的說話
[00:01:07.200 --> 00:01:09.400]  好像一條道路
[00:01:09.400 --> 00:01:12.000]  成為肉身
[00:01:12.000 --> 00:01:14.400]  在我們中間帶領著我們
[00:01:14.400 --> 00:01:16.400]  祝福著我們
[00:01:16.400 --> 00:01:18.600]  我們想深一層
[00:01:18.600 --> 00:01:24.800]  《聖經》上帝的話是聽先還是看先?
[00:01:24.800 --> 00:01:27.800]  阿伯拉罕、以撒瓦各摩西
[00:01:27.800 --> 00:01:31.400]  是聽還是看上帝的話先?
[00:01:31.400 --> 00:01:33.000]  兩樣都有
[00:01:33.000 --> 00:01:36.000]  但是先聽後看
[00:01:36.000 --> 00:01:41.200]  信心的古人是用謙卑敬畏上帝的心去聽
[00:01:41.200 --> 00:01:44.200]  然後照著上帝的吩咐
[00:01:44.200 --> 00:01:46.400]  重新做人
[00:01:46.400 --> 00:01:49.000]  今天我們是不是這樣?
[00:01:49.000 --> 00:01:51.400]  問問你身邊的弟兄姊妹
[00:01:51.400 --> 00:01:56.800]  是不是謙卑敬畏上帝那樣聽道行道?
[00:01:56.800 --> 00:01:58.400]  一時時吧
[00:01:58.400 --> 00:02:00.800]  所以我們就要回來崇拜
[00:02:00.800 --> 00:02:02.800]  團契上主日學
[00:02:02.800 --> 00:02:08.200]  一起持續給主去塗造我們成長
[00:02:08.200 --> 00:02:10.200]  《文素記》記載當時
[00:02:10.200 --> 00:02:11.800]  敬畏上帝的以色列人
[00:02:11.800 --> 00:02:16.800]  是聽上帝吩咐摩西亞倫的去預備
[00:02:16.800 --> 00:02:20.200]  每個人都知道自己的職責和界限
[00:02:20.200 --> 00:02:22.800]  向著迦南應許地進發
[00:02:22.800 --> 00:02:23.800]  開始的時候
[00:02:23.800 --> 00:02:26.000]  以色列人敬畏上帝
[00:02:26.000 --> 00:02:29.000]  很直接就馴服就做
[00:02:29.000 --> 00:02:30.800]  時間一來
[00:02:30.800 --> 00:02:33.200]  就出現人性的軟弱
[00:02:33.200 --> 00:02:36.800]  由百姓到領袖都得罪上帝
