
[00:00:00.000 --> 00:00:03.000]  各位弟兄姐妹 大家主內平安
[00:00:03.000 --> 00:00:06.000]  感謝神的恩典 又在
[00:00:06.000 --> 00:00:09.000]  主日的時候 帶領我們一起相聚在
[00:00:09.000 --> 00:00:12.000]  神的殿中 那麼今天呢 同樣我會
[00:00:12.000 --> 00:00:15.000]  以馬拉基書 這舊約最後一
[00:00:15.000 --> 00:00:18.000]  節的書卷 帶領大家一起來思想
[00:00:18.000 --> 00:00:21.000]  神要我們思想的
[00:00:21.000 --> 00:00:24.000]  真理和教導 那麼還要重複
[00:00:24.000 --> 00:00:27.000]  一次 馬拉基先知他的時代啊
[00:00:27.000 --> 00:00:30.000]  那麼當時呢 這本書呢
[00:00:30.000 --> 00:00:33.000]  這個馬拉基先知的時代呢 約在公元前的
[00:00:33.000 --> 00:00:36.000]  430年啊 當時呢
[00:00:36.000 --> 00:00:39.000]  那個被擄的以色列民呢 已經陸續的
[00:00:39.000 --> 00:00:42.000]  都回到了耶路撒冷 那麼
[00:00:42.000 --> 00:00:45.000]  聖殿呢 和城牆呢 已經
[00:00:45.000 --> 00:00:48.000]  完成了修建 一段時間了
[00:00:48.000 --> 00:00:51.000]  那麼面對這樣一個相對穩定
[00:00:51.000 --> 00:00:54.000]  安穩的生活呢 卻促成了
[00:00:54.000 --> 00:00:57.000]  當時以色列民 他們信仰的
[00:00:57.000 --> 00:01:00.000]  危機 以至於呢 他們在群體
[00:01:00.000 --> 00:01:03.000]  當中遇到了危機 生活的各個
[00:01:03.000 --> 00:01:06.000]  方面 都遇到了危機
[00:01:06.000 --> 00:01:09.000]  那麼我們今天也會來看到其中 先知
[00:01:09.000 --> 00:01:12.000]  給到當時 群體的提醒
[00:01:12.000 --> 00:01:15.000]  以至於我們也看到 今天神
[00:01:15.000 --> 00:01:18.000]  給我們的提醒啊 那麼首先
[00:01:18.000 --> 00:01:21.000]  我們在經文裡面就看到啊 它是
[00:01:21.000 --> 00:01:24.000]  以一種斥責的形式
[00:01:24.000 --> 00:01:27.000]  來質問以色列民
[00:01:27.000 --> 00:01:30.000]  豈不是一位父嗎 豈不是
[00:01:30.000 --> 00:01:33.000]  一位上帝所造的嗎 這樣
[00:01:33.000 --> 00:01:36.000]  斥責的語氣 這樣的語氣呢 相對於
[00:01:36.000 --> 00:01:39.000]  新約當中啊 書信經客
[00:01:39.000 --> 00:01:42.000]  福音經客 那樣溫和式的教導的提醒呢
