
[00:00:00.000 --> 00:00:03.160]   (electronic clicking)
[00:00:03.160 --> 00:00:07.160]   Hello, and welcome back to SPAN TV,
[00:00:07.160 --> 00:00:09.080]   and it's time for another NAS face-off.
[00:00:09.080 --> 00:00:10.440]   Slight difference this time.
[00:00:10.440 --> 00:00:12.240]   I know you guys are probably sick of the Synology
[00:00:12.240 --> 00:00:14.720]   versus QNAP, QNAP versus Synology videos I do,
[00:00:14.720 --> 00:00:17.400]   so we're trying to phase in more and more brands
[00:00:17.400 --> 00:00:18.480]   and get the brands interested,
[00:00:18.480 --> 00:00:21.080]   and more importantly, to give you a better understanding
[00:00:21.080 --> 00:00:22.400]   of which NASes you should get
[00:00:22.400 --> 00:00:24.360]   for your individual media setup.
[00:00:24.360 --> 00:00:26.480]   So, as you can tell from the title,
[00:00:26.480 --> 00:00:27.800]   this comparison is going to be
[00:00:27.800 --> 00:00:31.200]   between the WD MyCloud EX2 Ultra,
[00:00:31.200 --> 00:00:33.520]   WD's latest NAS there, the 2-Bay,
[00:00:33.520 --> 00:00:35.040]   and we're gonna face it off against
[00:00:35.040 --> 00:00:38.760]   Synology's own latest 2-Bay cost-effective NAS,
[00:00:38.760 --> 00:00:42.960]   Synology's DS216J, a very popular NAS indeed,
[00:00:42.960 --> 00:00:44.760]   and it's a NAS a lot of people,
[00:00:44.760 --> 00:00:46.520]   a lot of you guys out there are asking us
[00:00:46.520 --> 00:00:48.720]   to compare other units against.
[00:00:48.720 --> 00:00:50.400]   Now, there's no denying they're part
[00:00:50.400 --> 00:00:52.960]   of the cost-effective bracket of NAS.
[00:00:52.960 --> 00:00:55.840]   That is to say that you're not paying a huge amount,
[00:00:55.840 --> 00:00:57.920]   but what you get, you do get quite a lot of features.
[00:00:57.920 --> 00:01:01.560]   So, you can forget about things like Plex Media transcoding
[00:01:01.560 --> 00:01:03.800]   and high-end 4K surveillance,
[00:01:03.800 --> 00:01:06.000]   and the big, big, and virtualization
[00:01:06.000 --> 00:01:08.240]   would be an absolute joke on these two NASes,
[00:01:08.240 --> 00:01:09.800]   to be perfectly honest with you,
[00:01:09.800 --> 00:01:10.880]   but at the same time,
[00:01:10.880 --> 00:01:12.520]   there are lots of things these NASes can do,
[00:01:12.520 --> 00:01:14.800]   and if you are sticking towards the more traditional,
[00:01:14.800 --> 00:01:17.140]   old-school ways of using NAS file backup,
[00:01:17.140 --> 00:01:20.240]   media streaming, DLNA, the occasional image backup,
[00:01:20.240 --> 00:01:22.020]   then these NASes might be right for you,
[00:01:22.020 --> 00:01:24.040]   but of course, you don't know which one's,
[00:01:24.040 --> 00:01:25.160]   you know, it's better of the two,
[00:01:25.160 --> 00:01:26.720]   which one better suits your needs.
[00:01:26.720 --> 00:01:28.640]   So, what we're gonna do is we're gonna break down
[00:01:28.640 --> 00:01:30.360]   the pluses, the minuses,
[00:01:30.360 --> 00:01:31.800]   and give you a better understanding
[00:01:31.800 --> 00:01:33.440]   which one deserves your data.
[00:01:33.440 --> 00:01:36.160]   So, straight away, probably one of the more important factors
[00:01:36.160 --> 00:01:39.040]   for a great many of you is, of course, cost.
[00:01:39.040 --> 00:01:41.520]   I can tell you right now that the WD MyCloud EX2
[00:01:41.520 --> 00:01:45.360]   arrives at span.com, available now for, nice plug,
[00:01:45.360 --> 00:01:49.440]   £123 without the VAT and without drives.
[00:01:49.440 --> 00:01:52.280]   However, this unit can be purchased with drives,
[00:01:52.280 --> 00:01:56.520]   and those are WD drives installed at WD MyCloud system.
[00:01:56.520 --> 00:01:59.000]   And suitably, those drives are reduced in price as well.
[00:01:59.000 --> 00:02:02.820]   So, if you do buy this unit pre-populated with drives,
[00:02:02.820 --> 00:02:05.360]   you will find those prices are lower
[00:02:05.360 --> 00:02:08.320]   once you've installed the hardware, the hard drives.
[00:02:08.320 --> 00:02:12.680]   Whereas the Synology DS216J arrives at £119,
[00:02:12.680 --> 00:02:14.080]   so it's the cheaper of the two.
[00:02:14.080 --> 00:02:16.280]   However, it should be stated that you can't purchase
[00:02:16.280 --> 00:02:19.880]   this unit pre-populated in the conventional sense.
[00:02:19.880 --> 00:02:21.440]   You can buy this unit from vendors,
[00:02:21.440 --> 00:02:24.040]   including span.com, again, subtle plug,
[00:02:24.040 --> 00:02:26.120]   with drives inside.
[00:02:26.120 --> 00:02:28.200]   Now, install the drives for you at no additional cost,
[00:02:28.200 --> 00:02:30.680]   but of course, the drives will still work out
[00:02:30.680 --> 00:02:34.000]   more expensive on the whole once installed in the Synology
[00:02:34.000 --> 00:02:36.000]   as they would be if they're pre-installed,
[00:02:36.000 --> 00:02:39.640]   pre-populated in the WD, so do bear that in mind.
[00:02:39.640 --> 00:02:42.800]   So, yes, the Synology is the cheaper of the two,
[00:02:42.800 --> 00:02:44.480]   but once you start looking at these devices
[00:02:44.480 --> 00:02:46.480]   with the hard drives installed,
[00:02:46.480 --> 00:02:48.920]   the WD will work out a pinch cheaper,
[00:02:48.920 --> 00:02:51.080]   particularly given that you will be installing
[00:02:51.080 --> 00:02:53.000]   most likely in this day and age,
[00:02:53.000 --> 00:02:56.360]   and the popularity of them, WD Red NAS hard drives.
[00:02:56.360 --> 00:02:58.360]   Anyway, the drives that are installed in this device.
[00:02:58.360 --> 00:03:01.000]   So, for the price round, I'm gonna give this to the Synology
[00:03:01.000 --> 00:03:02.640]   with that extra caveat.
[00:03:02.640 --> 00:03:04.360]   Now, they're both 2-Bay NASes.
[00:03:04.360 --> 00:03:06.800]   Neither of them can be expanded in the conventional sense
[00:03:06.800 --> 00:03:09.760]   with an expansion, but you can attach USB drives.
[00:03:09.760 --> 00:03:11.720]   We'll get to that later on about ports.
[00:03:11.720 --> 00:03:14.480]   With regards to the hardware,
[00:03:14.480 --> 00:03:19.120]   the MyCloud EX2 arrives with a Marvell Armada 385 chip,
[00:03:19.120 --> 00:03:21.880]   and that's a dual-core 1.3 gigahertz CPU,
[00:03:21.880 --> 00:03:25.240]   and the unit also arrives with one gigabyte of DDR3 RAM.
[00:03:25.240 --> 00:03:28.160]   The Synology DS216J, as mentioned in other videos,
[00:03:28.160 --> 00:03:30.440]   arrives with the Marvell Armada 385,
[00:03:30.440 --> 00:03:32.200]   exactly the same kind of chip,
[00:03:32.200 --> 00:03:36.720]   but a lower frequency, being a dual-core 1.0 gigahertz chip.
[00:03:36.720 --> 00:03:39.440]   So, a lower CPU of the two,
[00:03:39.440 --> 00:03:42.160]   and also arrives with half a gig of DDR3 RAM,
[00:03:42.160 --> 00:03:43.360]   as you can see on the screen.
[00:03:43.360 --> 00:03:47.880]   So, straight away, the WD MyCloud does have a higher spec
[00:03:47.880 --> 00:03:49.320]   with regard to those two,
[00:03:49.320 --> 00:03:52.920]   probably the most conventionally understood areas of hardware.
[00:03:52.920 --> 00:03:53.920]   It's got this lot of little thing
[00:03:53.920 --> 00:03:55.480]   about build quality and OS,
[00:03:55.480 --> 00:03:57.960]   but when it comes to those two staples of CPU and RAM,
[00:03:57.960 --> 00:04:02.080]   then these two factors in the WD give it superiority,
[00:04:02.080 --> 00:04:04.760]   and I've got to give this round to the WD.
[00:04:04.760 --> 00:04:07.080]   So, if we look at the rear of these two devices
[00:04:07.080 --> 00:04:08.080]   on the screen right now,
[00:04:08.080 --> 00:04:10.680]   'cause the front's only got some LED lights for you there,
[00:04:10.680 --> 00:04:13.960]   and a button, you can see that both of these units
[00:04:13.960 --> 00:04:16.840]   arrive with two USB 3.0 ports and a gigabit LAN port,
[00:04:16.840 --> 00:04:18.680]   and they've both got ventilation on the rear.
[00:04:18.680 --> 00:04:19.520]   But I've got to say,
[00:04:19.520 --> 00:04:22.040]   there's a little bit more ventilation throughout
[00:04:22.040 --> 00:04:23.880]   on the WD MyCloud.
[00:04:23.880 --> 00:04:26.040]   Additionally, the drives,
[00:04:26.040 --> 00:04:28.000]   once you try to install them in the two ones that you j,
[00:04:28.000 --> 00:04:30.160]   you have to dismantle the unit ever so slightly
[00:04:30.160 --> 00:04:31.560]   to slide those drives in,
[00:04:31.560 --> 00:04:34.120]   whereas with the WD MyCloud EX2,
[00:04:34.120 --> 00:04:36.640]   there is a little bit more of a hot-swapping ability there
[00:04:36.640 --> 00:04:38.200]   with the drives sliding through the two,
[00:04:38.200 --> 00:04:41.000]   but I don't advise hot-swapping on this device as such.
[00:04:41.000 --> 00:04:44.720]   But just for those ports and the physicality
[00:04:44.720 --> 00:04:46.120]   and the ventilation through the device,
[00:04:46.120 --> 00:04:47.640]   and the fact that the WD MyCloud,
[00:04:47.640 --> 00:04:49.200]   I know you can't really tell on the screen there,
[00:04:49.200 --> 00:04:50.920]   is quintessentially smaller.
[00:04:50.920 --> 00:04:52.480]   If you look at the unboxing video for both,
[00:04:52.480 --> 00:04:55.560]   you can see that they are smaller, the WD.
[00:04:55.560 --> 00:04:58.400]   I've got to give this round also to the WD,
[00:04:58.400 --> 00:05:00.140]   which is surprising even to me.
[00:05:00.140 --> 00:05:04.480]   Now, both of them have got their own software on board,
[00:05:04.480 --> 00:05:07.920]   the NAS software on the Synology, the DSM 5.2,
[00:05:07.920 --> 00:05:10.680]   whereas WD have got their own native OS on there,
[00:05:10.680 --> 00:05:12.480]   but it's not updated anywhere near as much,
[00:05:12.480 --> 00:05:14.240]   and straight away, in terms of software,
[00:05:14.240 --> 00:05:15.880]   louder rumble you're gonna hear in the video.
[00:05:15.880 --> 00:05:18.840]   The software options, the bigger and better software options
[00:05:18.840 --> 00:05:21.880]   are, is superior on the Synology,
[00:05:21.880 --> 00:05:23.520]   but we'll get to that more later on.
[00:05:23.520 --> 00:05:27.440]   And they both use an EXT4 file system internally.
[00:05:27.440 --> 00:05:32.320]   Now, with regards to use, the WD is nowhere near as diverse
[00:05:32.320 --> 00:05:35.120]   as the Synology in terms of apps and ability.
[00:05:35.120 --> 00:05:36.960]   It handles, it should be said, though,
[00:05:36.960 --> 00:05:39.000]   it does handle traditional NAS needs,
[00:05:39.000 --> 00:05:42.400]   as mentioned earlier in the video, very, very well,
[00:05:42.400 --> 00:05:45.520]   and in many respects, superior to the Synology.
[00:05:45.520 --> 00:05:49.880]   The DLNA media sharing, it communicated with my PS4
[00:05:49.880 --> 00:05:51.800]   a lot better than the Synology.
[00:05:51.800 --> 00:05:53.800]   It sort of popped up immediately and integrated
[00:05:53.800 --> 00:05:56.640]   and accessed those directly, and the files were distributed
