
[00:00:00.000 --> 00:00:04.040]  教會給我的經文是在啟示錄
[00:00:04.040 --> 00:00:06.360]  知道大家一直在看啟示錄
[00:00:06.360 --> 00:00:08.680]  今天是門訓的崇拜
[00:00:08.680 --> 00:00:10.960]  經文的部分我就不跟大家讀了
[00:00:10.960 --> 00:00:13.760]  因為我知道我的時間是35分鐘
[00:00:13.760 --> 00:00:19.080]  我就把時間開始今天的分享
[00:00:19.080 --> 00:00:22.360]  一開始的時間我想問一下大家
[00:00:22.360 --> 00:00:25.680]  你有沒有試過在WhatsApp裏面見到一些見證呢
[00:00:25.680 --> 00:00:27.680]  應該很多人都試過的
[00:00:27.680 --> 00:00:30.240]  有些見證是特別的感人的
[00:00:30.240 --> 00:00:32.640]  特別的見證分享
[00:00:32.640 --> 00:00:33.840]  你可能很感動
[00:00:33.840 --> 00:00:35.360]  你接著會做些什麼
[00:00:35.360 --> 00:00:37.680]  你可能會發一些emoji
[00:00:37.680 --> 00:00:39.440]  可能發一些心心
[00:00:39.440 --> 00:00:41.360]  可能祈禱的手
[00:00:41.360 --> 00:00:43.280]  但是你又回想一下
[00:00:43.280 --> 00:00:46.000]  幾分鐘過後你又在做些什麼呢
[00:00:46.000 --> 00:00:48.640]  這一篇很精彩的見證
[00:00:48.640 --> 00:00:50.760]  當下很激動
[00:00:50.760 --> 00:00:53.080]  但回到現實又如何
[00:00:53.080 --> 00:00:56.120]  見證很多時候又變回我們自己的老樣子
[00:00:56.120 --> 00:00:59.840]  這個很多時候是信徒的真實寫照
[00:00:59.840 --> 00:01:03.640]  我們的城市很急速地進行
[00:01:03.640 --> 00:01:07.160]  每天可能在工作、在學業、在家庭的壓力
[00:01:07.160 --> 00:01:09.160]  我們都在跟著跑
[00:01:09.160 --> 00:01:10.040]  很辛苦
[00:01:10.040 --> 00:01:12.040]  有時候信仰就好像是
[00:01:12.040 --> 00:01:14.720]  我們說的崇拜的事
[00:01:14.720 --> 00:01:17.400]  崇拜可能是星期六、星期日
[00:01:17.400 --> 00:01:18.400]  但隔了一天
[00:01:18.400 --> 00:01:20.920]  星期一的時間你又如何呢
[00:01:20.920 --> 00:01:24.080]  你是不是回到你的生活當中
[00:01:24.080 --> 00:01:26.680]  你是不是這些見證、這些分享
[00:01:26.680 --> 00:01:28.400]  有時候聽聽就算了
[00:01:28.400 --> 00:01:29.400]  如果你放在心裡
[00:01:29.400 --> 00:01:31.160]  我會為你感恩
[00:01:31.160 --> 00:01:32.520]  如果不是的話
[00:01:32.520 --> 00:01:35.400]  我想今天的經文也有一種提醒
[00:01:35.400 --> 00:01:38.880]  提醒我們原來見證是很震撼的
[00:01:38.880 --> 00:01:40.080]  好像今天的經文裡面
[00:01:40.080 --> 00:01:41.840]  有兩個使者
[00:01:41.840 --> 00:01:44.840]  可能是兩個門徒或信徒
[00:01:44.840 --> 00:01:47.640]  神派他們去做見證
[00:01:47.640 --> 00:01:49.640]  在世界很紛亂的時間
[00:01:49.640 --> 00:01:51.880]  同時間他們做見證
[00:01:51.880 --> 00:01:54.200]  他們的生命被剝奪了
[00:01:54.200 --> 00:01:55.840]  最後神又復活他們
[00:01:55.840 --> 00:01:58.320]  裡面有很精彩的故事
[00:01:58.320 --> 00:02:00.320]  好像看科幻電影
[00:02:00.320 --> 00:02:01.760]  有怪獸
[00:02:01.760 --> 00:02:04.160]  又有英雄式噴火
[00:02:04.160 --> 00:02:05.720]  可以叫做天不下雨
[00:02:05.720 --> 00:02:07.240]  很多當中
[00:02:07.240 --> 00:02:09.000]  希望大家回到家之後
[00:02:09.000 --> 00:02:10.360]  都看看經文
[00:02:10.360 --> 00:02:12.440]  今天經文裡面說出
[00:02:12.440 --> 00:02:14.040]  真正的見證
[00:02:14.040 --> 00:02:17.040]  不是停留在感動的層次
[00:02:17.040 --> 00:02:18.400]  而是要去轉化
[00:02:18.400 --> 00:02:19.920]  要轉化這個世界
[00:02:19.920 --> 00:02:21.920]  要成為一種行動的動力
[00:02:21.920 --> 00:02:23.800]  就好像這兩個見證人
[00:02:23.800 --> 00:02:25.440]  他們勇敢地走出去
[00:02:25.440 --> 00:02:27.920]  他們知道他們的生命是很危險的
[00:02:27.920 --> 00:02:28.760]  但他們知道
[00:02:28.760 --> 00:02:31.760]  他們要做一件神託付他們做的事
[00:02:31.760 --> 00:02:33.840]  知道世界在混亂中
[00:02:33.840 --> 00:02:36.280]  但他們仍然要去面對
[00:02:36.280 --> 00:02:37.840]  今天題目叫做
[00:02:37.840 --> 00:02:42.560]  「但遵神旨,莫問前程,勇作見證」
