
[00:00:00.000 --> 00:00:02.920]  Good morning 早晨 大家好
[00:00:02.920 --> 00:00:06.840]  今天我們就開始一個新的sermon series
[00:00:06.840 --> 00:00:10.640]  我們就會讀《創世記》
[00:00:10.640 --> 00:00:14.880]  Who's read the book of Genesis before?
[00:00:14.880 --> 00:00:17.800]  OK 誰在教會長大的?
[00:00:17.800 --> 00:00:20.360]  OK 我也是在教會長大的
[00:00:20.360 --> 00:00:22.520]  我在香港出生
[00:00:22.520 --> 00:00:25.000]  但是我五歲就去了加拿大
[00:00:25.000 --> 00:00:30.120]  我一樣是在華人教會長大的
[00:00:30.120 --> 00:00:33.840]  叫做Logos Baptist Church Mississauga
[00:00:33.840 --> 00:00:36.240]  在西側的多倫多
[00:00:36.240 --> 00:00:38.160]  你在教會長大
[00:00:38.160 --> 00:00:40.640]  你就好像一個泡沫
[00:00:40.640 --> 00:00:42.960]  每個人都很關心你
[00:00:42.960 --> 00:00:46.160]  你的信仰系統是神愛你
[00:00:46.160 --> 00:00:48.080]  神創造世界
[00:00:48.080 --> 00:00:49.640]  耶穌為你死
[00:00:49.640 --> 00:00:51.680]  這個Christian bubble
[00:00:51.680 --> 00:00:55.600]  誰覺得他是一個Christian bubble去長大的
[00:00:55.600 --> 00:00:58.080]  是一個很大的分別
[00:00:58.080 --> 00:01:02.400]  你在一個Christian的家庭長大
[00:01:02.400 --> 00:01:04.400]  信仰系統是很不同的
[00:01:04.400 --> 00:01:07.200]  跟一個Christian的家庭相比
[00:01:07.200 --> 00:01:10.120]  我爸爸是牧師
[00:01:10.120 --> 00:01:13.800]  其實他在下幾個星期會在中文課講到
[00:01:13.800 --> 00:01:20.560]  我在一個牧師家庭長大
[00:01:20.560 --> 00:01:23.560]  更加有不同的信仰
[00:01:23.560 --> 00:01:26.080]  impose on me
[00:01:26.080 --> 00:01:28.440]  所以我一到了大學
[00:01:28.440 --> 00:01:29.400]  這個在哪裡?
[00:01:29.400 --> 00:01:32.280]  這個是什麼大學?有人知道嗎?
[00:01:32.280 --> 00:01:34.560]  多倫多大學U of T
[00:01:34.560 --> 00:01:36.480]  我一進到多倫多大學
[00:01:36.480 --> 00:01:38.320]  Oh my eyes were open
[00:01:38.320 --> 00:01:40.080]  OK my eyes were open
[00:01:40.080 --> 00:01:40.680]  Next slide
[00:01:40.680 --> 00:01:42.880]  我一進去一個
[00:01:42.880 --> 00:01:46.400]  Science或者Biology的課程
[00:01:46.400 --> 00:01:53.240]  那個教授就很反對Creationism
[00:01:53.240 --> 00:01:58.120]  你們學校有沒有Biology teacher很反對Creationism?
[00:01:58.120 --> 00:02:03.280]  你們高中的教授可能都很反對Creationism
[00:02:03.280 --> 00:02:08.960]  我們的教授是笑Creationist那些人
[00:02:08.960 --> 00:02:09.920]  They are laughing at them
[00:02:09.920 --> 00:02:11.520]  他們很反對Creationism
[00:02:11.520 --> 00:02:20.120]  他們很強調這個世界是Evolution自己Formed itself
[00:02:20.120 --> 00:02:22.120]  所以我一進大學
[00:02:22.120 --> 00:02:24.440]  我看到很多不同的Beliefs
[00:02:24.440 --> 00:02:25.920]  有很多Atheist
[00:02:25.920 --> 00:02:27.080]  就是不相信的那些
[00:02:27.080 --> 00:02:28.680]  有些Agnostic
[00:02:28.680 --> 00:02:30.320]  就是不知道有沒有神
[00:02:30.320 --> 00:02:32.320]  我也不在乎的
[00:02:32.320 --> 00:02:35.600]  很多不同的Agnostic和Atheist
[00:02:35.600 --> 00:02:39.000]  都是很反對有這個Creationism
[00:02:39.000 --> 00:02:40.360]  這個Theory的
[00:02:40.360 --> 00:02:42.720]  今天我們看《創世紀》
[00:02:42.720 --> 00:02:47.080]  《創世紀》教我們神如何創造這個世界
[00:02:47.080 --> 00:02:48.720]  How was the world formed?
[00:02:48.720 --> 00:02:50.320]  我們會看三樣東西
[00:02:50.320 --> 00:02:51.920]  Three major things
[00:02:51.920 --> 00:02:54.920]  第一是Trinity
[00:02:54.920 --> 00:02:57.400]  第二是Cosmology
[00:02:57.400 --> 00:02:59.520]  第三是Humanity
[00:02:59.520 --> 00:03:00.000]  OK
[00:03:00.000 --> 00:03:04.400]  Trinity, Cosmology, and Humanity
[00:03:04.400 --> 00:03:07.000]  首先我們會讀《創世紀》
[00:03:07.000 --> 00:03:09.280]  Let's read the next passage together
[00:03:10.360 --> 00:03:14.960]  (國神創造天地,地是空虛混沌)
[00:03:14.960 --> 00:03:19.840]  (軟弦壓壓,神的靈魂合在水面上)
[00:03:19.840 --> 00:03:23.400]  (神說要有光,就要有火)
[00:03:23.400 --> 00:03:28.440]  (國神創造地是無力,有化而光芒紛紛圍)
