
[00:00:00.000 --> 00:00:02.000]   Thank you, Pastor John.
[00:00:02.000 --> 00:00:07.000]   We're continuing our series on the book of Ezekiel.
[00:00:07.000 --> 00:00:10.200]   And who's enjoyed the series so far?
[00:00:10.200 --> 00:00:11.300]   Yeah, that's good.
[00:00:11.300 --> 00:00:12.800]   Okay, some of you haven't read it yet,
[00:00:12.800 --> 00:00:14.900]   so haven't enjoyed it yet.
[00:00:14.900 --> 00:00:16.000]   It's all good.
[00:00:16.000 --> 00:00:18.200]   Today, the life, the topic is,
[00:00:18.200 --> 00:00:20.900]   is life a dead-end street?
[00:00:20.900 --> 00:00:24.500]   And Pastor John last week spoke on chapter five,
[00:00:24.500 --> 00:00:26.300]   and he spoke on three sort of main points.
[00:00:26.300 --> 00:00:29.100]   Don't rob God, don't rob others,
[00:00:29.100 --> 00:00:30.800]   don't rob yourself.
[00:00:30.800 --> 00:00:34.100]   And he talked about these illusions of wealth, right?
[00:00:34.100 --> 00:00:36.500]   Illusions, things that aren't really true,
[00:00:36.500 --> 00:00:37.700]   aren't really there.
[00:00:37.700 --> 00:00:39.300]   If you watch Spider-Man, Far From Home,
[00:00:39.300 --> 00:00:42.400]   there's a lot of illusions there, right?
[00:00:42.400 --> 00:00:45.800]   Wealth brings satisfaction, that's an illusion.
[00:00:45.800 --> 00:00:48.300]   Wealth solves all problems.
[00:00:48.300 --> 00:00:50.900]   Wealth brings peace of mind.
[00:00:50.900 --> 00:00:53.600]   Wealth brings security.
[00:00:53.600 --> 00:00:56.100]   These were the different illusions
[00:00:56.100 --> 00:00:59.600]   that Pastor John talked about last week.
[00:00:59.600 --> 00:01:03.300]   And the preacher continues in chapter six.
[00:01:03.300 --> 00:01:06.600]   He talks about this problem
[00:01:06.600 --> 00:01:09.000]   that we have in this world.
[00:01:09.000 --> 00:01:10.600]   And if you see the next slide,
[00:01:10.600 --> 00:01:12.700]   the problem a lot of us have
[00:01:12.700 --> 00:01:17.700]   is that we think the grass is greener on the other side,
[00:01:17.700 --> 00:01:20.700]   literally greener on the other side.
[00:01:20.700 --> 00:01:23.100]   You know, I'm from Canada,
[00:01:23.100 --> 00:01:25.600]   and I often have people that come up to me
[00:01:25.600 --> 00:01:29.500]   and say, "Oh, Canada, it's such a great place.
[00:01:29.500 --> 00:01:31.700]   "I really want to go there.
[00:01:31.700 --> 00:01:33.600]   "You know, it's like the Promised Land,
[00:01:33.600 --> 00:01:35.600]   "flowing with milk and honey."
[00:01:35.600 --> 00:01:39.600]   And I'm like, "Yeah, Canada has its good and its bad,
[00:01:39.600 --> 00:01:43.300]   "but Hong Kong also has its good and its bad.
[00:01:43.300 --> 00:01:45.700]   "Is grass really greener in Canada?
[00:01:45.700 --> 00:01:49.300]   "Well, maybe not in winter.
[00:01:49.300 --> 00:01:52.100]   "You can't see the grass.
[00:01:52.100 --> 00:01:57.100]   "It's probably very yellow, just like this, under the snow."
[00:01:57.100 --> 00:02:00.800]   The problem in this world right now that we have
[00:02:00.800 --> 00:02:06.100]   is that we think the grass is often greener on the other side.
[00:02:06.100 --> 00:02:10.100]   There's a question on the next slide, and it says this.
