
[00:00:00.000 --> 00:00:04.000]  (主持)
[00:00:04.000 --> 00:00:11.000]  今天我們繼續到關於提多書的書卷的教導部分
[00:00:11.000 --> 00:00:14.000]  我相信之前對我們很多人來說
[00:00:14.000 --> 00:00:19.000]  都可能聽過很多道德的吩咐或者教導
[00:00:19.000 --> 00:00:25.000]  上次教父在上星期跟我們說過耶穌基督的救恩是怎樣
[00:00:25.000 --> 00:00:37.000]  今天我們所說的內容就是到底我們的信仰怎樣活出在我們的生活裏面
[00:00:37.000 --> 00:00:41.000]  當然除了叫你守規矩之外
[00:00:41.000 --> 00:00:44.000]  當然不止這樣 當然守規矩是很重要的
[00:00:44.000 --> 00:00:48.000]  我想我前面這班中一的同學去年已經跟了我一年了
[00:00:48.000 --> 00:00:50.000]  知道我想要些什麼
[00:00:50.000 --> 00:00:56.000]  所以保羅在說這本書的時候其實他對教會也有他的吩咐
[00:00:56.000 --> 00:00:59.000]  今天我們會討論到第三章一至十一節
[00:00:59.000 --> 00:01:03.000]  亦都是保羅在這本書裏面最後一個教導的部分
[00:01:03.000 --> 00:01:06.000]  如果按照次序嚴格來說
[00:01:06.000 --> 00:01:10.000]  第一至二節是討論教會對外的見證
[00:01:10.000 --> 00:01:14.000]  即是待會會說到對所有人的見證
[00:01:14.000 --> 00:01:20.000]  而三至七節就是保羅又再一次用耶穌基督的救恩
[00:01:20.000 --> 00:01:25.000]  怎樣轉化我們作為一個支持或者是一個提醒
[00:01:25.000 --> 00:01:33.000]  而最後三章八至十一節就是討論如果在教會裏面有人引起紛爭
[00:01:33.000 --> 00:01:35.000]  甚至用經文的用字
[00:01:35.000 --> 00:01:39.000]  他說「分門結黨」的時候要怎樣做
[00:01:39.000 --> 00:01:43.000]  其實這樣聽好像這三段是個別的重點
[00:01:43.000 --> 00:01:45.000]  但如果連在一起看的時候
[00:01:45.000 --> 00:01:52.000]  我們就知道其實保羅想說耶穌的救恩是應該轉化我們的時候
[00:01:52.000 --> 00:01:55.000]  是讓我們做最後整個群體
[00:01:55.000 --> 00:01:59.000]  我們整個教會作為一個見證要怎樣去做
[00:01:59.000 --> 00:02:04.000]  這個亦都是呼應Pastor Gavin上星期提到耶穌基督的福音
[00:02:04.000 --> 00:02:06.000]  怎樣去轉變我們的地方
[00:02:06.000 --> 00:02:11.000]  所以按照一個次序今天會有少少的倒轉
[00:02:11.000 --> 00:02:15.000]  我們先討論保羅所說的耶穌的救恩基礎
[00:02:15.000 --> 00:02:18.000]  即是三章三至七節的內容
[00:02:18.000 --> 00:02:24.000]  先說到底耶穌怎樣令我們的群體得著改變或者指引
[00:02:24.000 --> 00:02:28.000]  所以第一點其實今天討論的就是
[00:02:28.000 --> 00:02:33.000]  耶穌的救恩本身應該是在我們的生命裏面發揮作用
[00:02:33.000 --> 00:02:38.000]  是應該讓我們能夠突破我們的盲點
[00:02:38.000 --> 00:02:42.000]  突破我們生命裏面有限制的地方
