
[00:00:00.000 --> 00:00:15.000]  我們很感謝安修恩說我們剛才的敬拜,也幫助我們把焦點轉向耶穌那裡。
[00:00:15.000 --> 00:00:31.000]  今天我們講道的主題是耶穌,其實我們每個星期都會講耶穌,但是今天開始我們會開始一個新的講道系列。
[00:00:31.000 --> 00:00:48.000]  在今天開始直到復活節之前,我們會想和大家一起透過耶穌的生平去思考。不知道大家知不知道上星期三是一年一度的一個很特別的日子。
[00:00:48.000 --> 00:01:06.000]  上星期三是今年的大齋期開始的日子。去年我們有講過一個關於大齋期的系列,我知道有些新來的探索者,特別是S1的Boys and Girls,
[00:01:06.000 --> 00:01:20.000]  或者有些你記憶不太清楚的人,我們簡單重溫一下什麼是大齋期。大齋期其實是教會傳統裡面,由耶穌進入耶路撒冷,到耶穌釘在十字架中間,
[00:01:20.000 --> 00:01:31.000]  其實這四十天是用來幫助我們思想耶穌的生平,耶穌在耶路撒冷所做,和耶穌怎樣為我們犧牲。
[00:01:31.000 --> 00:01:41.000]  通常這四十天的長度叫做Lent,我們去年介紹過在大齋期裡面有些教會傳統的信仰實踐,
[00:01:41.000 --> 00:01:49.000]  無論是禁食、祈禱、讀經等等,其實都是一些我們在這段時間可以做的事情。
[00:01:49.000 --> 00:02:02.000]  今年我們會嘗試從另一個角度,從耶穌在他人生最後一個星期,由進入耶路撒冷,到他被釘在十字架上的這個星期,
[00:02:02.000 --> 00:02:12.000]  其實發生了很多事情,如果我們小時候有兒童主日學,我們有聽過福音書的內容,多數我們都會聽過某些段落。
[00:02:12.000 --> 00:02:24.000]  接下來這幾個星期,希望我們都可以在大齋期裡面,正如教會傳統的節日所做的一樣,我們真的去思想耶穌的生平。
[00:02:24.000 --> 00:02:33.000]  我想在這段時間講這些信息,特別會對我們有些地方有共鳴,或者一些想法。
[00:02:33.000 --> 00:02:47.000]  正如剛才Maurice所說,今天我們所身處的處境、環境裡面都面對很多壓力,甚至我們自己都受著環境、疫情等等很多的影響,
[00:02:47.000 --> 00:02:56.000]  好像是新的影響我們的時候,我們更加需要重回耶穌的生平裡面,去幫助我們思考如何去面對這些困難。
[00:02:56.000 --> 00:03:04.000]  今天我們會看第一個片段,今天選的第一個片段就是耶穌進入聖城的有實眼。
[00:03:04.000 --> 00:03:09.000]  所以今天的講題就是一個好像叫榮耀入城的耶穌。
[00:03:09.000 --> 00:03:19.000]  但是這個榮耀可能跟我們很多人,或者很多未信的人,他們所想的榮耀是有一點的分別。
[00:03:19.000 --> 00:03:23.000]  所以今天我們希望透過這個段落,幫助我們有些思考。
[00:03:23.000 --> 00:03:33.000]  經文是記載在路加福音19章的29至40節左右。
[00:03:33.000 --> 00:03:43.000]  其實在路加福音這裡,19章到之後的24章,就是耶穌最後一個星期在耶路撒冷發生的事情。
[00:03:43.000 --> 00:03:53.000]  通常教會會叫這個星期Holy Week,就是聖週,就是耶穌在這個星期裡面發生很多的事情。
[00:03:53.000 --> 00:04:03.000]  如果你有興趣看福音書,你會發現這個星期的內容其實佔了福音書很長的篇幅,往往是佔了幾章的內容那麼長。
[00:04:03.000 --> 00:04:07.000]  今天我們看的段落就是關於耶穌進入城的段落。
[00:04:07.000 --> 00:04:20.000]  在路加福音19章29節裡面,講到耶穌和祂的門徒已經去到八伯期和八大尼的地方附近,有一個叫做夾冷山的地方。
[00:04:20.000 --> 00:04:33.000]  夾冷山其實是在耶路撒冷不遠的地方,我記得幾年前去過以色列,夾冷山大概是十多分鐘的車程左右,離市中心十多二十分鐘車程左右。
[00:04:33.000 --> 00:04:39.000]  其實可以看到整個耶路撒冷,只要你上到山上,你會看到整個耶路撒冷。
[00:04:39.000 --> 00:04:49.000]  在經文裡面就說,當耶穌到了這個山的時候,就叫門徒去找一匹驢給祂騎。
[00:04:49.000 --> 00:04:54.000]  這個在四卷福音書也有很明確寫到這個段落。
[00:04:54.000 --> 00:04:57.000]  我們想為什麼會找一匹驢去騎呢?
[00:04:57.000 --> 00:05:03.000]  入城就是入城,走進去就是入城,為什麼要找一匹驢呢?
