
[00:00:00.000 --> 00:00:08.000]  (MC) 定子會平安,多謝施班為我們獻唱一首詩歌,萬物都有定時。
[00:00:08.000 --> 00:00:13.000]  對我們香港人來說是特別深刻,在過去一個星期裏,我們經常說,
[00:00:13.000 --> 00:00:21.000]  好像這首詩歌裏面可能都說,打風有時,曬到窿都有時,可能在我們的場景裏面,
[00:00:21.000 --> 00:00:30.000]  我們都會特別在近期,我想大家一定很關心風暴的影響,一些消息,
[00:00:30.000 --> 00:00:36.000]  香港特別在這次刮這麼大風的裏面,我想大家都很關心這些新聞,
[00:00:36.000 --> 00:00:43.000]  我也很喜歡每次在風暴裏面都特別去留心一些新聞,或者一些和風暴有關的消息,
[00:00:43.000 --> 00:00:47.000]  我心想我們當中很多都會,周不時都會看電視,
[00:00:47.000 --> 00:00:53.000]  當然其中一個最深刻,或者最容易人們去留心的就是恆花村,
[00:00:53.000 --> 00:01:02.000]  那個浪有多大,遇到每次風暴的時候,電視一定會出這個所謂的新聞,
[00:01:02.000 --> 00:01:06.000]  另一個可能你想到的又是什麼呢?可能都是一些倒樹的新聞,
[00:01:06.000 --> 00:01:11.000]  應該都會有,香港這麼多棵樹,每次刮大風的時候都會倒樹,
[00:01:11.000 --> 00:01:20.000]  但有一個新聞我怎麼猜都猜不到,可能你還會猜,可能是誰家的屋頂飛了,或者是窗戶爆了等等,
[00:01:20.000 --> 00:01:26.000]  但你怎麼猜都猜不到會突然間有一個很厲害的浪,
[00:01:26.000 --> 00:01:33.000]  一下子撞上一間很出名的海洋公園的酒店,變成海洋酒店的情況,
[00:01:33.000 --> 00:01:42.000]  很突發的福利敦的新聞,我看到的時候,你猜他都猜不到,
[00:01:42.000 --> 00:01:51.000]  你猜很多其他可能性,我怎麼猜都猜不到這個酒店會突然間,還來得及,浪一下子撞上去,
[00:01:51.000 --> 00:01:57.000]  我想這個和我們今天看的經文很相似,都是突然間來的,
[00:01:57.000 --> 00:02:03.000]  一間很厲害的酒店突然間,一個浪來都會產生很大的破壞,
[00:02:03.000 --> 00:02:08.000]  一個我們今天看的經文在第十八章的第一節,我們一起來讀好不好,
