
[00:00:00.000 --> 00:00:01.760]  教姊妹平安
[00:00:01.760 --> 00:00:04.640]  感謝神我們也許能夠聽神的話語
[00:00:04.640 --> 00:00:07.120]  讓我們真的是懷著感恩的心
[00:00:07.120 --> 00:00:10.200]  繼續來聆聽祂對我們說的話
[00:00:10.200 --> 00:00:15.360]  上一次我們講到數學來看神的智慧
[00:00:15.360 --> 00:00:19.840]  我們一開始就看到這個世界是極其的不穩定
[00:00:19.840 --> 00:00:24.080]  那麼我們也看到一個問題就是哪裡才有穩定呢?
[00:00:24.080 --> 00:00:27.640]  當然我們知道只有永恆不變的上帝
[00:00:27.640 --> 00:00:30.360]  才是人生真正的依靠
[00:00:30.360 --> 00:00:34.080]  那麼從那裡我們就看到上帝的創造裡面
[00:00:34.080 --> 00:00:36.280]  有一樣東西是非常穩定的
[00:00:36.280 --> 00:00:38.120]  就是數學
[00:00:38.120 --> 00:00:41.720]  有人說數學是上帝創造最美的語言
[00:00:41.720 --> 00:00:45.480]  因為它有它的不變性
[00:00:45.480 --> 00:00:47.160]  它的規律
[00:00:47.160 --> 00:00:50.920]  它的自證的一些axiom
[00:00:50.920 --> 00:00:53.640]  1+1=2 就是1+1=2
[00:00:53.640 --> 00:00:55.160]  它有不變的
[00:00:55.160 --> 00:01:00.880]  我們從上次第一講是看到0+0=0
[00:01:00.880 --> 00:01:05.080]  我們看到的就是加拉太書六章七節
[00:01:05.080 --> 00:01:08.320]  人種的是什麼 收的也是什麼
[00:01:08.320 --> 00:01:11.440]  上次我們一起聽到的時候 我們彼此提醒
[00:01:11.440 --> 00:01:14.440]  我們真的是不要期望得到一些結果
[00:01:14.440 --> 00:01:17.120]  然後沒有付出任何的努力
[00:01:17.120 --> 00:01:21.400]  所以上帝給了我們各樣的資源 機會
[00:01:21.400 --> 00:01:25.000]  0+0=0 你要加那個1進去
[00:01:25.000 --> 00:01:28.760]  那麼所以最後在上一講的時候
[00:01:28.760 --> 00:01:32.000]  我結束的時候 給大家一起做一個反省
[00:01:32.000 --> 00:01:33.840]  就是五年後
[00:01:33.840 --> 00:01:37.000]  你希望自己在生命中收割什麼
[00:01:37.000 --> 00:01:40.680]  的品格 關係 還有屬靈果子
[00:01:40.680 --> 00:01:45.680]  你今天正在為這個收成 殺下怎樣的種子
[00:01:45.680 --> 00:01:49.160]  第二 如果你繼續以目前的方式來生活
[00:01:49.160 --> 00:01:52.480]  一年後你會自然收割什麼
[00:01:52.480 --> 00:01:56.800]  我們的不作為 也會有一些自然收割
[00:01:56.800 --> 00:01:59.680]  第三 如果你有清楚的目標
[00:01:59.680 --> 00:02:03.080]  有什麼一小步是你可以做的呢?
[00:02:03.080 --> 00:02:08.320]  胖胖上一次講到 能夠讓上帝激勵我們
[00:02:08.320 --> 00:02:10.280]  哪怕是做出那一小步
[00:02:10.280 --> 00:02:13.320]  你會詫異 原來那一小步開始
[00:02:13.320 --> 00:02:16.880]  可能帶動你做那接下來的364步
[00:02:16.880 --> 00:02:19.160]  你一年後就不一樣了
[00:02:19.160 --> 00:02:23.760]  那麼今天第二講 我們要講這個對等規律
[00:02:23.760 --> 00:02:26.480]  今天要看的經文就大家一起念的
[00:02:26.480 --> 00:02:29.600]  你們願意人怎樣待你們
