
[00:00:00.000 --> 00:00:07.600]  上星期我們一起看了真正的Blessing的意思
[00:00:07.600 --> 00:00:10.600]  我們回到天國的白福去看
[00:00:10.600 --> 00:00:16.120]  上帝給我們看什麼人是有福
[00:00:16.120 --> 00:00:21.000]  顛覆了我們平時的想法 應該是很不同的
[00:00:21.000 --> 00:00:28.600]  今天我們會講關於安息的一個話題
[00:00:28.600 --> 00:00:32.400]  我想問問 做一個迷你調查
[00:00:32.400 --> 00:00:38.400]  當你聽到安息這個字 你會覺得你的感覺是正面的
[00:00:38.400 --> 00:00:41.400]  舉手給我看看 你聽到安息這個字 你的感覺是正面的
[00:00:41.400 --> 00:00:44.400]  哦 很少人啊
[00:00:44.400 --> 00:00:48.600]  你覺得是偏負面的 安息這個字比較負面
[00:00:48.600 --> 00:00:52.000]  不要緊 你自己的感覺而已
[00:00:52.000 --> 00:00:53.600]  No right or wrong
[00:00:53.600 --> 00:00:57.200]  哦 OK 都是偏正面的
[00:00:57.200 --> 00:01:02.800]  當我們聽到安息這個字 可能大家也有不同的想法
[00:01:02.800 --> 00:01:08.800]  在基督教裡我們比較常聽到安息禮
[00:01:08.800 --> 00:01:14.800]  當我們身邊有人去世的時候 我們會有一個安息的禮儀紀念他
[00:01:14.800 --> 00:01:17.800]  我們心信我們會在天家跟他再遇
[00:01:17.800 --> 00:01:21.800]  安息也有另一個意思 就是休息
[00:01:21.800 --> 00:01:24.800]  一個可以recharge 可以睡覺
[00:01:24.800 --> 00:01:28.800]  誰在新年睡多過10個小時
[00:01:28.800 --> 00:01:32.800]  哇 我看到Maurice沒有懷疑地舉手
[00:01:32.800 --> 00:01:36.800]  其他人不是的 其他人睡了多少小時
[00:01:36.800 --> 00:01:38.800]  Gabriel睡了多少
[00:01:38.800 --> 00:01:40.800]  10個小時以上
[00:01:40.800 --> 00:01:44.800]  其他人就10個小時沒有了 6個小時
[00:01:44.800 --> 00:01:48.800]  其他DSE的朋友應該也很努力運輸
[00:01:48.800 --> 00:01:51.800]  看來沒有人舉手睡多過10個小時
[00:01:51.800 --> 00:01:54.800]  我們為你們祈禱多一點
[00:01:54.800 --> 00:01:58.800]  也有人聽到安息這個字的時候會覺得
[00:01:58.800 --> 00:02:01.800]  要靜下來 要休息
[00:02:01.800 --> 00:02:07.800]  誰覺得不可以宅在家裡 誰要外出玩
[00:02:07.800 --> 00:02:12.800]  沒有Uncle Maurice 只有Uncle Maurice要外出玩
[00:02:12.800 --> 00:02:14.800]  我也喜歡外出玩
[00:02:14.800 --> 00:02:17.800]  但是安息的意思我們可能也會
[00:02:17.800 --> 00:02:20.800]  其實我們在聖經裡的意思是偏向正面的
[00:02:20.800 --> 00:02:22.800]  是一個rest
[00:02:22.800 --> 00:02:25.800]  我們今天會看多一點究竟這個安息
[00:02:25.800 --> 00:02:28.800]  是怎樣的意思在聖經裡
[00:02:28.800 --> 00:02:31.800]  在聖經裡有不同的人有不同的看法
[00:02:31.800 --> 00:02:32.800]  關於安息
[00:02:32.800 --> 00:02:34.800]  當我們聽到安息的時候
[00:02:34.800 --> 00:02:37.800]  我們要止息我們手上所做的事
[00:02:37.800 --> 00:02:41.800]  當我們星期天是我們休息的時間
[00:02:41.800 --> 00:02:45.800]  有沒有人星期天是完全不溫習的
[00:02:45.800 --> 00:02:47.800]  不碰你的筆記
[00:02:47.800 --> 00:02:50.800]  哇 很勤力啊
[00:02:50.800 --> 00:02:53.800]  很勤力 全部都碰筆記
[00:02:53.800 --> 00:02:55.800]  全部都會溫習的
[00:02:55.800 --> 00:02:59.800]  星期天很尊敬
[00:02:59.800 --> 00:03:03.800]  另外安息是我們一個能夠喘息的空間
[00:03:03.800 --> 00:03:05.800]  平時的weekdays
[00:03:05.800 --> 00:03:09.800]  我們上學 放學 上課 放學
[00:03:09.800 --> 00:03:11.800]  做功課 做完功課再洗澡
[00:03:11.800 --> 00:03:14.800]  洗完澡 吃完飯再做功課
[00:03:14.800 --> 00:03:15.800]  多數都是這樣的
[00:03:15.800 --> 00:03:17.800]  大家的schedule
[00:03:17.800 --> 00:03:21.800]  最後可能打了幾部機就要睡覺了
[00:03:21.800 --> 00:03:25.800]  安息讓我們真的可以去break這個cycle
[00:03:25.800 --> 00:03:27.800]  我們去放下這些工作
[00:03:27.800 --> 00:03:29.800]  我們去做不同的事
[00:03:29.800 --> 00:03:31.800]  我們真的去公園走走
[00:03:31.800 --> 00:03:35.800]  去沙灘玩水
[00:03:35.800 --> 00:03:37.800]  不知道大家平時喜歡做什麼
[00:03:37.800 --> 00:03:39.800]  等一下有個位置可以討論
[00:03:39.800 --> 00:03:44.800]  所以其實安息是一個放鬆的感覺
[00:03:44.800 --> 00:03:47.800]  安息是一個放鬆的感覺
[00:03:47.800 --> 00:03:50.800]  安息在希伯來文
[00:03:50.800 --> 00:03:54.800]  在聖經裏面的意思
[00:03:54.800 --> 00:03:56.800]  其實跟我們剛才說的有點相似
[00:03:56.800 --> 00:03:59.800]  就是我們停了手頭上的工作
[00:03:59.800 --> 00:04:00.800]  我們等一下看
[00:04:00.800 --> 00:04:02.800]  聖經是很嚴厲的
[00:04:02.800 --> 00:04:03.800]  是真的叫你停
[00:04:03.800 --> 00:04:06.800]  你不可以拿筆記來看
[00:04:06.800 --> 00:04:12.800]  並且是一個分別出來給神的一天
[00:04:12.800 --> 00:04:17.800]  第二就是我們完成了一些東西
[00:04:17.800 --> 00:04:19.800]  我們完成了一些工作
[00:04:19.800 --> 00:04:21.800]  我們就去休息
[00:04:21.800 --> 00:04:23.800]  誰做完事一定會去休息的?
[00:04:23.800 --> 00:04:25.800]  看一下
[00:04:25.800 --> 00:04:29.800]  誰是喜歡休息完才去工作的?
[00:04:29.800 --> 00:04:30.800]  其實是一樣的
[00:04:30.800 --> 00:04:31.800]  你挑問題
[00:04:31.800 --> 00:04:32.800]  哈哈哈哈
[00:04:32.800 --> 00:04:33.800]  對啦
[00:04:33.800 --> 00:04:34.800]  你們很聰明
[00:04:34.800 --> 00:04:40.800]  然後就是讓我們去休息
[00:04:40.800 --> 00:04:42.800]  不停去重複這個字
[00:04:42.800 --> 00:04:47.800]  我們一起看看出埃及記的16章29節
[00:04:47.800 --> 00:04:50.800]  我們一起讀一下
[00:04:50.800 --> 00:04:51.800]  1、2、3
[00:04:51.800 --> 00:04:56.800]  你們看,耶和華記將安息日賜給你們
[00:04:56.800 --> 00:05:01.800]  所以第六天他賜給你們兩天的食物
[00:05:01.800 --> 00:05:04.800]  第七天,各人要住在自己的地方
[00:05:04.800 --> 00:05:07.800]  不許什麼人出去
[00:05:07.800 --> 00:05:08.800]  這是什麼意思呢?
[00:05:08.800 --> 00:05:14.800]  那時候魔西神帶領了以色列人去埃及的時候
[00:05:14.800 --> 00:05:16.800]  他們不是有7-11買東西吃的
[00:05:16.800 --> 00:05:18.800]  那些東西是怎樣來的?
[00:05:18.800 --> 00:05:19.800]  考考大家
[00:05:19.800 --> 00:05:22.800]  天跌下來的
[00:05:22.800 --> 00:05:24.800]  我聽到是Mana
[00:05:24.800 --> 00:05:26.800]  天跌下來有些Mana
[00:05:26.800 --> 00:05:29.800]  並且他的模式是第六天
[00:05:29.800 --> 00:05:31.800]  休息日之前
[00:05:31.800 --> 00:05:33.800]  他會跌兩份
[00:05:33.800 --> 00:05:37.800]  所以他第七天就不會讓他們出去找
[00:05:37.800 --> 00:05:41.800]  意思是安息日他們是不准出去的
[00:05:41.800 --> 00:05:43.800]  食物已經準備好
[00:05:43.800 --> 00:05:46.800]  前一天已經準備好給他們
[00:05:46.800 --> 00:05:49.800]  所以安息日他們是不出街的
[00:05:49.800 --> 00:05:52.800]  不出街又怎樣?
[00:05:52.800 --> 00:05:55.800]  你們覺得禮拜天不准出街又怎樣?
[00:05:55.800 --> 00:05:57.800]  很悶吧?
[00:05:57.800 --> 00:05:59.800]  我們再看下一頁
[00:05:59.800 --> 00:06:03.800]  我們一起讀完這16章23字
[00:06:03.800 --> 00:06:04.800]  1、2、3
[00:06:04.800 --> 00:06:06.800]  魔西對他們說
[00:06:06.800 --> 00:06:08.800]  耶和華這樣說
[00:06:08.800 --> 00:06:10.800]  明天是聖安息日
[00:06:10.800 --> 00:06:13.800]  是向耶和華守的聖安息日
[00:06:13.800 --> 00:06:16.800]  你們要敲的就敲了
[00:06:16.800 --> 00:06:18.800]  要煮的就煮了
[00:06:18.800 --> 00:06:21.800]  所剩下的都留到早晨
[00:06:21.800 --> 00:06:25.800]  他們就照魔西的吩咐留到早晨
[00:06:25.800 --> 00:06:28.800]  也不臭裡頭也沒有蟲子
[00:06:28.800 --> 00:06:30.800]  他跟他說
[00:06:30.800 --> 00:06:32.800]  安息日之前那一天
[00:06:32.800 --> 00:06:34.800]  要先燒好食物
[00:06:34.800 --> 00:06:36.800]  要先煮好食物
[00:06:36.800 --> 00:06:37.800]  試想像一下
[00:06:37.800 --> 00:06:39.800]  你禮拜天來church的時候
[00:06:39.800 --> 00:06:40.800]  不准買麥當勞
[00:06:40.800 --> 00:06:42.800]  你要前一天買好
[00:06:42.800 --> 00:06:43.800]  放在家裡
[00:06:43.800 --> 00:06:45.800]  第二天再吃
[00:06:45.800 --> 00:06:46.800]  不准煮
[00:06:46.800 --> 00:06:47.800]  不准重溫
[00:06:47.800 --> 00:06:49.800]  要吃然後回去
[00:06:49.800 --> 00:06:52.800]  大概就是這個意思
[00:06:52.800 --> 00:06:54.800]  安息日之前
[00:06:54.800 --> 00:06:56.800]  他就叫家庭要煮的
[00:06:56.800 --> 00:06:57.800]  要敲的
[00:06:57.800 --> 00:06:58.800]  全部都要做
[00:06:58.800 --> 00:07:00.800]  然後安息日的時候
[00:07:00.800 --> 00:07:02.800]  就不准煮食物
[00:07:02.800 --> 00:07:03.800]  剛才我們看到
[00:07:03.800 --> 00:07:05.800]  不准出去找食物
[00:07:05.800 --> 00:07:07.800]  這裡就不准煮食物
[00:07:07.800 --> 00:07:08.800]  所以
[00:07:08.800 --> 00:07:09.800]  丙石很有趣
[00:07:09.800 --> 00:07:10.800]  他主定
[00:07:10.800 --> 00:07:12.800]  第二天是不會變壞
[00:07:12.800 --> 00:07:14.800]  相信你的麥當勞餐
[00:07:14.800 --> 00:07:16.800]  第二天也不會變壞
[00:07:16.800 --> 00:07:19.800]  很多不同的MSG
[00:07:19.800 --> 00:07:22.800]  我們現在看下一版
[00:07:22.800 --> 00:07:24.800]  不如一起討論一下
[00:07:24.800 --> 00:07:25.800]  我想知道
[00:07:25.800 --> 00:07:28.800]  休息對你來說重要嗎?
[00:07:28.800 --> 00:07:29.800]  為什麼?
[00:07:29.800 --> 00:07:31.800]  還有今天對你來說
[00:07:31.800 --> 00:07:33.800]  是一個真正的休息嗎?
[00:07:33.800 --> 00:07:35.800]  你說要睡20個小時
[00:07:35.800 --> 00:07:37.800]  那是真正的休息還是怎樣呢?
[00:07:37.800 --> 00:07:40.800]  我們現在在你的小組討論一下
[00:07:40.800 --> 00:07:43.800]  五分鐘後我們再回來
[00:07:43.800 --> 00:07:46.800]  休息對你來說是怎樣呢?
[00:07:46.800 --> 00:07:49.800]  還有對你重要嗎?
[00:07:49.800 --> 00:07:52.800]  好,我相信休息這個話題
[00:07:52.800 --> 00:07:54.800]  大家都不用猶豫了
[00:07:54.800 --> 00:07:56.800]  應該很快就討論完
[00:07:56.800 --> 00:07:57.800]  我看到已經
[00:07:57.800 --> 00:07:59.800]  休息這個話題
[00:07:59.800 --> 00:08:01.800]  很快
[00:08:01.800 --> 00:08:02.800]  為什麼?
[00:08:02.800 --> 00:08:04.800]  休息為什麼對你重要?
[00:08:04.800 --> 00:08:07.800]  不休息就沒有力氣繼續走下去
[00:08:07.800 --> 00:08:10.800]  休息是要為了繼續走下去
[00:08:10.800 --> 00:08:12.800]  問問DSE朋友
[00:08:12.800 --> 00:08:14.800]  休息對你重要是什麼意思?
[00:08:14.800 --> 00:08:18.800]  不要讓自己燒掉
[00:08:18.800 --> 00:08:20.800]  不要讓自己燒掉
[00:08:20.800 --> 00:08:22.800]  Charlotte想不想再說一次?
[00:08:22.800 --> 00:08:25.800]  休息是為了走更長的路
[00:08:25.800 --> 00:08:26.800]  這句話也是
[00:08:26.800 --> 00:08:28.800]  大家很喜歡的一句話
[00:08:28.800 --> 00:08:30.800]  為了走更長的路
[00:08:30.800 --> 00:08:34.800]  問問Lizzo旁邊的Harris
[00:08:34.800 --> 00:08:37.800]  休息為什麼對你重要?
[00:08:37.800 --> 00:08:40.800]  休息是要睡覺
[00:08:40.800 --> 00:08:43.800]  所以睡覺為什麼重要?
[00:08:43.800 --> 00:08:44.800]  是因為重要
[00:08:44.800 --> 00:08:47.800]  是因為會有精神
[00:08:47.800 --> 00:08:48.800]  有精神
[00:08:48.800 --> 00:08:49.800]  努力下去
[00:08:49.800 --> 00:08:51.800]  有精神
[00:08:51.800 --> 00:08:54.800]  好,問問其他
[00:08:54.800 --> 00:08:57.800]  今天對你來說是怎樣的真正休息?
[00:08:57.800 --> 00:09:00.800]  休息當然是要睡12小時
[00:09:00.800 --> 00:09:02.800]  一覺睡到天亮
[00:09:02.800 --> 00:09:05.800]  問問PA後面的幾個
[00:09:05.800 --> 00:09:08.800]  怎樣才算真正的休息?
[00:09:08.800 --> 00:09:10.800]  你睡了多少小時?
[00:09:10.800 --> 00:09:12.800]  9小時
[00:09:12.800 --> 00:09:14.800]  他睡了9小時
[00:09:14.800 --> 00:09:18.800]  真正的休息是12小時或9小時的睡眠?
[00:09:18.800 --> 00:09:20.800]  做自己喜歡做的事
[00:09:20.800 --> 00:09:23.800]  可否多說一點你喜歡做什麼?
[00:09:23.800 --> 00:09:26.800]  各種各樣的Hobby
[00:09:26.800 --> 00:09:28.800]  做你的Hobby
[00:09:28.800 --> 00:09:33.800]  做到自己興趣的事
[00:09:33.800 --> 00:09:35.800]  會讓你有真正的休息
