
[00:00:00.000 --> 00:00:03.640]  早安,我們現在是聖誕的時間
[00:00:03.640 --> 00:00:06.000]  就會有一個Advent Series
[00:00:06.000 --> 00:00:09.760]  Advent是耶穌 is coming
[00:00:09.760 --> 00:00:11.000]  Jesus is coming
[00:00:11.000 --> 00:00:13.080]  And we are waiting for his coming
[00:00:13.080 --> 00:00:16.880]  有沒有人記得上個星期有兩個家庭
[00:00:16.880 --> 00:00:21.520]  有兩個媽媽是誰呢?
[00:00:21.520 --> 00:00:22.320]  有沒有人記得?
[00:00:22.320 --> 00:00:24.240]  Who are the two mothers?
[00:00:24.240 --> 00:00:26.160]  兩個媽媽是誰?
[00:00:26.160 --> 00:00:28.040]  Elizabeth and Mary
[00:00:28.040 --> 00:00:29.960]  Elizabeth是誰來的?
[00:00:29.960 --> 00:00:32.680]  Describe her
[00:00:32.680 --> 00:00:35.800]  她是很年輕,她很老
[00:00:35.800 --> 00:00:38.080]  誰覺得她是很年輕的?舉手
[00:00:38.080 --> 00:00:41.040]  Ok,一個
[00:00:41.040 --> 00:00:42.760]  誰覺得她是很老的?
[00:00:42.760 --> 00:00:46.040]  對,她是很老的
[00:00:46.040 --> 00:00:47.960]  接著瑪麗亞呢?
[00:00:47.960 --> 00:00:49.720]  瑪麗亞你猜一下她是多少歲?
[00:00:49.720 --> 00:00:51.280]  瑪麗亞你猜一下她是多少歲?
[00:00:51.280 --> 00:00:53.040]  十幾
[00:00:53.040 --> 00:00:57.160]  有沒有人十三到十七歲的?舉手
[00:00:58.040 --> 00:01:02.680]  有沒有女生十三到十七歲的?
[00:01:02.680 --> 00:01:05.960]  你還舉手
[00:01:05.960 --> 00:01:08.760]  Ok
[00:01:08.760 --> 00:01:13.240]  Are you ready to be a mother if you are 13 to 17?
[00:01:13.240 --> 00:01:15.080]  That is Mary
[00:01:15.080 --> 00:01:16.720]  Ok,我們看下一個頁
[00:01:16.720 --> 00:01:19.280]  有兩個家庭
[00:01:19.280 --> 00:01:21.040]  Two unexpected births
[00:01:21.040 --> 00:01:22.960]  第一是Elizabeth
[00:01:22.960 --> 00:01:25.360]  她很大年紀了
[00:01:25.360 --> 00:01:28.200]  她的家庭是侍奉神的
[00:01:28.200 --> 00:01:30.280]  她的寺廟是侍奉神的
[00:01:30.280 --> 00:01:33.160]  但很多年都沒有小孩
[00:01:33.160 --> 00:01:34.240]  那些人就覺得
[00:01:34.240 --> 00:01:35.880]  你沒有小孩?
[00:01:35.880 --> 00:01:38.240]  你做了什麼?有什麼錯?
[00:01:38.240 --> 00:01:39.680]  What's wrong with you?
[00:01:39.680 --> 00:01:41.000]  你有什麼問題?
