
[00:00:00.000 --> 00:00:01.720]  感謝神的恩典帶領
[00:00:01.720 --> 00:00:04.720]  又讓我們眾弟兄姐妹相聚在一起
[00:00:04.720 --> 00:00:07.120]  是神的這份愛
[00:00:07.120 --> 00:00:09.720]  讓我們學會了彼此相愛
[00:00:09.720 --> 00:00:12.720]  那麼神繼續感動我們
[00:00:12.720 --> 00:00:13.920]  繼續在
[00:00:13.920 --> 00:00:17.920]  鐵撒羅尼加前後書的講道系列當中呢
[00:00:17.920 --> 00:00:21.720]  來到了第二章和第三章的內容的時候
[00:00:21.720 --> 00:00:23.720]  神也感動我
[00:00:23.720 --> 00:00:26.520]  要以愛的呼應為題
[00:00:26.520 --> 00:00:29.520]  一起帶領我的眾弟兄姐妹們
[00:00:29.720 --> 00:00:31.920]  來思想這段經文
[00:00:31.920 --> 00:00:39.520]  如果剛才大家在立輝主席帶領下讀這段經文的弟兄姐妹有留意的話
[00:00:39.520 --> 00:00:41.320]  你會發現
[00:00:41.320 --> 00:00:44.320]  這段經文的一前一後
[00:00:44.320 --> 00:00:46.720]  就真是有一個
[00:00:46.720 --> 00:00:50.120]  愛彼此呼應的經文的段落
[00:00:50.120 --> 00:00:53.520]  在二章的第十三節
[00:00:53.520 --> 00:00:56.520]  一開始
[00:00:57.320 --> 00:01:00.520]  保羅他們的團隊就這樣稱呼的
[00:01:00.520 --> 00:01:03.320]  主所愛的弟兄們
[00:01:03.320 --> 00:01:05.120]  講到了這一般
[00:01:05.120 --> 00:01:09.520]  鐵撒羅尼加教會弟兄姐妹的受輸者的群體
[00:01:09.520 --> 00:01:12.120]  他們有這樣一個獨特的身份
[00:01:12.120 --> 00:01:15.120]  到了第三章第五節
[00:01:15.120 --> 00:01:17.320]  保羅也說
[00:01:17.320 --> 00:01:20.320]  願主引導你們的心
[00:01:20.320 --> 00:01:23.320]  叫你們愛上帝
[00:01:23.320 --> 00:01:25.520]  是的沒錯
[00:01:26.320 --> 00:01:30.720]  在除了一個人以外的所有關係的建立當中呢
[00:01:30.720 --> 00:01:36.120]  都是在尋求彼此互動和呼應的一種的關係
[00:01:36.120 --> 00:01:38.920]  哪怕是友情
[00:01:38.920 --> 00:01:40.520]  愛情
[00:01:40.520 --> 00:01:42.120]  親情
[00:01:42.120 --> 00:01:45.320]  甚至是我們和神的關係
[00:01:45.320 --> 00:01:48.120]  都不可能是單方面的
[00:01:48.120 --> 00:01:51.320]  我們在過程當中學習
[00:01:51.320 --> 00:01:53.320]  明白愛
[00:01:53.320 --> 00:01:54.520]  經歷愛
[00:01:55.320 --> 00:01:57.920]  也同樣在學習回應愛
[00:01:57.920 --> 00:02:00.520]  這樣也是我們所有
[00:02:00.520 --> 00:02:03.320]  弟兄姐妹還有所有
[00:02:03.320 --> 00:02:05.720]  主所愛的門徒們
[00:02:05.720 --> 00:02:09.120]  生命成勝和成長的一個途徑
[00:02:09.120 --> 00:02:13.320]  那麼今天也願意用其中經文段落
[00:02:13.320 --> 00:02:15.320]  分為三大點
[00:02:15.320 --> 00:02:18.520]  要和大家一起來思想
[00:02:18.520 --> 00:02:20.720]  愛的呼應的主題
[00:02:20.720 --> 00:02:22.520]  我們一起先來禱告
[00:02:24.520 --> 00:02:26.920]  親愛的天父愛我們的主
[00:02:26.920 --> 00:02:30.920]  你的愛何等的強闊高深
[00:02:30.920 --> 00:02:33.320]  你先愛了我們
[00:02:33.320 --> 00:02:35.720]  也讓我們學會去愛
[00:02:35.720 --> 00:02:39.320]  主啊當這樣一個提醒和議題
[00:02:39.320 --> 00:02:42.920]  在來到我們的主日訊息的時候
[00:02:42.920 --> 00:02:46.720]  求主你也讓我們可以把心敞開
[00:02:46.720 --> 00:02:49.320]  我們再次去思想
[00:02:49.320 --> 00:02:52.320]  你對我們生命所做的一切
[00:02:52.920 --> 00:02:55.720]  也讓我們被這份愛所吸引
[00:02:55.720 --> 00:02:59.320]  不單是學會愛身邊的人
[00:02:59.320 --> 00:03:01.720]  更要以愛還愛
[00:03:01.720 --> 00:03:04.920]  主啊願我口中的言語
[00:03:04.920 --> 00:03:07.920]  眾弟兄姐妹的心思意念
[00:03:07.920 --> 00:03:10.720]  都得蒙天父上帝你的悅納
[00:03:10.720 --> 00:03:13.720]  同心禱告奉主明求
[00:03:13.720 --> 00:03:14.720]  Amen
[00:03:14.720 --> 00:03:17.720]  好 講到了第一點啊
[00:03:17.720 --> 00:03:19.120]  我們首先就要提
[00:03:19.120 --> 00:03:21.520]  蒙主所愛
[00:03:22.320 --> 00:03:24.120]  是主先愛了我們
[00:03:24.120 --> 00:03:27.520]  這樣呢也是我們所有弟兄姐妹
[00:03:27.520 --> 00:03:29.720]  上帝兒女的一個身份
[00:03:29.720 --> 00:03:33.120]  就正如一開始的這段經文一樣
[00:03:33.120 --> 00:03:34.320]  就這樣稱呼的
[00:03:34.320 --> 00:03:36.920]  主所愛的弟兄們呢
[00:03:36.920 --> 00:03:38.920]  等等等等哈
[00:03:38.920 --> 00:03:42.320]  在所有人萬民之中呢
