
[00:00:00.000 --> 00:00:01.660]  各位聽眾姐妹平安
[00:00:01.660 --> 00:00:02.660]  (平安)
[00:00:02.660 --> 00:00:04.220]  好 那麼我現在就講
[00:00:04.220 --> 00:00:08.260]  今天選的題目是從全道書看人生的智慧
[00:00:08.260 --> 00:00:10.420]  我用了全道書第七章
[00:00:10.420 --> 00:00:11.760]  我乾信主的時候
[00:00:11.760 --> 00:00:12.700]  很多人跟我說
[00:00:12.700 --> 00:00:14.220]  隋帝兄你信主以後
[00:00:14.220 --> 00:00:15.820]  有一卷書不能看
[00:00:15.820 --> 00:00:17.620]  我說聖經六則六卷書
[00:00:17.620 --> 00:00:18.700]  哪一卷書不能看呢
[00:00:18.700 --> 00:00:20.300]  他說全道書不能看
[00:00:20.300 --> 00:00:21.620]  我說為什麼
[00:00:21.620 --> 00:00:23.660]  他說你看得很虛空的
[00:00:23.660 --> 00:00:24.660]  (笑)
[00:00:24.660 --> 00:00:26.460]  你活不下去的
[00:00:26.460 --> 00:00:28.660]  所以你最好不要看
[00:00:28.660 --> 00:00:30.300]  你知道我們當時很年輕嘛
[00:00:30.300 --> 00:00:32.300]  我乾信主大概是18歲左右
[00:00:32.300 --> 00:00:33.460]  我說很反叛
[00:00:33.460 --> 00:00:35.660]  你不給我看我偏要看
[00:00:35.660 --> 00:00:36.660]  那我就看了
[00:00:36.660 --> 00:00:37.560]  看了以後
[00:00:37.560 --> 00:00:39.160]  起初以為虛空
[00:00:39.160 --> 00:00:42.860]  看完以後我覺得全道書非常有智慧
[00:00:42.860 --> 00:00:44.160]  它不是讓你虛空
[00:00:44.160 --> 00:00:46.860]  它提醒你怎麼可以充滿
[00:00:46.860 --> 00:00:48.460]  完全倒過來
[00:00:48.460 --> 00:00:50.860]  所以從此我就很喜歡全道書
[00:00:50.860 --> 00:00:52.460]  我去聽 我去看
[00:00:52.460 --> 00:00:53.860]  有看全道的書
[00:00:53.860 --> 00:00:55.660]  然後你看在智慧這個字
[00:00:55.660 --> 00:00:56.960]  在全道書當中
[00:00:56.960 --> 00:00:58.660]  出現有50次
[00:00:58.660 --> 00:01:01.460]  最多是在第2章有12次
[00:01:01.460 --> 00:01:03.760]  第7章有15次
[00:01:03.760 --> 00:01:06.760]  在第9到10章有14次
[00:01:06.760 --> 00:01:10.960]  在第2章講到智慧與勞碌並提
[00:01:10.960 --> 00:01:14.260]  就是說有智慧的勞碌就不會勞苦
[00:01:14.260 --> 00:01:16.360]  很多人很忙的可是非常苦
[00:01:16.360 --> 00:01:18.060]  回到家裡不像我這樣子
[00:01:18.060 --> 00:01:19.860]  是很滿足的睡
[00:01:19.860 --> 00:01:21.960]  他們是很虛空的睡
[00:01:21.960 --> 00:01:23.660]  忙了一天為什麼
[00:01:23.660 --> 00:01:25.960]  為了能有飯吃
[00:01:25.960 --> 00:01:27.960]  吃了飯為什麼可以工作
[00:01:27.960 --> 00:01:29.960]  工作為什麼就是為了有飯吃
[00:01:29.960 --> 00:01:32.460]  吃飯是為什麼就是為了有工作
[00:01:32.460 --> 00:01:34.660]  他都不明白為什麼
[00:01:34.660 --> 00:01:36.460]  所以全道書第2章講到
[00:01:36.460 --> 00:01:39.460]  你有智慧你會勞碌你會忙
[00:01:39.460 --> 00:01:42.760]  可是不為勞苦也不為虛空
[00:01:42.760 --> 00:01:45.060]  那麼第7章第9到10章講到
[00:01:45.060 --> 00:01:47.960]  智慧與愚昧並提
[00:01:47.960 --> 00:01:50.460]  那人有智慧則不愚昧
[00:01:50.460 --> 00:01:53.060]  人有愚昧則不智慧
[00:01:53.060 --> 00:01:53.960]  對還是不對
[00:01:53.960 --> 00:01:55.160]  不完全對
[00:01:55.160 --> 00:01:57.760]  沒有一個人只有智慧沒有愚昧的
[00:01:57.760 --> 00:02:00.460]  沒有一個人只有愚昧沒有智慧的
[00:02:00.460 --> 00:02:01.460]  問題是什麼
[00:02:01.460 --> 00:02:03.960]  你智慧與愚昧的比例怎麼樣
[00:02:03.960 --> 00:02:06.160]  你智慧與愚昧在什麼地方
[00:02:06.160 --> 00:02:08.460]  有些事情我情願我愚昧
[00:02:08.460 --> 00:02:09.760]  比方對罪
[00:02:09.760 --> 00:02:11.660]  我情願我一曉不通
[00:02:11.660 --> 00:02:14.360]  你不能說我犯罪挺有智慧的
[00:02:14.360 --> 00:02:16.660]  很多人犯罪真的很有智慧
[00:02:16.660 --> 00:02:18.060]  不表示是對的
[00:02:18.060 --> 00:02:21.260]  那有些事情我真的需要很有智慧的
[00:02:21.260 --> 00:02:22.660]  真的是這樣子
[00:02:22.660 --> 00:02:24.260]  所以要看你在什麼
[00:02:24.260 --> 00:02:25.560]  人要有智慧
[00:02:25.560 --> 00:02:28.060]  人是有智慧也有愚昧
[00:02:28.060 --> 00:02:30.060]  人要智慧多愚昧小
[00:02:30.060 --> 00:02:32.260]  這就是人生的智慧
[00:02:32.260 --> 00:02:35.660]  今天我們就全道地看看人生中的智慧
[00:02:35.660 --> 00:02:37.760]  當所羅門剛剛做王
[00:02:37.760 --> 00:02:38.860]  神問他要什麼
[00:02:38.860 --> 00:02:41.260]  他說我要智慧
[00:02:41.260 --> 00:02:42.260]  對嗎
[00:02:42.260 --> 00:02:43.460]  然後你知道
[00:02:43.460 --> 00:02:45.260]  現在你看見有一句話說
[00:02:45.260 --> 00:02:46.260]  智慧的人
[00:02:46.260 --> 00:02:46.660]  不用你
[00:02:46.660 --> 00:02:48.560]  你先看還是我先讀
[00:02:48.560 --> 00:02:49.160]  智慧的
[00:02:49.160 --> 00:02:51.360]  你們聽我可能好一點
[00:02:51.360 --> 00:02:52.560]  要怕下來
[00:02:52.560 --> 00:02:53.860]  我們有大綱的
[00:02:53.860 --> 00:02:56.660]  智慧的人不覺得自己有智慧
[00:02:56.660 --> 00:02:58.060]  同意嗎
[00:02:58.060 --> 00:03:01.260]  愚昧的人不知道自己是愚昧
[00:03:01.260 --> 00:03:02.660]  因為他愚昧嘛
[00:03:02.660 --> 00:03:05.060]  智慧的人知道自己不知道
[00:03:05.060 --> 00:03:07.060]  不以為自己全知道
[00:03:07.060 --> 00:03:09.360]  愚昧的人不知道自己不知道
[00:03:09.360 --> 00:03:12.360]  還以為自己全知道
[00:03:12.360 --> 00:03:14.760]  這四句話你好好看
[00:03:14.760 --> 00:03:16.260]  有時候我們就是這樣子
[00:03:16.260 --> 00:03:17.960]  我們有時候以為自己很有智慧
[00:03:17.960 --> 00:03:19.260]  其實你沒有智慧
[00:03:19.260 --> 00:03:20.760]  我們有時候很愚昧
[00:03:20.760 --> 00:03:22.460]  可是不知道我很愚昧
[00:03:22.460 --> 00:03:24.760]  所以我今天早上跟義士弟兄姐姐在談的時候
[00:03:24.760 --> 00:03:25.860]  我說今天呢
[00:03:25.860 --> 00:03:26.860]  特別是今年吧
[00:03:26.860 --> 00:03:27.560]  2023年
[00:03:27.560 --> 00:03:28.560]  我覺得很多人
[00:03:28.560 --> 00:03:29.660]  其實不是2023年
[00:03:29.660 --> 00:03:31.760]  2019年到2023年吧
[00:03:31.760 --> 00:03:34.460]  很多人對很多是非黑白不能分
[00:03:34.460 --> 00:03:34.960]  他問我
[00:03:34.960 --> 00:03:37.160]  隋弟兄為什麼認為這樣子
[00:03:37.160 --> 00:03:39.860]  我覺得人是被迷惑了
[00:03:39.860 --> 00:03:41.560]  耶穌說在他在來之前
[00:03:41.560 --> 00:03:42.960]  人都已被迷惑了
[00:03:42.960 --> 00:03:43.960]  這不能分
[00:03:43.960 --> 00:03:45.460]  非常愚昧
[00:03:45.460 --> 00:03:47.260]  以錯為對
[00:03:47.260 --> 00:03:48.860]  以黑為白
[00:03:48.860 --> 00:03:50.160]  還不知道
[00:03:50.160 --> 00:03:51.760]  所以我今天跟他們也講
