
[00:00:00.000 --> 00:00:07.000]  今天我跟大家分享的題目是心火三轉的門徒訓練
[00:00:07.000 --> 00:00:11.000]  我一直在夏威夷外面很多教會縣市
[00:00:11.000 --> 00:00:15.000]  去跟大家分享步道會、做門訓等等
[00:00:15.000 --> 00:00:20.000]  所以今天抽這個題目跟大家分享
[00:00:20.000 --> 00:00:24.000]  沒有談以前是講一下門徒訓練
[00:00:24.000 --> 00:00:29.000]  大家都很熟悉的《馬太福音》第28章19-20節
[00:00:29.000 --> 00:00:31.000]  我請大家念一下 來
[00:00:31.000 --> 00:00:36.000]  所以你們要去使萬民做我的門徒
[00:00:36.000 --> 00:00:40.000]  供父子聖明的名名給他們的士兵
[00:00:40.000 --> 00:00:45.000]  當我所吩咐你們的都效去你們的尊重
[00:00:45.000 --> 00:00:49.000]  我就常與你們同在直到世界的末來
[00:00:49.000 --> 00:00:53.000]  大家知道這句話是耶穌臨走以前的
[00:00:53.000 --> 00:00:55.000]  臨別整一年都是很重要的
[00:00:55.000 --> 00:00:57.000]  就是我們說的大使命
[00:00:57.000 --> 00:01:00.000]  但中文方面你看到很長的句子
[00:01:00.000 --> 00:01:03.000]  你就不知道它主次在哪裏
[00:01:03.000 --> 00:01:06.000]  但如果你的原文或是說英文的翻譯
[00:01:06.000 --> 00:01:09.000]  因爲英文的文法比中文比較嚴謹
[00:01:09.000 --> 00:01:11.000]  比如說英文有所謂的主句
[00:01:11.000 --> 00:01:13.000]  有所謂形容的句子
[00:01:13.000 --> 00:01:18.000]  有所謂的主要動詞有所謂的participle
[00:01:18.000 --> 00:01:20.000]  那如果你看看英文的話
[00:01:20.000 --> 00:01:21.000]  英文怎麼翻呢
[00:01:21.000 --> 00:01:27.000]  他說therefore go and make disciples of all nations
[00:01:27.000 --> 00:01:31.000]  baptizing them in the name of the Father and the Holy Spirit
[00:01:31.000 --> 00:01:32.000]  teaching them
[00:01:32.000 --> 00:01:36.000]  你看到baptizing是一個participle
[00:01:36.000 --> 00:01:38.000]  teaching是一個participle
[00:01:38.000 --> 00:01:41.000]  主要動詞在哪裏呢
[00:01:41.000 --> 00:01:44.000]  就是使萬民做我的門徒
[00:01:44.000 --> 00:01:47.000]  所以整個大使裏面最核心的一個字
[00:01:47.000 --> 00:01:49.000]  就是做門徒訓練
[00:01:49.000 --> 00:01:52.000]  很多教會知道門訓很重要
[00:01:52.000 --> 00:01:54.000]  但是很多時候都不知道怎麼做
[00:01:54.000 --> 00:01:56.000]  比較有果效
[00:01:56.000 --> 00:01:59.000]  主耶穌不但是頒佈大使命
[00:01:59.000 --> 00:02:02.000]  但是其實他給我們很多的榜樣
[00:02:02.000 --> 00:02:05.000]  他在三年多的佛事生涯裏面
[00:02:05.000 --> 00:02:08.000]  就給我們演練一下他是怎麼帶門徒的
[00:02:08.000 --> 00:02:11.000]  就新約聖經無論是福音書
[00:02:11.000 --> 00:02:13.000]  使徒行贊或是保羅書信
[00:02:13.000 --> 00:02:16.000]  他們兩位都給我們很多的榜樣
[00:02:16.000 --> 00:02:19.000]  我們今天主要是講保羅
