
[00:00:00.000 --> 00:00:01.500]  今天我們…
[00:00:01.500 --> 00:00:04.320]  剛剛多謝Mantel Morris跟我們分享
[00:00:04.320 --> 00:00:07.280]  今天是我們叫做「中之主日」
[00:00:07.280 --> 00:00:09.280]  在教會的傳統上
[00:00:09.280 --> 00:00:11.920]  就是耶穌進入耶路撒冷
[00:00:11.920 --> 00:00:16.240]  開展祂人生最後一個星期的旅程
[00:00:16.240 --> 00:00:19.080]  但今天我們只是放大一些片段
[00:00:19.080 --> 00:00:23.680]  因為沒有時間我們會去看這麼多日子所發生的事情
[00:00:23.680 --> 00:00:28.560]  所以今天這個月我們多點思想關於耶穌
[00:00:28.560 --> 00:00:30.960]  在祂的人生中
[00:00:30.960 --> 00:00:33.280]  祂去十字架路上的那一週
[00:00:33.280 --> 00:00:34.760]  那些經歷的片段
[00:00:34.760 --> 00:00:37.680]  多謝Pastor Karen上週跟我們分享了關於
[00:00:37.680 --> 00:00:40.400]  赫西瑪利元的禱告
[00:00:40.400 --> 00:00:44.160]  我就拿了這個禱告後面發生的事情
[00:00:44.160 --> 00:00:46.960]  有很多事情可以說
[00:00:46.960 --> 00:00:49.800]  耶穌的受苦有很多事情可以說
[00:00:49.800 --> 00:00:51.680]  但我到了思想的時候
[00:00:51.680 --> 00:00:53.600]  我想其中一個
[00:00:53.600 --> 00:00:55.480]  跟我們最有共鳴的一個位置
[00:00:55.480 --> 00:00:58.000]  如果說耶穌受苦或受傷害
[00:00:58.000 --> 00:01:00.000]  跟我們最有共鳴的地方
[00:01:00.000 --> 00:01:02.320]  就是祂跟我們都在經歷一些
[00:01:02.320 --> 00:01:06.040]  人際關係帶來的傷害
[00:01:06.040 --> 00:01:07.160]  所以你看到這個題目
[00:01:07.160 --> 00:01:10.080]  可能有些人猜到我說某些人物
[00:01:10.080 --> 00:01:12.360]  大概這些人物我們可能都聽過
[00:01:12.360 --> 00:01:15.640]  但到底我們會不會有另一個角度去看
[00:01:15.640 --> 00:01:19.840]  這些人物跟我們有什麼相似的地方呢
[00:01:19.840 --> 00:01:21.040]  當然如果大家
[00:01:21.040 --> 00:01:23.960]  我知道特別在在有些男生
[00:01:23.960 --> 00:01:26.200]  我知道有人無論私下跟我說什麼
[00:01:26.200 --> 00:01:27.720]  我不會說你的名字
