
[00:00:00.000 --> 00:00:04.000]  今天是馬可福音的最後一篇信息了。
[00:00:04.000 --> 00:00:10.000]  感謝神從第一章講到最後一章的時候,
[00:00:10.000 --> 00:00:12.000]  就講了54講。
[00:00:12.000 --> 00:00:17.000]  我就發現很需要把福音講得清清楚楚,
[00:00:17.000 --> 00:00:23.000]  讓那些還不認識主的人有機會完完整整地看一本福音書,
[00:00:23.000 --> 00:00:25.000]  到底耶穌說過什麼,講過什麼,
[00:00:25.000 --> 00:00:30.000]  所以就開始了整個馬可福音的講道系列。
[00:00:30.000 --> 00:00:33.000]  讓想做主門徒的弟兄姐妹,
[00:00:33.000 --> 00:00:36.000]  也能夠從這54篇的講道,
[00:00:36.000 --> 00:00:40.000]  深入地去瞭解到底主耶穌挑戰我們的是什麼,
[00:00:40.000 --> 00:00:42.000]  祂的價值觀是什麼。
[00:00:42.000 --> 00:00:46.000]  感謝神讓我們一起走過前面53堂,
[00:00:46.000 --> 00:00:48.000]  這是第54堂了,
[00:00:48.000 --> 00:00:50.000]  讓我們一起同心禱告。
[00:00:50.000 --> 00:00:55.000]  主我們感謝贊美禰,禰的話語歷久長新。
[00:00:55.000 --> 00:01:00.000]  當我們過去在這段時間看禰的話語的時候,
[00:01:00.000 --> 00:01:04.000]  每一段的經文有時候就像我們從來沒有看過一樣。
[00:01:04.000 --> 00:01:07.000]  主啊,禰的話語真的是很獨特,
[00:01:07.000 --> 00:01:09.000]  能夠真的是向我們說話。
[00:01:09.000 --> 00:01:13.000]  我們祈求禰在這個時候也預備我們的心,
[00:01:13.000 --> 00:01:16.000]  使我們的心能夠成為好土,
[00:01:16.000 --> 00:01:20.000]  有謙卑受教,來領受禰自己的話語。
[00:01:20.000 --> 00:01:23.000]  不管是聽的,講的,都因禰的話語,
[00:01:23.000 --> 00:01:25.000]  生命被改變。
[00:01:25.000 --> 00:01:27.000]  求禰與我們同在,幫助我們,
[00:01:27.000 --> 00:01:30.000]  榮耀禰的聖名,禱告奉耶穌的名,
[00:01:30.000 --> 00:01:32.000]  祈求。Amen。
[00:01:32.000 --> 00:01:40.000]  上一次我們是講到耶穌為我們使在十字架。
[00:01:40.000 --> 00:01:46.000]  這次的經文我們是看馬可福音第十六章一到二十節。
[00:01:46.000 --> 00:01:50.000]  這裡經文的大概內容可以分成三段。
[00:01:50.000 --> 00:01:54.000]  第一段是婦女發現耶穌的屍體不見了,
[00:01:54.000 --> 00:01:56.000]  那個是一到八節。
[00:01:56.000 --> 00:01:58.000]  然後去到第二段的時候,
[00:01:58.000 --> 00:02:03.000]  你會發現有不同的人都去告訴門徒耶穌復活了,
[00:02:03.000 --> 00:02:04.000]  但是他們不信。
[00:02:04.000 --> 00:02:06.000]  第三段你會看到這段經文,
[00:02:06.000 --> 00:02:12.000]  是講到耶穌差遣門徒往普天下去傳福音。
[00:02:12.000 --> 00:02:15.000]  求神幫助我們在每一段經文裡面,
[00:02:15.000 --> 00:02:19.000]  看見祂寫的東西是多麼的奇妙。
[00:02:19.000 --> 00:02:22.000]  特別是馬可福音,特別強調祂的不信。
[00:02:22.000 --> 00:02:26.000]  這是以前我們在看其他福音書沒有留意到的。
[00:02:26.000 --> 00:02:28.000]  我們先看第一段。
[00:02:28.000 --> 00:02:33.000]  第一段是講婦女發現耶穌的屍體不見了。
[00:02:33.000 --> 00:02:37.000]  這裡講到安息日的時候,
[00:02:37.000 --> 00:02:39.000]  他們過了安息日,
[00:02:39.000 --> 00:02:43.000]  安息日過了才能夠做工,猶太人。
[00:02:43.000 --> 00:02:46.000]  所以不等了,立刻安息日一過,
[00:02:46.000 --> 00:02:48.000]  愛耶穌的那些婦女,
[00:02:48.000 --> 00:02:50.000]  馬上就去到耶穌的墳墓那裡,
[00:02:50.000 --> 00:02:53.000]  想要高耶穌的身體。
[00:02:53.000 --> 00:02:55.000]  高耶穌的身體在中東不像埃及,
[00:02:55.000 --> 00:02:58.000]  埃及是為了變成木乃伊,
[00:02:58.000 --> 00:03:02.000]  高的身體基本上是要去掉各種的味道。
[00:03:02.000 --> 00:03:04.000]  在這裡講了幾個婦女,
[00:03:04.000 --> 00:03:07.000]  一個是莫大拉的瑪利亞,
[00:03:07.000 --> 00:03:10.000]  莫大拉是一個地方,
[00:03:10.000 --> 00:03:14.000]  另外一個是雅各的母親,也叫瑪利亞。
[00:03:14.000 --> 00:03:16.000]  所以我們看聖經有時候看得很混亂,
[00:03:16.000 --> 00:03:18.000]  這個也是瑪利亞,那個也是瑪利亞,
[00:03:18.000 --> 00:03:21.000]  這個也是雅各的媽媽,那個也是雅各的媽媽。
[00:03:21.000 --> 00:03:24.000]  基本上這裡就是這樣子,
[00:03:24.000 --> 00:03:27.000]  因為雅各的母親就是瑪利亞,
[00:03:27.000 --> 00:03:31.000]  然後薩羅米的兒子就是雅各跟約翰,
[00:03:31.000 --> 00:03:33.000]  另外一個雅各跟約翰。
[00:03:33.000 --> 00:03:37.000]  所以你就會發現有時候你會覺得混亂。
[00:03:37.000 --> 00:03:39.000]  但是這裡強調的是什麼呢?
[00:03:39.000 --> 00:03:46.000]  誰首先去到墳墓那裡發現墳墓已經變成了空墳墓呢?
[00:03:46.000 --> 00:03:48.000]  婦女,是婦女。
[00:03:48.000 --> 00:03:52.000]  很愛耶穌的人去到那邊,
[00:03:52.000 --> 00:03:57.000]  很愛耶穌的人第一件事情想要關心的是怎樣呢?
[00:03:57.000 --> 00:03:59.000]  我相信每個晚上都在想,
[00:03:59.000 --> 00:04:02.000]  主耶穌基督他們很心疼她,
[00:04:02.000 --> 00:04:05.000]  在那個墳墓裡面,屍體在墳墓裡面,
[00:04:05.000 --> 00:04:09.000]  迫不及待地想要去告她的身體,告她的屍體,
[00:04:09.000 --> 00:04:15.000]  但是正好就撞上了安息日,不能做任何事情,
