
[00:00:00.000 --> 00:00:02.000]  新節目平安
[00:00:02.000 --> 00:00:05.000]  我想這個世代很需要平安兩個字
[00:00:05.000 --> 00:00:10.000]  特別是過去我們知道香港有十號風球
[00:00:10.000 --> 00:00:12.000]  我們看到一年有兩次
[00:00:12.000 --> 00:00:15.000]  原來我看報紙說時間是61年
[00:00:15.000 --> 00:00:20.000]  才有兩次的十號風球
[00:00:20.000 --> 00:00:21.000]  我想在十號風球裏面
[00:00:21.000 --> 00:00:24.000]  很多人都會留意不同的新聞
[00:00:24.000 --> 00:00:27.000]  我也是的 我很喜歡看不同的風暴的新聞
[00:00:27.000 --> 00:00:33.000]  當然大家會預測到風暴裏面的大浪
[00:00:33.000 --> 00:00:37.000]  每次無論是八號還是十號
[00:00:37.000 --> 00:00:39.000]  電視機的新聞一定會有
[00:00:39.000 --> 00:00:42.000]  恆花村的打卡點
[00:00:42.000 --> 00:00:48.000]  另外又有很多的樹
[00:00:48.000 --> 00:00:51.000]  這些都可以預計到
[00:00:51.000 --> 00:00:53.000]  都會看到很多這些新聞
[00:00:53.000 --> 00:00:58.000]  其中一個是很少人會想到的
[00:00:58.000 --> 00:01:00.000]  就是一個在海洋公園的酒店
[00:01:00.000 --> 00:01:02.000]  突然間變成海洋酒店
[00:01:02.000 --> 00:01:07.000]  很多水就一下子撞進去
[00:01:07.000 --> 00:01:09.000]  富麗敦酒店
[00:01:09.000 --> 00:01:11.000]  當然很突發
[00:01:11.000 --> 00:01:14.000]  突然間的發生
[00:01:14.000 --> 00:01:15.000]  都還未來得及
[00:01:15.000 --> 00:01:19.000]  水一下子就進去
[00:01:19.000 --> 00:01:20.000]  這個突然讓我想起
[00:01:20.000 --> 00:01:22.000]  好像和我們今天的經文很相似
[00:01:22.000 --> 00:01:25.000]  一個很宏偉的酒店
[00:01:25.000 --> 00:01:27.000]  突然間就有浪
[00:01:27.000 --> 00:01:29.000]  同樣的我們今天看的經文
[00:01:29.000 --> 00:01:30.000]  一個很大的城市
[00:01:30.000 --> 00:01:32.000]  我們一起來讀經文
[00:01:32.000 --> 00:01:36.000]  大權柄的天使 大聲喊著說
[00:01:36.000 --> 00:01:40.000]  巴比倫大城 傾倒了 傾倒了
[00:01:40.000 --> 00:01:42.000]  這裡用了幾個大字
[00:01:42.000 --> 00:01:43.000]  大權柄的天使
