
[00:00:00.000 --> 00:00:03.200]  感謝神剛才透過《廣福詩班》
[00:00:03.200 --> 00:00:07.560]  將這首美好的詩歌呈獻在神的面前
[00:00:07.560 --> 00:00:10.880]  但願我們每一個人都能夠將我們的生命
[00:00:10.880 --> 00:00:14.080]  是如此地獻給上帝
[00:00:14.080 --> 00:00:16.560]  如果昔日的以色列人
[00:00:16.560 --> 00:00:22.360]  是有一個心口如一的這種獻生命給主的話
[00:00:22.360 --> 00:00:26.720]  我就相信《文素記》十一章就不會出現
[00:00:26.720 --> 00:00:29.480]  《文素記》十一章我們看到
[00:00:29.480 --> 00:00:33.960]  他們其實剛剛出埃及大概一年多的時間
[00:00:33.960 --> 00:00:36.440]  如果你看回那個時間表
[00:00:36.440 --> 00:00:39.200]  第十章是說他們是開始
[00:00:39.200 --> 00:00:41.280]  由西乃山那裏起行的
[00:00:41.280 --> 00:00:44.160]  那是他們第二年的第二月
[00:00:44.160 --> 00:00:48.680]  而在當時其實他們是經歷過
[00:00:48.680 --> 00:00:52.760]  頭一年他們出埃及見證過過紅海
[00:00:52.760 --> 00:00:55.840]  而摩西也領受了十屆
[00:00:55.840 --> 00:00:59.360]  也照著神的吩咐建造好會幕
[00:00:59.360 --> 00:01:02.440]  其實各樣的事情我們都可以說
[00:01:02.440 --> 00:01:07.000]  是你看到神的恩典多麼地浩大
[00:01:07.000 --> 00:01:10.320]  但是竟然在這張聖經我們看到
[00:01:10.320 --> 00:01:12.320]  三件事出現了
[00:01:12.320 --> 00:01:16.520]  而這三件事你看表層的原因
[00:01:16.520 --> 00:01:22.200]  都是只是一些所謂怨言不滿等等
[00:01:22.200 --> 00:01:27.280]  但是矛頭到最後其實是直指上帝自己
[00:01:27.280 --> 00:01:31.520]  我們如果留意來看百姓的怨言
[00:01:31.520 --> 00:01:33.240]  他們是抱怨什麼呢
[00:01:33.240 --> 00:01:34.480]  聖經沒有說清楚
[00:01:34.480 --> 00:01:37.480]  不過有可能是否缺乏水呢
[00:01:37.480 --> 00:01:40.480]  但是他們在第一年的時候
[00:01:40.480 --> 00:01:42.480]  不是沒有缺乏水
[00:01:42.480 --> 00:01:46.200]  他們一出埃及第三日
[00:01:46.200 --> 00:01:50.000]  他們就在這個曠野開始埋怨
[00:01:50.000 --> 00:01:51.000]  沒有水喝了
[00:01:51.000 --> 00:01:54.880]  誰知去到那個水泉是馬拉的地方
[00:01:54.880 --> 00:01:57.960]  誰知水是苦的 神吩咐摩西
[00:01:57.960 --> 00:02:03.320]  怎樣把種樹枝放在裡面
[00:02:03.320 --> 00:02:05.800]  那些水就由苦變甜
[00:02:05.800 --> 00:02:07.800]  神行很多的神蹟
[00:02:07.800 --> 00:02:14.200]  後來他們去到利山町的地方的時候
