
[00:00:00.000 --> 00:00:02.160]   (silence)
[00:00:02.160 --> 00:00:06.960]   All right, so for the last few weeks,
[00:00:06.960 --> 00:00:10.600]   we've gone through 1 Timothy, the first five chapters.
[00:00:10.600 --> 00:00:12.260]   So if you haven't been with us, it's okay,
[00:00:12.260 --> 00:00:14.400]   it's still online, you can go back to it.
[00:00:14.400 --> 00:00:16.280]   So we've been talking about a few things.
[00:00:16.280 --> 00:00:17.760]   I don't know if you remember, let's see.
[00:00:17.760 --> 00:00:21.160]   What have, remember we've been upholding the truth,
[00:00:21.160 --> 00:00:22.640]   and then what else?
[00:00:22.640 --> 00:00:25.920]   To pray, to serve, to lead,
[00:00:25.920 --> 00:00:27.880]   and lastly, we also have to love.
[00:00:27.880 --> 00:00:30.440]   And this week we have one,
[00:00:30.440 --> 00:00:34.400]   it's the final charge from Apostle Paul to Timothy,
[00:00:34.400 --> 00:00:36.220]   it is to fight.
[00:00:36.220 --> 00:00:37.880]   I mean, what are we fighting for?
[00:00:37.880 --> 00:00:41.560]   And I love how all the songs today really led us into that.
[00:00:41.560 --> 00:00:44.480]   It is fighting the good fight of faith.
[00:00:44.480 --> 00:00:47.040]   Now we probably have heard of it every now and then,
[00:00:47.040 --> 00:00:49.320]   this saying, fight the good fight of faith.
[00:00:49.320 --> 00:00:51.840]   But what is it, what does that really look like?
[00:00:51.840 --> 00:00:53.560]   So we're gonna go through that today,
[00:00:53.560 --> 00:00:55.840]   1 Timothy, chapter six.
[00:00:55.840 --> 00:00:57.560]   Now speaking of fighting, I mean,
[00:00:57.560 --> 00:01:01.840]   the most recent movie I saw on fighting was Shang-Chi.
[00:01:01.840 --> 00:01:04.000]   So we're gonna show that, put that up.
[00:01:04.000 --> 00:01:07.740]   How many, how many of you have seen that movie?
[00:01:07.740 --> 00:01:09.520]   All right, good, good, good, quite a number of you,
[00:01:09.520 --> 00:01:11.320]   so I won't be spoiling it for everybody,
[00:01:11.320 --> 00:01:12.720]   I'll just spoil it for a few.
[00:01:12.720 --> 00:01:19.080]   And I mean, during, one of the WhatsApps we have seen
[00:01:19.080 --> 00:01:21.980]   is that a few of our people commented
[00:01:21.980 --> 00:01:23.900]   that one of our pastors
[00:01:23.900 --> 00:01:26.920]   looked kind of like the protagonist here.
[00:01:27.760 --> 00:01:32.680]   And so we got our, oh, there we go.
[00:01:32.680 --> 00:01:36.800]   I mean, we, yeah, a few of you took a few photos, so.
[00:01:36.800 --> 00:01:40.080]   We got our IT team together,
[00:01:40.080 --> 00:01:44.000]   which is like just Bonnie, by the way, to help us do this.
[00:01:44.000 --> 00:01:45.920]   And we also have a Tony Leung here,
[00:01:45.920 --> 00:01:48.480]   which is one of our deacons, you know, Tony.
[00:01:48.480 --> 00:01:50.840]   But, you know, I thought I wanna keep my job,
[00:01:50.840 --> 00:01:52.700]   so we won't put him on.
[00:01:52.700 --> 00:01:56.620]   So I mean, when we talk about fighting, right,
[00:01:56.620 --> 00:01:59.720]   these are the kind of things we're thinking about fighting.
[00:01:59.720 --> 00:02:02.920]   Fist, but actually from this story,
[00:02:02.920 --> 00:02:05.440]   oh, too early, too early, let's not show that yet.
[00:02:05.440 --> 00:02:08.940]   So from this, from this story, right,
[00:02:08.940 --> 00:02:12.200]   we wanna keep Johnny on for as long as possible.
[00:02:12.200 --> 00:02:15.280]   So from this story, actually, we see that Tony Leung
[00:02:15.280 --> 00:02:17.080]   actually gains these 10 rings,
[00:02:17.080 --> 00:02:18.680]   if you know what I'm talking about,
[00:02:18.680 --> 00:02:20.160]   and he gains this super power,
[00:02:20.160 --> 00:02:23.240]   and he almost becomes immortal 'cause he doesn't die.
[00:02:23.240 --> 00:02:27.340]   But the more power he got, the more he desired for it.
[00:02:27.340 --> 00:02:29.260]   Until a point when he met his wife,
[00:02:29.260 --> 00:02:31.420]   that's when he turned into the good guy,
[00:02:31.420 --> 00:02:33.220]   'cause he put down his rings, he's like,
[00:02:33.220 --> 00:02:34.900]   all right, I'm all for family.
[00:02:34.900 --> 00:02:37.180]   But then, of course, as the plot goes,
[00:02:37.180 --> 00:02:42.540]   his wife is then murdered, and once he's just full of rage,
[00:02:42.540 --> 00:02:44.380]   he puts these 10 rings back on,
[00:02:44.380 --> 00:02:47.660]   and he's ready for evil for evil, right?
[00:02:47.660 --> 00:02:51.980]   And so he has his son, Shang-Chi, now played by Johnny,
[00:02:51.980 --> 00:02:54.960]   but he's way too happy for this role.
[00:02:54.960 --> 00:02:56.440]   But I mean, if he were ever to go
