
[00:00:00.000 --> 00:00:10.000]  Hello,早晨,explorer!希望你現在在家安全。
[00:00:10.000 --> 00:00:24.000]  我們知道現在疫情在香港開始,可能是第四波,但我們繼續祈禱,神會保守我們香港。
[00:00:24.000 --> 00:00:41.000]  今次的系列是關於末世和希望。上次Gavin教授就跟我們說了第一部分,就是教會在最後的時刻面對的挑戰。
[00:00:41.000 --> 00:00:59.000]  第一部分就說了Be Aware,因為現在世界會有更多愛自己的,愛錢的,愛自己的愛錢的愛人。
[00:00:59.000 --> 00:01:18.000]  第二部分就說了要Be Aware,我們會有很多不同的false teaching,很多不同的基教會說我是主耶穌,但他們並不是真正的主耶穌。
[00:01:18.000 --> 00:01:28.000]  第三部分就說了要Abide in His Word,要認識神的話,因為神的話是真理。
[00:01:28.000 --> 00:01:45.000]  我們今天會說第二部分,教會在末世會面對的挑戰。
[00:01:45.000 --> 00:01:52.000]  我們今天會看Revelations 1-3,第一到第三章。
[00:01:52.000 --> 00:02:02.000]  第一到第三章是說七個教會,Roman Churches in Revelations.
[00:02:02.000 --> 00:02:15.000]  第一個教會是叫做Ephesus,然後有Smyrna, Pergamum, Thyatira, Sardis, Philadelphia,和Leo Dacia。
[00:02:15.000 --> 00:02:25.000]  這些教會是在現在的Turkey,有沒有人去過Turkey?
[00:02:25.000 --> 00:02:38.000]  我們就看看今天主耶穌寫了七個不同的信,給這七個教會。
[00:02:38.000 --> 00:02:47.000]  第一個教會就叫做Ephesus,我們可以看下一頁。
[00:02:47.000 --> 00:03:00.000]  Ephesus以前是一個很大的城市,好像現在的紐約,最大的城市。
[00:03:00.000 --> 00:03:09.000]  最多事情發生,有NBA,有不同的商業中心,是最大的中心。
[00:03:09.000 --> 00:03:24.000]  那時候,他們有很多不同的商業,每樣東西都會通過Ephesus。
[00:03:24.000 --> 00:03:32.000]  這個城市是一個很多不同的偶像的城市,很多Roman和Greek God,
[00:03:32.000 --> 00:03:40.000]  Apollos, Athena,不同的Greek God,你們可能在學校讀過。
[00:03:40.000 --> 00:03:49.000]  主耶穌就跟這個教會說,I know your deeds, your hard work, and your perseverance.
[00:03:49.000 --> 00:03:55.000]  Your perseverance and endurance hardship for my name, and have not grown weary.
[00:03:55.000 --> 00:04:06.000]  但是主耶穌警告他們,Yet I have this against you, you have forsaken the love you had at first.
[00:04:06.000 --> 00:04:12.000]  Consider how far you have fallen, repent, and do the things you did at first.
[00:04:12.000 --> 00:04:15.000]  我們看下一頁。
[00:04:15.000 --> 00:04:25.000]  主耶穌就跟他們說,你失去了你第一個愛,你第一個愛應該是誰?
[00:04:25.000 --> 00:04:36.000]  應該是主耶穌。主耶穌就稱讚他們,你很努力,你的事業很好,有堅持。
[00:04:36.000 --> 00:04:44.000]  但是你失去了你的第一個愛,你的第一個愛應該是主耶穌。
[00:04:44.000 --> 00:04:57.000]  主耶穌就叫他們,你要悔改,你要做你之前的第一件事。
[00:04:57.000 --> 00:05:04.000]  我們有時也會這樣,我們有一個routine,我們看下一頁。
[00:05:04.000 --> 00:05:10.000]  我們經常有一個routine,起床,上學,然後就怎樣?
[00:05:10.000 --> 00:05:23.000]  我們的routine,刷牙,讀書,睡覺,洗澡,我們的routine慢慢就好像很累一樣。
[00:05:23.000 --> 00:05:29.000]  我們就沒有了我們的first purpose,我們的motivation。
[00:05:29.000 --> 00:05:43.000]  主耶穌就警告這個教會,你不要失去你的第一個愛,是主耶穌,去侍奉主耶穌,去愛主耶穌。
[00:05:43.000 --> 00:05:52.000]  我們看第二個教會,第二個教會的名字就是Smyrna。
[00:05:52.000 --> 00:06:02.000]  他們之前可能是一個很大的香味城市,他們可能是在出售香味。
[00:06:02.000 --> 00:06:09.000]  香味是,你知不知道有三個皇帝是給禮物去主耶穌的?
[00:06:09.000 --> 00:06:17.000]  三魔術,第一是Frankincense,第二是香味,香味是香味,很香的。
[00:06:17.000 --> 00:06:28.000]  這個城市都是很多不同的Greek Gods,很多idols,還有一個很大的猶太的community。
[00:06:28.000 --> 00:06:40.000]  我們看這個城市,你知道什麼城市,什麼國家是現在世界最exporting fragrance的?
[00:06:40.000 --> 00:06:57.000]  是France,法國,有一個城市叫Grassy,30% of the world's fragrance都是在法國這個城市Grassy出來的。
[00:06:57.000 --> 00:07:06.000]  主耶穌就跟這個教會說,I know your affliction and your poverty, yet you are rich。
[00:07:06.000 --> 00:07:12.000]  我們看下一個教會,I know your affliction and your poverty, yet you are rich。
[00:07:12.000 --> 00:07:22.000]  他們經常被城市的人攻擊,欺負他們,他們可能很窮,但主耶穌說他們怎樣?
[00:07:22.000 --> 00:07:29.000]  他們其實是有錢的,他們是Rich in Christ。
[00:07:29.000 --> 00:07:53.000]  之前他們不是follow Roman religion,不是敬拜這些不同的idols,他們可能沒有工賺,沒有人請他們。
[00:07:53.000 --> 00:08:12.000]  他們不是follow Roman religion,他們是基督徒,他們沒有工作就可能很窮。
[00:08:12.000 --> 00:08:23.000]  他們不是follow Roman religion,他們可能沒有人做他們的生意,他們就可能很窮,被人迫害。
[00:08:23.000 --> 00:08:34.000]  主耶穌就跟他們說,Be faithful even into the point of death, and I will give you the victor's crown。
[00:08:34.000 --> 00:08:50.000]  主耶穌就跟他們說,Be faithful,你們現在可能是窮,可能那些Roman people是不接受你的,可能你自己的猶太人不接受你,因為你是基督徒。
[00:08:50.000 --> 00:09:01.000]  你們可能會有迫害,但Be faithful,我就會給你生命的獎勵,the victor's crown。
